target_id	length	eff_length	Aipa_2	Aipa_2_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2143.47	847.462	4.7078
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	754.474	2	0.0315647
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	81.4728	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	673.474	185	3.2709
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	628.49	0	0
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	49.8836	0	0
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1324.47	38.3547	0.344819
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	634.49	47	0.882041
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1117.47	18.7826	0.20014
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1417.47	0	0
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	358.863	18	0.597255
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	727.474	0	0
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1279.47	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	166.121	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1384.47	1.23566	0.0106274
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	436.67	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1267.47	37.6872	0.354055
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2062.47	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1414.47	9.99902	0.0841741
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	228.633	4	0.208323
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1519.47	165.754	1.29893
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	799.474	0	0
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	562.535	0	0
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	123.305	15	1.44852
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	293.263	0	0
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	937.474	2	0.0254031
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1135.47	150.446	1.57768
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1111.47	0	0
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	493.59	1	0.024124
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	913.474	9.15105	0.119286
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2665.47	23.1691	0.103503
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	272.495	0	0
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1234.47	0	0
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	583.535	0	0
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4231.47	1091.57	3.07169
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	361.836	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1249.47	131.62	1.25432
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	246.151	56	2.70896
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	487.59	6	0.146525
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1009.47	0	0
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	802.474	0	0
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	81.4728	27.959	4.08625
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	610.506	0	0
arahy.Tifrunner.gnm2.ann1.3I834E.1	861	673.474	0	0
arahy.Tifrunner.gnm2.ann1.3M5GW1.1	324	144.37	1.00115	0.0825727
arahy.Tifrunner.gnm2.ann1.7L9N0K.1	1176	988.474	180	2.16832
arahy.Tifrunner.gnm2.ann1.PI58T4.1	438	251.92	0	0
arahy.Tifrunner.gnm2.ann1.0GE1ZU.1	669	481.59	0	0
arahy.Tifrunner.gnm2.ann1.1H7P3M.1	867	679.474	747	13.0907
arahy.Tifrunner.gnm2.ann1.AFM6H1.1	885	697.474	0	0
arahy.Tifrunner.gnm2.ann1.XEFQ2J.1	207	51.8565	0	0
arahy.Tifrunner.gnm2.ann1.9W3K41.1	1398	1210.47	0	0
arahy.Tifrunner.gnm2.ann1.86A1BZ.1	477	290.292	12.3185	0.505287
arahy.Tifrunner.gnm2.ann1.1Z1K26.1	918	730.474	1906	31.0695
arahy.Tifrunner.gnm2.ann1.CSM94Q.2	1332	1144.47	131.542	1.3686
arahy.Tifrunner.gnm2.ann1.Q2BBVU.1	348	166.121	0	0
arahy.Tifrunner.gnm2.ann1.49CV5E.1	342	160.654	0	0
arahy.Tifrunner.gnm2.ann1.JS1PTX.1	1887	1699.47	398	2.78859
arahy.Tifrunner.gnm2.ann1.F8HH5F.1	255	86.0435	0	0
arahy.Tifrunner.gnm2.ann1.GHTC3Q.1	615	427.681	158	4.39899
arahy.Tifrunner.gnm2.ann1.SHSL16.1	1935	1747.47	70	0.476984
arahy.Tifrunner.gnm2.ann1.YH938E.2	324	144.37	0	0
arahy.Tifrunner.gnm2.ann1.YXX8CM.1	609	421.691	82	2.31545
arahy.Tifrunner.gnm2.ann1.VDQ67E.1	1350	1162.47	58.2062	0.596214
arahy.Tifrunner.gnm2.ann1.33LHWC.1	609	421.691	0	0
arahy.Tifrunner.gnm2.ann1.KQ3EB3.1	1107	919.474	0	0
arahy.Tifrunner.gnm2.ann1.K3YHKD.1	915	727.474	4	0.0654725
arahy.Tifrunner.gnm2.ann1.A6X2CD.1	1212	1024.47	550	6.39261
arahy.Tifrunner.gnm2.ann1.0Y513H.1	1524	1336.47	45	0.40093
arahy.Tifrunner.gnm2.ann1.YQ8C5N.1	2808	2620.47	9.80284	0.0445439
arahy.Tifrunner.gnm2.ann1.H3V410.1	1269	1081.47	1	0.0110103
arahy.Tifrunner.gnm2.ann1.B7BSQF.1	1281	1093.47	0	0
arahy.Tifrunner.gnm2.ann1.5IU4RA.1	270	97.8961	0	0
arahy.Tifrunner.gnm2.ann1.NC1EXA.1	576	388.742	0	0
arahy.Tifrunner.gnm2.ann1.K3U1RD.1	2811	2623.47	111.669	0.50684
arahy.Tifrunner.gnm2.ann1.U3PQ4N.1	1476	1288.47	118	1.09049
arahy.Tifrunner.gnm2.ann1.BDSN0J.1	300	123.305	0	0
arahy.Tifrunner.gnm2.ann1.PFN41B.1	2121	1933.47	4.539	0.0279536
arahy.Tifrunner.gnm2.ann1.G8PY79.3	2151	1963.47	1255.19	7.61204
arahy.Tifrunner.gnm2.ann1.F8ILKH.1	879	691.474	0	0
arahy.Tifrunner.gnm2.ann1.7LSJ26.1	2727	2539.47	5.15395	0.0241664
arahy.Tifrunner.gnm2.ann1.DEG7JK.1	426	240.327	0	0
arahy.Tifrunner.gnm2.ann1.EHW2CP.1	204	49.8836	0	0
arahy.Tifrunner.gnm2.ann1.3ZE8DZ.1	357	174.391	4	0.273119
arahy.Tifrunner.gnm2.ann1.LMDE4E.1	1782	1594.47	0	0
arahy.Tifrunner.gnm2.ann1.DS477V.1	1410	1222.47	198	1.9286
arahy.Tifrunner.gnm2.ann1.C0950A.1	561	373.808	0	0
arahy.Tifrunner.gnm2.ann1.HG2532.2	1119	931.474	2	0.0255667
arahy.Tifrunner.gnm2.ann1.WUL5PS.2	1482	1294.47	300	2.75959
arahy.Tifrunner.gnm2.ann1.UVE7PI.1	687	499.59	0	0
arahy.Tifrunner.gnm2.ann1.8XA69V.1	273	100.383	0	0
arahy.Tifrunner.gnm2.ann1.CFM630.1	981	793.474	622.172	9.33671
arahy.Tifrunner.gnm2.ann1.9Z6I10.1	585	397.722	1242	37.1842
arahy.Tifrunner.gnm2.ann1.IFCS5G.1	267	95.4258	0	0
arahy.Tifrunner.gnm2.ann1.2R0TK7.1	1206	1018.47	83	0.970386
arahy.Tifrunner.gnm2.ann1.5497SD.1	1221	1033.47	0	0
arahy.Tifrunner.gnm2.ann1.RWWV81.1	1830	1642.47	305	2.21115
arahy.Tifrunner.gnm2.ann1.NRRA5I.1	243	77.0011	0	0
arahy.Tifrunner.gnm2.ann1.1QRJ4L.1	729	541.577	0	0
arahy.Tifrunner.gnm2.ann1.T35FHV.1	3006	2818.47	1.198	0.00506126
arahy.Tifrunner.gnm2.ann1.Y4UZBH.1	264	93.0721	0	0
arahy.Tifrunner.gnm2.ann1.2PS7IJ.1	1317	1129.47	0	0
arahy.Tifrunner.gnm2.ann1.CGBE6F.1	4539	4351.47	0	0
arahy.Tifrunner.gnm2.ann1.LT4TK7.1	699	511.59	0	0
arahy.Tifrunner.gnm2.ann1.W1607K.1	1392	1204.47	53.9819	0.533662
arahy.Tifrunner.gnm2.ann1.71FTPI.1	1113	925.474	0	0
arahy.Tifrunner.gnm2.ann1.PRFH10.1	237	72.4653	2	0.328637
arahy.Tifrunner.gnm2.ann1.I2ZJD2.1	663	475.614	88.5293	2.2164
arahy.Tifrunner.gnm2.ann1.U81MKX.1	1965	1777.47	347.049	2.3249
arahy.Tifrunner.gnm2.ann1.HVKI9W.1	1704	1516.47	0	0
arahy.Tifrunner.gnm2.ann1.820J93.1	1269	1081.47	198	2.18004
arahy.Tifrunner.gnm2.ann1.DP3R7M.1	1707	1519.47	178	1.3949
arahy.Tifrunner.gnm2.ann1.SR535B.1	735	547.577	90.3697	1.96514
arahy.Tifrunner.gnm2.ann1.81UYU3.2	1056	868.474	67.036	0.91911
arahy.Tifrunner.gnm2.ann1.X7WWLG.1	2733	2545.47	0	0
arahy.Tifrunner.gnm2.ann1.DI7635.1	831	643.49	0	0
arahy.Tifrunner.gnm2.ann1.CCNW4C.1	1464	1276.47	3	0.027985
arahy.Tifrunner.gnm2.ann1.EWV5Y4.1	672	484.59	106.662	2.62091
arahy.Tifrunner.gnm2.ann1.CACA61.1	2019	1831.47	0	0
arahy.Tifrunner.gnm2.ann1.7CLK78.1	1821	1633.47	0	0
arahy.Tifrunner.gnm2.ann1.IMB0BX.1	546	358.863	1.00527	0.0333558
arahy.Tifrunner.gnm2.ann1.UKC1QQ.1	1956	1768.47	0	0
arahy.Tifrunner.gnm2.ann1.YF6UR5.1	504	317.065	0	0
arahy.Tifrunner.gnm2.ann1.JML2SU.1	1878	1690.47	16	0.112701
arahy.Tifrunner.gnm2.ann1.ZLV99U.2	1692	1504.47	0	0
arahy.Tifrunner.gnm2.ann1.2LQ1ZN.1	1791	1603.47	1380.11	10.2486
arahy.Tifrunner.gnm2.ann1.80YKV9.1	276	102.796	0	0
arahy.Tifrunner.gnm2.ann1.SQH7P6.1	1056	868.474	11	0.150818
arahy.Tifrunner.gnm2.ann1.J522ZU.2	1335	1147.47	0	0
arahy.Tifrunner.gnm2.ann1.ZAH2CS.1	408	222.792	2.96303	0.158363
arahy.Tifrunner.gnm2.ann1.2ACH3L.1	315	136.342	0	0
arahy.Tifrunner.gnm2.ann1.G7HP2Z.1	1029	841.474	32.9396	0.466116
arahy.Tifrunner.gnm2.ann1.EID17C.1	558	370.827	0	0
arahy.Tifrunner.gnm2.ann1.4T50W5.1	408	222.792	0	0
arahy.Tifrunner.gnm2.ann1.0JI0VP.1	2361	2173.47	0	0
arahy.Tifrunner.gnm2.ann1.Y9YBLC.1	1602	1414.47	2.15948	0.018179
arahy.Tifrunner.gnm2.ann1.FHI9NT.1	3663	3475.47	0	0
arahy.Tifrunner.gnm2.ann1.SDFW30.1	198	46.2191	0	0
arahy.Tifrunner.gnm2.ann1.5K2DU6.1	723	535.577	3.02678	0.0672938
arahy.Tifrunner.gnm2.ann1.HA0JIQ.1	690	502.59	2.12084	0.0502469
arahy.Tifrunner.gnm2.ann1.B2J3A8.1	342	160.654	0	0
arahy.Tifrunner.gnm2.ann1.E9UMEP.1	1089	901.474	0	0
arahy.Tifrunner.gnm2.ann1.6959VQ.1	360	177.221	0	0
arahy.Tifrunner.gnm2.ann1.FWV18L.1	1788	1600.47	126.502	0.941163
arahy.Tifrunner.gnm2.ann1.N4DGME.1	267	95.4258	0	0
arahy.Tifrunner.gnm2.ann1.DD48CX.1	588	400.722	186	5.52695
arahy.Tifrunner.gnm2.ann1.VCFG2H.1	474	287.3	0	0
arahy.Tifrunner.gnm2.ann1.F8XE83.1	516	329	6.25351	0.226331
arahy.Tifrunner.gnm2.ann1.8WED6E.1	1125	937.474	20	0.254031
arahy.Tifrunner.gnm2.ann1.BL8T0D.1	1527	1339.47	0	0
arahy.Tifrunner.gnm2.ann1.4AYI8M.1	1641	1453.47	477	3.90775
arahy.Tifrunner.gnm2.ann1.54P96V.1	1422	1234.47	0	0
arahy.Tifrunner.gnm2.ann1.CC4WIG.1	462	275.433	0	0
arahy.Tifrunner.gnm2.ann1.PRSK66.1	1638	1450.47	0	0
arahy.Tifrunner.gnm2.ann1.6C9V7B.1	477	290.292	114	4.67612
arahy.Tifrunner.gnm2.ann1.KC9LFP.1	234	70.2377	1	0.16953
arahy.Tifrunner.gnm2.ann1.NK8034.1	1155	967.474	0	0
