target_id	length	eff_length	Aipa_4	Aipa_4_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2146.45	2490	13.3145
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	757.48	2	0.0303042
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	84.002	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	676.626	169.43	2.87399
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	631.652	1	0.0181705
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	51.5624	0	0
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1327.45	55.5932	0.480672
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	637.652	19	0.341991
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1120.45	15	0.153654
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1420.45	0	0
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	362.088	15	0.475469
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	730.569	5.92363	0.0930618
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1282.45	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	169.164	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1387.45	3.82143	0.0316121
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	439.825	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1270.45	37.1849	0.335934
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2065.45	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1417.45	1.34652	0.0109031
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	231.828	0	0
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1522.45	106.036	0.799382
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	802.449	0	0
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	565.688	0	0
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	126.016	16	1.45727
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	296.531	0	0
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	940.449	0	0
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1138.45	118.722	1.19691
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1114.45	1.38288	0.014242
