target_id	length	eff_length	Aipa_5	Aipa_5_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2145.15	1135.29	7.92711
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	756.167	5	0.0990413
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	83.0686	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	675.184	121	2.68428
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	630.2	0	0
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	50.9178	0	0
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1326.15	33.7764	0.381491
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	636.2	35	0.824021
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1119.15	14.562	0.194893
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1419.15	0	0
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	360.551	3	0.124629
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	729.167	3.73086	0.0766382
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1281.15	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	168.104	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1386.15	0	0
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	438.325	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1269.15	10.9557	0.129299
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2064.15	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1416.15	1.29253	0.0136709
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	230.371	0	0
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1521.15	76.8601	0.756822
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	801.147	0	0
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	564.274	3	0.0796333
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	124.956	19	2.27752
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	295.086	0	0
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	939.147	0	0
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1137.15	85.7389	1.12934
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1113.15	0	0
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	495.302	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	915.147	6.63146	0.108538
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2667.15	10.102	0.0567313
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	274.42	0	0
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1236.15	2.15941	0.0261655
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	585.26	0	0
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4233.15	1011.79	3.58006
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	363.542	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1251.15	241.598	2.89233
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	247.928	49	2.96029
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	489.302	2.52627e-05	7.73334e-07
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1011.15	1.26894	0.0187971
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	804.147	0	0
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	83.0686	10.4502	1.88432
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	612.215	0	0
