target_id	length	eff_length	Aipadur_2	Aipadur_2_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2150.03	411.383	3.50588
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	761.031	6	0.144459
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	85.453	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	680.031	44.7688	1.20626
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	635.048	58	1.67347
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	52.4814	3	1.0474
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1331.03	0	0
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	641.048	4.07116	0.116365
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1124.03	11	0.179312
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1424.03	202.436	2.60474
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	365.336	13	0.651997
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	734.031	322.641	8.05379
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1286.03	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	171.667	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1391.03	291.748	3.84296
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	443.146	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1274.03	93.3075	1.34194
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2069.03	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1421.03	17.2578	0.222524
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	234.846	41	3.19887
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1526.03	139.553	1.6756
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	806.031	0	0
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	569.048	5	0.160997
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	128.02	2	0.286251
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	299.671	215.975	13.2055
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	944.031	2	0.0388185
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1142.03	8.25926	0.132513
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1118.03	66.1538	1.08417
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	500.1	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	920.031	105.176	2.09465
