target_id	length	eff_length	Adur_2	Adur_2_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2152.13	62.8899	0.52487
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	763.15	0	0
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	85.4868	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	682.185	24.0684	0.633701
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	637.201	59.8723	1.68768
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	52.103	10	3.44728
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1333.13	3.52938	0.0475516
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	643.185	2.01883	0.0563772
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1126.13	7.80664	0.124513
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1426.13	275.352	3.46792
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	367.598	0	0
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	736.15	359.073	8.76104
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1288.13	1	0.0139438
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	173.366	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1393.13	544.123	7.01527
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	445.459	1	0.040321
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1276.13	91.4069	1.28654
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2071.13	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1423.13	24	0.302905
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	236.733	135	10.2427
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1528.13	177.679	2.08841
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	808.131	1.6811	0.0373639
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	571.245	1	0.0314425
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	129.066	1	0.139164
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	301.866	382	22.7295
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	946.131	14	0.265776
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1144.13	11.6354	0.18266
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1120.13	77.2045	1.23798
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	502.365	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	922.131	185.083	3.60506
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2674.13	248.268	1.66755
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	281.027	58	3.70697
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1243.13	6.21769	0.0898363
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	592.216	25.4545	0.772014
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4240.13	258.055	1.09313
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	370.589	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1258.13	10.2415	0.14621
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	254.37	58	4.09545
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	496.365	7.15095	0.258763
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1018.13	119.077	2.1007
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	811.131	8	0.177149
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	85.4868	9.94773	2.09009
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	619.201	0	0
arahy.Tifrunner.gnm2.ann1.3I834E.1	861	682.185	0	0
arahy.Tifrunner.gnm2.ann1.3M5GW1.1	324	150.945	2.0063	0.238736
arahy.Tifrunner.gnm2.ann1.7L9N0K.1	1176	997.131	6.73469	0.121312
arahy.Tifrunner.gnm2.ann1.PI58T4.1	438	260.299	0	0
arahy.Tifrunner.gnm2.ann1.0GE1ZU.1	669	490.39	19	0.695908
arahy.Tifrunner.gnm2.ann1.1H7P3M.1	867	688.168	0	0
arahy.Tifrunner.gnm2.ann1.AFM6H1.1	885	706.168	0	0
arahy.Tifrunner.gnm2.ann1.XEFQ2J.1	207	54.2023	0	0
arahy.Tifrunner.gnm2.ann1.9W3K41.1	1398	1219.13	11	0.162062
arahy.Tifrunner.gnm2.ann1.86A1BZ.1	477	298.896	0	0
arahy.Tifrunner.gnm2.ann1.1Z1K26.1	918	739.15	2.30577	0.0560303
arahy.Tifrunner.gnm2.ann1.CSM94Q.2	1332	1153.13	8.16679	0.127207
arahy.Tifrunner.gnm2.ann1.Q2BBVU.1	348	173.366	0	0
arahy.Tifrunner.gnm2.ann1.49CV5E.1	342	167.725	0	0
arahy.Tifrunner.gnm2.ann1.JS1PTX.1	1887	1708.13	25.6757	0.269985
arahy.Tifrunner.gnm2.ann1.F8HH5F.1	255	90.3638	0	0
arahy.Tifrunner.gnm2.ann1.GHTC3Q.1	615	436.481	3.0017	0.123521
arahy.Tifrunner.gnm2.ann1.SHSL16.1	1935	1756.13	20	0.204556
arahy.Tifrunner.gnm2.ann1.YH938E.2	324	150.945	0	0
arahy.Tifrunner.gnm2.ann1.YXX8CM.1	609	430.481	0	0
arahy.Tifrunner.gnm2.ann1.VDQ67E.1	1350	1171.13	68.7643	1.05462
arahy.Tifrunner.gnm2.ann1.33LHWC.1	609	430.481	0	0
arahy.Tifrunner.gnm2.ann1.KQ3EB3.1	1107	928.131	0	0
arahy.Tifrunner.gnm2.ann1.K3YHKD.1	915	736.15	0	0
arahy.Tifrunner.gnm2.ann1.A6X2CD.1	1212	1033.13	479	8.3276
arahy.Tifrunner.gnm2.ann1.0Y513H.1	1524	1345.13	3.7309	0.0498183
arahy.Tifrunner.gnm2.ann1.YQ8C5N.1	2808	2629.13	2895.3	19.7798
arahy.Tifrunner.gnm2.ann1.H3V410.1	1269	1090.13	0	0
arahy.Tifrunner.gnm2.ann1.B7BSQF.1	1281	1102.13	42.0659	0.685546
arahy.Tifrunner.gnm2.ann1.5IU4RA.1	270	102.806	0	0
arahy.Tifrunner.gnm2.ann1.NC1EXA.1	576	397.513	0	0
arahy.Tifrunner.gnm2.ann1.K3U1RD.1	2811	2632.13	1.1066	0.00755132
arahy.Tifrunner.gnm2.ann1.U3PQ4N.1	1476	1297.13	34	0.470798
arahy.Tifrunner.gnm2.ann1.BDSN0J.1	300	129.066	0	0
arahy.Tifrunner.gnm2.ann1.PFN41B.1	2121	1942.13	751.09	6.94629
arahy.Tifrunner.gnm2.ann1.G8PY79.3	2151	1972.13	12.1151	0.11034
arahy.Tifrunner.gnm2.ann1.F8ILKH.1	879	700.168	148	3.79664
arahy.Tifrunner.gnm2.ann1.7LSJ26.1	2727	2548.13	170.698	1.20322
arahy.Tifrunner.gnm2.ann1.DEG7JK.1	426	248.483	3.12967	0.226225
arahy.Tifrunner.gnm2.ann1.EHW2CP.1	204	52.103	0	0
arahy.Tifrunner.gnm2.ann1.3ZE8DZ.1	357	181.901	15	1.48114
arahy.Tifrunner.gnm2.ann1.LMDE4E.1	1782	1603.13	8	0.0896315
arahy.Tifrunner.gnm2.ann1.DS477V.1	1410	1231.13	81.0068	1.18184
arahy.Tifrunner.gnm2.ann1.C0950A.1	561	382.561	0	0
arahy.Tifrunner.gnm2.ann1.HG2532.2	1119	940.131	0	0
arahy.Tifrunner.gnm2.ann1.WUL5PS.2	1482	1303.13	2.68927	0.0370669
arahy.Tifrunner.gnm2.ann1.UVE7PI.1	687	508.353	0	0
arahy.Tifrunner.gnm2.ann1.8XA69V.1	273	105.354	0	0
arahy.Tifrunner.gnm2.ann1.CFM630.1	981	802.131	0	0
arahy.Tifrunner.gnm2.ann1.9Z6I10.1	585	406.513	3.12121	0.137908
arahy.Tifrunner.gnm2.ann1.IFCS5G.1	267	100.243	0	0
arahy.Tifrunner.gnm2.ann1.2R0TK7.1	1206	1027.13	82	1.43393
arahy.Tifrunner.gnm2.ann1.5497SD.1	1221	1042.13	605.383	10.4339
arahy.Tifrunner.gnm2.ann1.RWWV81.1	1830	1651.13	185.65	2.01954
arahy.Tifrunner.gnm2.ann1.NRRA5I.1	243	80.7034	0	0
arahy.Tifrunner.gnm2.ann1.1QRJ4L.1	729	550.273	0	0
arahy.Tifrunner.gnm2.ann1.T35FHV.1	3006	2827.13	366	2.32528
arahy.Tifrunner.gnm2.ann1.Y4UZBH.1	264	97.7492	0	0
arahy.Tifrunner.gnm2.ann1.2PS7IJ.1	1317	1138.13	7.90458	0.124746
arahy.Tifrunner.gnm2.ann1.CGBE6F.1	4539	4360.13	17	0.0700308
arahy.Tifrunner.gnm2.ann1.LT4TK7.1	699	520.34	0	0
arahy.Tifrunner.gnm2.ann1.W1607K.1	1392	1213.13	22	0.325728
arahy.Tifrunner.gnm2.ann1.71FTPI.1	1113	934.131	0	0
arahy.Tifrunner.gnm2.ann1.PRFH10.1	237	75.8864	0	0
arahy.Tifrunner.gnm2.ann1.I2ZJD2.1	663	484.39	99.1887	3.67796
arahy.Tifrunner.gnm2.ann1.U81MKX.1	1965	1786.13	18.8952	0.19001
arahy.Tifrunner.gnm2.ann1.HVKI9W.1	1704	1525.13	54.3422	0.639985
arahy.Tifrunner.gnm2.ann1.820J93.1	1269	1090.13	1	0.0164764
arahy.Tifrunner.gnm2.ann1.DP3R7M.1	1707	1528.13	5.50737	0.0647326
arahy.Tifrunner.gnm2.ann1.SR535B.1	735	556.273	0	0
arahy.Tifrunner.gnm2.ann1.81UYU3.2	1056	877.131	10.5603	0.216248
arahy.Tifrunner.gnm2.ann1.X7WWLG.1	2733	2554.13	0	0
arahy.Tifrunner.gnm2.ann1.DI7635.1	831	652.185	87.876	2.42013
arahy.Tifrunner.gnm2.ann1.CCNW4C.1	1464	1285.13	0	0
arahy.Tifrunner.gnm2.ann1.EWV5Y4.1	672	493.365	22.0838	0.803978
arahy.Tifrunner.gnm2.ann1.CACA61.1	2019	1840.13	3.06827	0.0299492
arahy.Tifrunner.gnm2.ann1.7CLK78.1	1821	1642.13	1	0.0109378
arahy.Tifrunner.gnm2.ann1.IMB0BX.1	546	367.598	0	0
arahy.Tifrunner.gnm2.ann1.UKC1QQ.1	1956	1777.13	499	5.04337
arahy.Tifrunner.gnm2.ann1.YF6UR5.1	504	325.693	0	0
arahy.Tifrunner.gnm2.ann1.JML2SU.1	1878	1699.13	6	0.0634255
arahy.Tifrunner.gnm2.ann1.ZLV99U.2	1692	1513.13	40.7994	0.484303
