target_id	length	eff_length	Ahyp_5	Ahyp_5_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2154.2	591.824	5.7535
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	765.231	3.07408	0.0841295
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	85.0954	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	684.326	38.6061	1.18146
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	639.348	78	2.55496
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	51.4417	21	8.54929
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1335.2	12	0.188218
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	645.348	12	0.389416
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1128.2	5	0.092813
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1428.2	126.969	1.8618
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	369.616	7	0.39662
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	738.257	257.98	7.31823
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1290.2	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	174.14	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1395.2	146.495	2.19893
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	447.507	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1278.2	44.2368	0.724786
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2073.2	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1425.2	13.1356	0.193018
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	238.327	64	5.62385
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1530.2	70.7567	0.968377
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	810.231	0	0
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	573.408	3	0.109568
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	129.144	24	3.89193
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	303.812	229.86	15.8447
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	948.204	1	0.0220864
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1146.2	15.4194	0.28173
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1122.2	37.3425	0.696879
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	504.459	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	924.204	154.181	3.49372
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2676.2	87.7138	0.686397
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	282.91	61.9747	4.58767
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1245.2	1.07437	0.0180693
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	594.408	19	0.669415
