target_id	length	eff_length	Ahyp_1	Ahyp_1_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2180.79	27.5401	0.596353
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	791.792	1	0.0596406
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	106.74	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	710.792	2	0.132874
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	665.792	8	0.56742
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	68.0126	2	1.38865
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1361.79	0	0
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	671.792	3	0.210882
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1154.79	0	0
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1454.79	2.88889	0.0937741
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	395.877	0	0
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	764.792	0	0
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1316.79	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	199.9	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1421.79	7.30769	0.242715
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	473.792	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1304.79	2	0.0723839
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2099.79	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1451.79	0	0
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	264.464	5	0.892806
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1556.79	5.91382	0.179387
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	836.792	0	0
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	599.792	0	0
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	153.696	0	0
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	330.043	18	2.57546
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	974.792	1	0.0484441
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1172.79	2	0.0805308
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1148.79	1	0.0411066
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	530.792	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	950.792	3.72146	0.184834
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2702.79	10.5808	0.184866
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	309.235	2	0.305418
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1271.79	0	0
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	620.792	1	0.0760689
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4268.79	6	0.0663742
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	398.877	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1286.79	1.49912	0.0550152
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	282.354	1	0.167247
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	524.792	0	0
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1046.79	11.4545	0.516738
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	839.792	0	0
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	106.74	1	0.442409
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	647.792	0	0
arahy.Tifrunner.gnm2.ann1.3I834E.1	861	710.792	0	0
arahy.Tifrunner.gnm2.ann1.3M5GW1.1	324	176.672	37.0067	9.89158
arahy.Tifrunner.gnm2.ann1.7L9N0K.1	1176	1025.79	6.42857	0.295943
arahy.Tifrunner.gnm2.ann1.PI58T4.1	438	288.335	0	0
arahy.Tifrunner.gnm2.ann1.0GE1ZU.1	669	518.792	0	0
arahy.Tifrunner.gnm2.ann1.1H7P3M.1	867	716.792	4.5	0.296464
arahy.Tifrunner.gnm2.ann1.AFM6H1.1	885	734.792	0	0
