target_id	length	eff_length	Aipa_1	Aipa_1_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2146.34	2722.14	17.1082
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	757.338	7	0.124681
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	83.4703	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	676.43	166.697	3.32426
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	631.43	0	0
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	51.3246	0	0
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1327.34	41.3739	0.420471
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	637.43	21	0.444404
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1120.34	21	0.25285
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1420.34	0	0
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	361.996	4	0.149056
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	730.413	0	0
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1282.34	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	169.337	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1387.34	0	0
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	439.696	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1270.34	33.4089	0.35476
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2065.34	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1417.34	1.44249	0.0137287
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	231.8	0	0
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1522.34	116.995	1.03668
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	802.338	0	0
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	565.522	1	0.023853
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	126.073	12	1.28396
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	296.595	0	0
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	940.338	1	0.0143452
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1138.34	97.9763	1.16103
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1114.34	0	0
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	496.615	1	0.0271627
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	916.338	12.3139	0.181273
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2668.34	36.2647	0.183331
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	275.815	0	0
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1237.34	0	0
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	586.522	0	0
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4234.34	2950.84	9.40052
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	364.96	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1252.34	338.047	3.64123
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	249.337	52	2.81325
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	490.627	5	0.137471
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1012.34	0	0
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	805.338	2	0.0334999
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	83.4703	13.47	2.17685
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	613.462	0	0
arahy.Tifrunner.gnm2.ann1.3I834E.1	861	676.43	0	0
