target_id	length	eff_length	Adur_1	Adur_1_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2146.15	106.123	0.66366
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	757.254	0	0
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	83.527	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	676.325	39.1112	0.77614
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	631.325	93	1.97708
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	51.1514	0	0
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1327.15	1.09025	0.0110255
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	637.325	4.04695	0.0852239
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1120.15	4	0.0479268
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1420.15	365.61	3.45524
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	361.931	0	0
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	730.254	589.194	10.8288
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1282.15	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	168.964	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1387.15	723.407	6.99929
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	439.641	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1270.15	147.873	1.56253
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2065.15	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1417.15	17	0.161001
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	231.614	122	7.06949
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1522.15	217.054	1.91384
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	802.148	1	0.0167317
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	565.423	1	0.0237367
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	125.56	0	0
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	296.463	578.998	26.212
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	940.148	20	0.285514
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1138.15	0	0
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1114.15	117.978	1.42118
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	496.532	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	916.148	204.209	2.9916
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2668.15	453	2.27868
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	275.7	130	6.32849
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1237.15	2.04739	0.0222112
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	586.385	15	0.343323
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4234.15	316.128	1.00205
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	364.919	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1252.15	18.9795	0.203434
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	249.196	56	3.01607
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	490.532	6.90302	0.188871
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1012.15	178.207	2.36306
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	805.148	8	0.133355
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	83.527	3.23587	0.519946
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	613.325	0	0
arahy.Tifrunner.gnm2.ann1.3I834E.1	861	676.325	0	0
arahy.Tifrunner.gnm2.ann1.3M5GW1.1	324	146.856	1	0.0913908
arahy.Tifrunner.gnm2.ann1.7L9N0K.1	1176	991.148	6.52923	0.0884134
arahy.Tifrunner.gnm2.ann1.PI58T4.1	438	255.035	0	0
arahy.Tifrunner.gnm2.ann1.0GE1ZU.1	669	484.549	28	0.775559
arahy.Tifrunner.gnm2.ann1.1H7P3M.1	867	682.325	1.33484	0.0262563
arahy.Tifrunner.gnm2.ann1.AFM6H1.1	885	700.302	0	0
arahy.Tifrunner.gnm2.ann1.XEFQ2J.1	207	53.233	0	0
arahy.Tifrunner.gnm2.ann1.9W3K41.1	1398	1213.15	6	0.0663791
arahy.Tifrunner.gnm2.ann1.86A1BZ.1	477	293.493	0	0
arahy.Tifrunner.gnm2.ann1.1Z1K26.1	918	733.254	7.0009	0.128143
arahy.Tifrunner.gnm2.ann1.CSM94Q.2	1332	1147.15	2.29406	0.0268398
arahy.Tifrunner.gnm2.ann1.Q2BBVU.1	348	168.964	0	0
arahy.Tifrunner.gnm2.ann1.49CV5E.1	342	163.401	0	0
arahy.Tifrunner.gnm2.ann1.JS1PTX.1	1887	1702.15	14.7059	0.115955
arahy.Tifrunner.gnm2.ann1.F8HH5F.1	255	88.3598	0	0
arahy.Tifrunner.gnm2.ann1.GHTC3Q.1	615	430.655	15.0193	0.468074
arahy.Tifrunner.gnm2.ann1.SHSL16.1	1935	1750.15	12	0.0920239
arahy.Tifrunner.gnm2.ann1.YH938E.2	324	146.856	0	0
arahy.Tifrunner.gnm2.ann1.YXX8CM.1	609	424.698	0	0
arahy.Tifrunner.gnm2.ann1.VDQ67E.1	1350	1165.15	67.8429	0.78148
arahy.Tifrunner.gnm2.ann1.33LHWC.1	609	424.698	0	0
arahy.Tifrunner.gnm2.ann1.KQ3EB3.1	1107	922.148	0	0
arahy.Tifrunner.gnm2.ann1.K3YHKD.1	915	730.254	0	0
arahy.Tifrunner.gnm2.ann1.A6X2CD.1	1212	1027.15	468	6.11515
arahy.Tifrunner.gnm2.ann1.0Y513H.1	1524	1339.15	2.50497	0.0251055
arahy.Tifrunner.gnm2.ann1.YQ8C5N.1	2808	2623.15	4582.22	23.4448
arahy.Tifrunner.gnm2.ann1.H3V410.1	1269	1084.15	0	0
arahy.Tifrunner.gnm2.ann1.B7BSQF.1	1281	1096.15	26.9242	0.329661
arahy.Tifrunner.gnm2.ann1.5IU4RA.1	270	100.216	5	0.669621
arahy.Tifrunner.gnm2.ann1.NC1EXA.1	576	391.779	0	0
arahy.Tifrunner.gnm2.ann1.K3U1RD.1	2811	2626.15	4.30868	0.0220201
arahy.Tifrunner.gnm2.ann1.U3PQ4N.1	1476	1291.15	22	0.228687
arahy.Tifrunner.gnm2.ann1.BDSN0J.1	300	125.56	1	0.106892
arahy.Tifrunner.gnm2.ann1.PFN41B.1	2121	1936.15	931.652	6.45817
arahy.Tifrunner.gnm2.ann1.G8PY79.3	2151	1966.15	9.28394	0.0633739
arahy.Tifrunner.gnm2.ann1.F8ILKH.1	879	694.302	249.676	4.82639
arahy.Tifrunner.gnm2.ann1.7LSJ26.1	2727	2542.15	166.303	0.877999
arahy.Tifrunner.gnm2.ann1.DEG7JK.1	426	243.344	2	0.110307
arahy.Tifrunner.gnm2.ann1.EHW2CP.1	204	51.1514	0	0
arahy.Tifrunner.gnm2.ann1.3ZE8DZ.1	357	177.346	5	0.378394
arahy.Tifrunner.gnm2.ann1.LMDE4E.1	1782	1597.15	8	0.0672263
arahy.Tifrunner.gnm2.ann1.DS477V.1	1410	1225.15	73.5591	0.805828
arahy.Tifrunner.gnm2.ann1.C0950A.1	561	376.894	0	0
arahy.Tifrunner.gnm2.ann1.HG2532.2	1119	934.148	0	0
arahy.Tifrunner.gnm2.ann1.WUL5PS.2	1482	1297.15	1.16799	0.0120849
arahy.Tifrunner.gnm2.ann1.UVE7PI.1	687	502.532	0	0
arahy.Tifrunner.gnm2.ann1.8XA69V.1	273	102.667	0	0
arahy.Tifrunner.gnm2.ann1.CFM630.1	981	796.148	0	0
arahy.Tifrunner.gnm2.ann1.9Z6I10.1	585	400.739	1.66	0.0555956
arahy.Tifrunner.gnm2.ann1.IFCS5G.1	267	97.7975	0	0
arahy.Tifrunner.gnm2.ann1.2R0TK7.1	1206	1021.15	120.893	1.58893
arahy.Tifrunner.gnm2.ann1.5497SD.1	1221	1036.15	704.554	9.12613
arahy.Tifrunner.gnm2.ann1.RWWV81.1	1830	1645.15	269.985	2.20257
arahy.Tifrunner.gnm2.ann1.NRRA5I.1	243	78.8773	0	0
arahy.Tifrunner.gnm2.ann1.1QRJ4L.1	729	544.498	0	0
arahy.Tifrunner.gnm2.ann1.T35FHV.1	3006	2821.15	526.769	2.50604
arahy.Tifrunner.gnm2.ann1.Y4UZBH.1	264	95.408	0	0
arahy.Tifrunner.gnm2.ann1.2PS7IJ.1	1317	1132.15	6	0.0711283
arahy.Tifrunner.gnm2.ann1.CGBE6F.1	4539	4354.15	6	0.0184945
arahy.Tifrunner.gnm2.ann1.LT4TK7.1	699	514.515	0	0
arahy.Tifrunner.gnm2.ann1.W1607K.1	1392	1207.15	23	0.255718
arahy.Tifrunner.gnm2.ann1.71FTPI.1	1113	928.148	0	0
arahy.Tifrunner.gnm2.ann1.PRFH10.1	237	74.352	0	0
arahy.Tifrunner.gnm2.ann1.I2ZJD2.1	663	478.565	173.918	4.87752
