target_id	length	eff_length	Aipadur_5	Aipadur_5_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2170.61	39.2888	0.813707
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	781.614	0	0
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	100.184	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	700.614	7	0.44916
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	655.651	1	0.068566
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	63.6512	0	0
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1351.61	0	0
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	661.651	0	0
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1144.61	0	0
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1444.61	4.0267	0.125308
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	385.724	1	0.116548
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	754.614	19.6842	1.17266
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1306.61	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	190.414	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1411.61	15.4762	0.492867
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	463.681	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1294.61	4.73331	0.164364
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2089.61	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1441.61	0	0
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	254.663	1	0.176529
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1546.61	6.19764	0.180146
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	826.614	0	0
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	589.651	0	0
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	145.427	0	0
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	320.023	15.4167	2.16567
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	964.614	0	0
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1162.61	1.07095	0.0414108
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1138.61	6.28571	0.248176
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	520.681	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	940.614	12.4299	0.594072
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2692.61	12.7386	0.212681
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	299.124	4	0.60116
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1261.61	1	0.0356332
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	610.651	1	0.0736188
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4258.61	20	0.211127
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	388.724	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1276.61	0.158994	0.00559889
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	272.391	0	0
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	514.681	3	0.262038
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1036.61	4.92857	0.21374
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	829.614	2	0.108377
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	100.184	1.12617	0.505341
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	637.651	0	0
arahy.Tifrunner.gnm2.ann1.3I834E.1	861	700.614	0	0
arahy.Tifrunner.gnm2.ann1.3M5GW1.1	324	167.776	25.0011	6.69902
arahy.Tifrunner.gnm2.ann1.7L9N0K.1	1176	1015.61	1	0.0442642
arahy.Tifrunner.gnm2.ann1.PI58T4.1	438	278.316	0	0
arahy.Tifrunner.gnm2.ann1.0GE1ZU.1	669	508.681	0	0
arahy.Tifrunner.gnm2.ann1.1H7P3M.1	867	706.614	13.5	0.858881
arahy.Tifrunner.gnm2.ann1.AFM6H1.1	885	724.614	0	0
arahy.Tifrunner.gnm2.ann1.XEFQ2J.1	207	65.9875	0	0
arahy.Tifrunner.gnm2.ann1.9W3K41.1	1398	1237.61	1	0.0363242
arahy.Tifrunner.gnm2.ann1.86A1BZ.1	477	317.057	0.37563	0.0532603
arahy.Tifrunner.gnm2.ann1.1Z1K26.1	918	757.614	55.4044	3.28759
