target_id	length	eff_length	Aipadur_3	Aipadur_3_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2152.76	656.644	5.05993
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	763.756	3	0.0651592
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	84.4478	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	682.756	80.0616	1.94522
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	637.77	48	1.2485
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	51.3133	1	0.323281
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1333.76	1.09144	0.0135747
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	643.77	4.04459	0.104221
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1126.76	6	0.0883346
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1426.76	225.68	2.62393
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	367.949	6	0.270504
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	736.756	262.116	5.90173
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1288.76	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	172.738	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1393.76	385.63	4.58979
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	445.879	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1276.76	92.6817	1.20419
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2071.76	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1423.76	31.0309	0.36155
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	236.78	58	4.06342
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1528.76	140.404	1.52353
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	808.756	6	0.123067
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	571.819	3	0.0870307
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	128.097	8	1.036
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	302.188	274.906	15.0909
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	946.756	6	0.105129
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1144.76	27.808	0.402964
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1120.76	49.4505	0.73193
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	502.85	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	922.756	89.8913	1.616
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2674.76	176.308	1.09345
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	281.328	56.6437	3.34001
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1243.76	0	0
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	592.819	12.7901	0.3579
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4240.76	701.22	2.74297
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	370.934	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1258.76	8.3256	0.109719
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	254.54	60	3.91025
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	496.85	9	0.300488
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1018.76	77.1589	1.25639
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	811.756	10	0.204354
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	84.4478	14.2079	2.79093
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	619.782	0	0
arahy.Tifrunner.gnm2.ann1.3I834E.1	861	682.756	0	0
arahy.Tifrunner.gnm2.ann1.3M5GW1.1	324	150.09	0	0
arahy.Tifrunner.gnm2.ann1.7L9N0K.1	1176	997.756	40.6154	0.675267
arahy.Tifrunner.gnm2.ann1.PI58T4.1	438	260.483	0	0
arahy.Tifrunner.gnm2.ann1.0GE1ZU.1	669	490.86	5	0.168975
arahy.Tifrunner.gnm2.ann1.1H7P3M.1	867	688.756	149.339	3.59681
arahy.Tifrunner.gnm2.ann1.AFM6H1.1	885	706.756	0	0
arahy.Tifrunner.gnm2.ann1.XEFQ2J.1	207	53.4051	0	0
arahy.Tifrunner.gnm2.ann1.9W3K41.1	1398	1219.76	2	0.0271998
arahy.Tifrunner.gnm2.ann1.86A1BZ.1	477	299.212	0	0
arahy.Tifrunner.gnm2.ann1.1Z1K26.1	918	739.756	1035.2	23.2138
arahy.Tifrunner.gnm2.ann1.CSM94Q.2	1332	1153.76	37.2121	0.535031
arahy.Tifrunner.gnm2.ann1.Q2BBVU.1	348	172.738	0	0
arahy.Tifrunner.gnm2.ann1.49CV5E.1	342	167.037	0	0
arahy.Tifrunner.gnm2.ann1.JS1PTX.1	1887	1708.76	66.2381	0.643039
arahy.Tifrunner.gnm2.ann1.F8HH5F.1	255	89.3598	0	0
arahy.Tifrunner.gnm2.ann1.GHTC3Q.1	615	436.879	138.158	5.24596
arahy.Tifrunner.gnm2.ann1.SHSL16.1	1935	1756.76	29	0.273839
arahy.Tifrunner.gnm2.ann1.YH938E.2	324	150.09	0	0
arahy.Tifrunner.gnm2.ann1.YXX8CM.1	609	430.879	43.6667	1.68114
arahy.Tifrunner.gnm2.ann1.VDQ67E.1	1350	1171.76	35.9026	0.508274
arahy.Tifrunner.gnm2.ann1.33LHWC.1	609	430.879	0	0
arahy.Tifrunner.gnm2.ann1.KQ3EB3.1	1107	928.756	0	0
arahy.Tifrunner.gnm2.ann1.K3YHKD.1	915	736.756	0	0
arahy.Tifrunner.gnm2.ann1.A6X2CD.1	1212	1033.76	472	7.57414
arahy.Tifrunner.gnm2.ann1.0Y513H.1	1524	1345.76	19.3369	0.238358
arahy.Tifrunner.gnm2.ann1.YQ8C5N.1	2808	2629.76	2710.17	17.0958
arahy.Tifrunner.gnm2.ann1.H3V410.1	1269	1090.76	0	0
arahy.Tifrunner.gnm2.ann1.B7BSQF.1	1281	1102.76	14.9061	0.22423
arahy.Tifrunner.gnm2.ann1.5IU4RA.1	270	101.759	1.1055	0.180216
arahy.Tifrunner.gnm2.ann1.NC1EXA.1	576	397.904	0	0
arahy.Tifrunner.gnm2.ann1.K3U1RD.1	2811	2632.76	39.824	0.250925
arahy.Tifrunner.gnm2.ann1.U3PQ4N.1	1476	1297.76	50	0.639126
arahy.Tifrunner.gnm2.ann1.BDSN0J.1	300	128.097	2	0.259001
arahy.Tifrunner.gnm2.ann1.PFN41B.1	2121	1942.76	307.816	2.62834
arahy.Tifrunner.gnm2.ann1.G8PY79.3	2151	1972.76	23.1861	0.194968
arahy.Tifrunner.gnm2.ann1.F8ILKH.1	879	700.756	116.626	2.76083
arahy.Tifrunner.gnm2.ann1.7LSJ26.1	2727	2548.76	87.0635	0.566653
arahy.Tifrunner.gnm2.ann1.DEG7JK.1	426	248.601	1	0.0667279
arahy.Tifrunner.gnm2.ann1.EHW2CP.1	204	51.3133	0	0
arahy.Tifrunner.gnm2.ann1.3ZE8DZ.1	357	181.395	6.51851	0.596119
arahy.Tifrunner.gnm2.ann1.LMDE4E.1	1782	1603.76	6.45238	0.0667408
arahy.Tifrunner.gnm2.ann1.DS477V.1	1410	1231.76	53.1076	0.715223
arahy.Tifrunner.gnm2.ann1.C0950A.1	561	382.912	0	0
arahy.Tifrunner.gnm2.ann1.HG2532.2	1119	940.756	0	0
arahy.Tifrunner.gnm2.ann1.WUL5PS.2	1482	1303.76	227.713	2.89735
arahy.Tifrunner.gnm2.ann1.UVE7PI.1	687	508.85	0	0
arahy.Tifrunner.gnm2.ann1.8XA69V.1	273	104.297	0	0
arahy.Tifrunner.gnm2.ann1.CFM630.1	981	802.756	946.511	19.5592
arahy.Tifrunner.gnm2.ann1.9Z6I10.1	585	406.888	126.875	5.17262
arahy.Tifrunner.gnm2.ann1.IFCS5G.1	267	99.2345	0.306839	0.0512929
arahy.Tifrunner.gnm2.ann1.2R0TK7.1	1206	1027.76	79.8262	1.28844
arahy.Tifrunner.gnm2.ann1.5497SD.1	1221	1042.76	277.266	4.41086
arahy.Tifrunner.gnm2.ann1.RWWV81.1	1830	1651.76	270.143	2.71304
arahy.Tifrunner.gnm2.ann1.NRRA5I.1	243	79.8227	0	0
arahy.Tifrunner.gnm2.ann1.1QRJ4L.1	729	550.819	0	0
arahy.Tifrunner.gnm2.ann1.T35FHV.1	3006	2827.76	266.951	1.56602
