target_id	length	eff_length	Aipadur_1	Aipadur_1_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2147.49	510.543	4.8159
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	758.552	5	0.133525
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	82.6127	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	677.625	51.4869	1.53916
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	632.657	49	1.56893
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	50.5091	1	0.401058
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1328.49	1.04226	0.0158925
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	638.657	3	0.0951546
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1121.49	5.49989	0.0993423
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1421.49	68.0196	0.969318
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	363.069	10	0.557941
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	731.589	198.704	5.50195
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1283.49	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	168.915	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1388.49	323.577	4.72074
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	440.871	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1271.49	57.2226	0.911655
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2066.49	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1418.49	13.6946	0.195569
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	232.18	45	3.92613
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1523.49	108.064	1.43687
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	803.513	0	0
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	566.746	2	0.0714856
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	125.125	6	0.971367
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	297.342	207.126	14.1109
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	941.492	12	0.258191
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1139.49	19.4338	0.34548
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1115.49	17.8095	0.323417
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	497.813	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	917.492	27.5431	0.608116
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2669.49	132.188	1.00309
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	276.52	43.7143	3.20238
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1238.49	4.57502	0.0748301
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	587.688	17.6458	0.608236
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4235.49	651.028	3.11367
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	366.069	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1253.49	9.32878	0.150758
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	249.895	61	4.9448
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	491.813	8	0.329508
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1013.49	58.2534	1.16433
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	806.513	18	0.452104
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	82.6127	9.22098	2.26103
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	614.673	0	0
arahy.Tifrunner.gnm2.ann1.3I834E.1	861	677.625	0	0
arahy.Tifrunner.gnm2.ann1.3M5GW1.1	324	146.697	0	0
arahy.Tifrunner.gnm2.ann1.7L9N0K.1	1176	992.492	37.1948	0.759157
arahy.Tifrunner.gnm2.ann1.PI58T4.1	438	255.8	0	0
arahy.Tifrunner.gnm2.ann1.0GE1ZU.1	669	485.813	8	0.333578
arahy.Tifrunner.gnm2.ann1.1H7P3M.1	867	683.607	131.98	3.9109
arahy.Tifrunner.gnm2.ann1.AFM6H1.1	885	701.607	1	0.0288724
arahy.Tifrunner.gnm2.ann1.XEFQ2J.1	207	52.5019	0	0
arahy.Tifrunner.gnm2.ann1.9W3K41.1	1398	1214.49	6.43499	0.107332
arahy.Tifrunner.gnm2.ann1.86A1BZ.1	477	294.357	0	0
arahy.Tifrunner.gnm2.ann1.1Z1K26.1	918	734.571	871.038	24.0204
arahy.Tifrunner.gnm2.ann1.CSM94Q.2	1332	1148.49	40.9728	0.722678
arahy.Tifrunner.gnm2.ann1.Q2BBVU.1	348	168.915	0	0
arahy.Tifrunner.gnm2.ann1.49CV5E.1	342	163.303	0	0
arahy.Tifrunner.gnm2.ann1.JS1PTX.1	1887	1703.49	37.8889	0.450556
arahy.Tifrunner.gnm2.ann1.F8HH5F.1	255	87.2971	0	0
arahy.Tifrunner.gnm2.ann1.GHTC3Q.1	615	431.893	100	4.6903
arahy.Tifrunner.gnm2.ann1.SHSL16.1	1935	1751.49	20	0.231312
arahy.Tifrunner.gnm2.ann1.YH938E.2	324	146.697	0	0
arahy.Tifrunner.gnm2.ann1.YXX8CM.1	609	425.914	27.6744	1.31623
arahy.Tifrunner.gnm2.ann1.VDQ67E.1	1350	1166.49	37.9254	0.658606
arahy.Tifrunner.gnm2.ann1.33LHWC.1	609	425.914	2	0.0951228
arahy.Tifrunner.gnm2.ann1.KQ3EB3.1	1107	923.492	0	0
arahy.Tifrunner.gnm2.ann1.K3YHKD.1	915	731.589	1	0.0276891
arahy.Tifrunner.gnm2.ann1.A6X2CD.1	1212	1028.49	371	7.30718
arahy.Tifrunner.gnm2.ann1.0Y513H.1	1524	1340.49	10.7357	0.162235
arahy.Tifrunner.gnm2.ann1.YQ8C5N.1	2808	2624.49	2252.16	17.3832
arahy.Tifrunner.gnm2.ann1.H3V410.1	1269	1085.49	0	0
arahy.Tifrunner.gnm2.ann1.B7BSQF.1	1281	1097.49	17.163	0.316789
arahy.Tifrunner.gnm2.ann1.5IU4RA.1	270	99.386	13	2.64969
arahy.Tifrunner.gnm2.ann1.NC1EXA.1	576	392.975	0	0
arahy.Tifrunner.gnm2.ann1.K3U1RD.1	2811	2627.49	28.5846	0.220378
arahy.Tifrunner.gnm2.ann1.U3PQ4N.1	1476	1292.49	44	0.689607
arahy.Tifrunner.gnm2.ann1.BDSN0J.1	300	125.125	0	0
arahy.Tifrunner.gnm2.ann1.PFN41B.1	2121	1937.49	147.958	1.54695
arahy.Tifrunner.gnm2.ann1.G8PY79.3	2151	1967.49	6.61904	0.0681489
arahy.Tifrunner.gnm2.ann1.F8ILKH.1	879	695.607	80.7575	2.35177
arahy.Tifrunner.gnm2.ann1.7LSJ26.1	2727	2543.49	49.6067	0.395081
arahy.Tifrunner.gnm2.ann1.DEG7JK.1	426	244.006	3.04283	0.252612
arahy.Tifrunner.gnm2.ann1.EHW2CP.1	204	50.5091	0	0
arahy.Tifrunner.gnm2.ann1.3ZE8DZ.1	357	177.437	3	0.342495
arahy.Tifrunner.gnm2.ann1.LMDE4E.1	1782	1598.49	10.6023	0.134359
arahy.Tifrunner.gnm2.ann1.DS477V.1	1410	1226.49	0	0
arahy.Tifrunner.gnm2.ann1.C0950A.1	561	378.013	0	0
arahy.Tifrunner.gnm2.ann1.HG2532.2	1119	935.492	1	0.0216539
arahy.Tifrunner.gnm2.ann1.WUL5PS.2	1482	1298.49	208.424	3.25151
arahy.Tifrunner.gnm2.ann1.UVE7PI.1	687	503.813	0	0
arahy.Tifrunner.gnm2.ann1.8XA69V.1	273	101.839	0	0
arahy.Tifrunner.gnm2.ann1.CFM630.1	981	797.533	669.312	17.0003
