target_id	length	eff_length	Ahyp_2	Ahyp_2_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2147.85	663.601	5.39643
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	758.874	3.0196	0.0694997
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	82.9644	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	677.874	46.9389	1.20945
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	632.94	126	3.47705
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	50.4999	20	6.9174
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1328.85	15.534	0.204178
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	638.94	17	0.464721
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1121.85	4.54012	0.0706864
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1421.85	144.051	1.76957
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	363.252	16.2488	0.781297
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	731.874	218.921	5.22461
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1283.85	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	169.314	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1388.85	152.802	1.92166
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	440.991	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1271.85	62.9717	0.864795
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2066.85	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1418.85	19.7674	0.243342
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	232.403	92	6.91433
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1523.85	101.177	1.1597
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	803.849	0	0
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	566.959	0	0
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	125.609	16	2.22485
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	297.513	285.653	16.7701
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	941.849	1	0.0185448
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1139.85	14.8818	0.22804
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1115.85	38.9565	0.609787
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	497.976	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	917.849	154.429	2.93874
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2669.85	199.084	1.30242
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	276.753	55.2857	3.48918
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1238.85	1.13013	0.0159335
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	587.94	12.4465	0.369758
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4235.85	302.074	1.24559
