Category	species	Genus	Like_Paternal_up	Like_Paternal_Down	Like_Maternal_Up	Like_Maternal_Down	Like_Paternal	Like_Maternal	binomial.estimate	binomial.p.value	fisher.estimate	fisher.conf.int_LOW	fisher.conf.int_HI	fisher.p.value
Not-organelle-targeted	Asuecica	Arabidopsis	430	334	336	355	764	691	0.525085910652921	0.0590476675556564	1	0.862262298614494	1.15973990931394	1
Dual-targeted_Interacting	Asuecica	Arabidopsis	3	0	4	1	3	5	0.375	0.7265625	0.542898676209625	0.083992686855041	2.80206777320088	0.489166129030502
Dual-targeted_Non-interacting	Asuecica	Arabidopsis	9	3	9	5	12	14	0.461538461538462	0.845018982887268	0.775379805298335	0.325189469853947	1.82000074139343	0.557044276098101
Mitochondria-targeted_Interacting	Asuecica	Arabidopsis	17	7	12	15	24	27	0.470588235294118	0.779767930553075	0.804075124670064	0.439534824377547	1.46284878635215	0.477706876591647
Mitochondria-targeted_Non-interacting	Asuecica	Arabidopsis	29	17	14	24	46	38	0.547619047619048	0.445204669046576	1.09477143816423	0.68767496603923	1.75174847055855	0.736581957852637
Plastid-targeted_Interacting	Asuecica	Arabidopsis	4	15	8	4	19	12	0.612903225806452	0.281041515059769	1.43170195505659	0.654313103731188	3.25944149290363	0.36760110235302
Plastid-targeted_Non-interacting	Asuecica	Arabidopsis	44	70	71	43	114	114	0.5	1	0.904504910497271	0.677251875587084	1.20798342382495	0.521178718012606
chloroplast	Asuecica	Arabidopsis	0	10	3	5	10	8	0.555555555555556	0.814529418945313	1.13046704230826	0.399142355135934	3.3165927337987	0.817742227015098
mitochondria	Asuecica	Arabidopsis	6	0	1	11	6	12	0.333333333333333	0.237884521484375	0.452459104892788	0.138566575705736	1.31102382821878	0.152778832630391
Not-organelle-targeted	Ahypogaea	Arachis	145	220	982	677	365	1659	0.180335968379447	1.97198397768166e-196	1	0.849105835240066	1.17770948979201	1
Dual-targeted_Interacting	Ahypogaea	Arachis	0	1	4	7	1	11	0.0833333333333333	0.00634765625	0.41333031992499	0.0095772056679826	2.8600411474702	0.70519869411366
Dual-targeted_Non-interacting	Ahypogaea	Arachis	12	13	115	69	25	184	0.119617224880383	4.09326372433128e-31	0.617689637679602	0.383603929403505	0.958051641984543	0.0275689095620129
Mitochondria-targeted_Interacting	Ahypogaea	Arachis	3	5	10	13	8	23	0.258064516129032	0.0106738405302167	1.58053566773267	0.606234316073044	3.69625618722571	0.246596393701565
Mitochondria-targeted_Non-interacting	Ahypogaea	Arachis	1	3	13	13	4	26	0.133333333333333	5.94761222600939e-05	0.699373989104612	0.176317318668412	2.03341321908693	0.636428558665441
Plastid-targeted_Interacting	Ahypogaea	Arachis	1	1	15	17	2	32	0.0588235294117647	6.93835318088532e-08	0.284188204055339	0.0328484118731157	1.12254623890334	0.0711155655170423
Plastid-targeted_Non-interacting	Ahypogaea	Arachis	7	7	54	31	14	85	0.141414141414141	1.42799163471739e-13	0.748719219535159	0.388253835476501	1.34503286273502	0.41918379318446
chloroplast	Ahypogaea	Arachis	0	2	9	0	2	9	0.181818181818182	0.0654296875	1.01004105204795	0.105762431492776	4.90882454426799	1
mitochondria	Ahypogaea	Arachis	1	3	2	0	4	2	0.666666666666667	0.6875	9.07354476000315	1.29518319469654	100.709909187061	0.0118499402353347
Not-organelle-targeted	Cquinoa	Chenopodium	644	649	617	677	1293	1294	0.499806725937379	1	1	0.895359356926866	1.11686999444814	1
Dual-targeted_Interacting	Cquinoa	Chenopodium	1	13	12	3	14	15	0.482758620689655	1	0.934050528136185	0.415881568190833	2.08506293387722	1
Dual-targeted_Non-interacting	Cquinoa	Chenopodium	77	49	75	109	126	184	0.406451612903226	0.00117148056866938	0.685405866629445	0.534829378939597	0.87623187585779	0.00213319749499564
Mitochondria-targeted_Interacting	Cquinoa	Chenopodium	6	15	31	11	21	42	0.333333333333333	0.0111414074153051	0.500515920176252	0.279887002296051	0.870001580841975	0.0103778545036943
Mitochondria-targeted_Non-interacting	Cquinoa	Chenopodium	4	10	8	2	14	10	0.583333333333333	0.541256189346313	1.40089730464172	0.576305727465048	3.53902759907499	0.539371080564863
Plastid-targeted_Interacting	Cquinoa	Chenopodium	18	11	20	11	29	31	0.483333333333333	0.89742182699143	0.936202834550234	0.540956334584162	1.61611972768362	0.896243418603722
Plastid-targeted_Non-interacting	Cquinoa	Chenopodium	40	44	35	44	84	79	0.515337423312883	0.754160389805438	1.06411975027951	0.765410554177038	1.48042274928768	0.746822433744646
chloroplast	Cquinoa	Chenopodium	13	0	0	34	13	34	0.276595744680851	0.00308767646151865	0.382762951757771	0.184504869078643	0.748273411290326	0.00288112030333398
mitochondria	Cquinoa	Chenopodium	1	4	2	0	5	2	0.714285714285714	0.453125	2.50124160516269	0.408573090583424	26.3201036119996	0.452492531783063
Not-organelle-targeted	Gbarbadense	Gossypium	1380	1041	1563	1398	2421	2961	0.449832775919732	1.93567303160404e-13	1	0.926172131486721	1.07971290217378	1
Dual-targeted_Interacting	Gbarbadense	Gossypium	6	6	8	1	12	9	0.571428571428571	0.663623809814453	1.63055999277802	0.629382706620945	4.38966684067838	0.279852339147417
Dual-targeted_Non-interacting	Gbarbadense	Gossypium	93	63	134	60	156	194	0.445714285714286	0.0478038035445328	0.983483610223115	0.785890265661795	1.22922090874913	0.911740026836786
Mitochondria-targeted_Interacting	Gbarbadense	Gossypium	38	8	34	13	46	47	0.494623655913978	1	1.19698278651704	0.776593590123331	1.84395184463077	0.401967594348542
Mitochondria-targeted_Non-interacting	Gbarbadense	Gossypium	21	5	16	7	26	23	0.530612244897959	0.775449654681569	1.38248044329054	0.756143426887583	2.54324961030666	0.312749886949772
Plastid-targeted_Interacting	Gbarbadense	Gossypium	18	3	41	7	21	48	0.304347826086957	0.00155031694948686	0.535147993959917	0.303473473864392	0.913997822752357	0.0199778685475182
Plastid-targeted_Non-interacting	Gbarbadense	Gossypium	44	40	75	34	84	109	0.435233160621762	0.0838015452101862	0.942528425003131	0.696825831384578	1.27123128613282	0.713129426819761
chloroplast	Gbarbadense	Gossypium	0	5	19	0	5	19	0.208333333333333	0.00661075115203857	0.321924308197172	0.0938017064805115	0.89304504714947	0.0220364817208854
mitochondria	Gbarbadense	Gossypium	0	6	1	0	6	1	0.857142857142857	0.125	7.33571903353733	0.889122886749054	337.118755946026	0.0508755257709588
Not-organelle-targeted	Ghirsutum	Gossypium	1344	929	1695	1368	2273	3063	0.425974512743628	2.74392357297855e-27	1	0.925429445158484	1.08057940584411	1
Dual-targeted_Interacting	Ghirsutum	Gossypium	4	11	6	6	15	12	0.555555555555556	0.701108038425446	1.68424652482963	0.734392856816727	3.94922208172906	0.178754961097577
Dual-targeted_Non-interacting	Ghirsutum	Gossypium	63	93	111	102	156	213	0.422764227642276	0.0034978328938267	0.986945670312622	0.791786623673507	1.22813093685925	0.913433847542048
Mitochondria-targeted_Interacting	Ghirsutum	Gossypium	18	15	24	30	33	54	0.379310344827586	0.0314181102338461	0.823537214968193	0.515429381676496	1.29813364028446	0.444351821564357
Mitochondria-targeted_Non-interacting	Ghirsutum	Gossypium	10	9	16	13	19	29	0.395833333333333	0.193412652861938	0.882929397226593	0.466561155237607	1.63387612145398	0.76985749326524
Plastid-targeted_Interacting	Ghirsutum	Gossypium	8	22	24	22	30	46	0.394736842105263	0.0846460926708359	0.878886684249935	0.533850049284907	1.42742500973883	0.641005418613113
Plastid-targeted_Non-interacting	Ghirsutum	Gossypium	28	44	62	46	72	108	0.4	0.00890055394177072	0.898359669894588	0.653907390795027	1.22821772594479	0.5398643520769
chloroplast	Ghirsutum	Gossypium	0	22	2	0	22	2	0.916666666666667	3.58819961547851e-05	14.8159986123342	3.63663336931514	130.349367891806	7.20109864293812e-07
mitochondria	Ghirsutum	Gossypium	0	9	1	1	9	2	0.818181818181818	0.0654296875	6.06123069595742	1.25305199009255	57.6364708341321	0.0119547992602586
