target_id	length	eff_length	Cq_6	Cq_6_tpm
AUR62003775	1152	969.181	11.4352	0.15365
AUR62039511	429	248.321	16.9763	0.890271
AUR62009679	621	438.582	1051.41	31.2187
AUR62005977	984	801.197	4	0.0650149
AUR62036206	984	801.197	0	0
AUR62011627	2139	1956.18	449.129	2.98988
AUR62012836	1632	1449.18	19.5125	0.17534
AUR62016937	414	233.708	0	0
AUR62032931	936	753.243	0	0
AUR62001032	261	94.1394	0	0
AUR62010506	1254	1071.18	15	0.182356
AUR62017663	2118	1935.18	136.794	0.920532
AUR62026012	504	322.161	4	0.161689
AUR62026976	471	289.465	0	0
AUR62013354	765	582.389	22	0.491928
AUR62017101	228	68.3008	74	14.109
AUR62013408	348	170.812	0	0
AUR62026758	1770	1587.18	143.207	1.17498
AUR62033650	1269	1086.18	0	0
AUR62044042	303	129.919	0	0
AUR62008361	3486	3303.18	61	0.240486
AUR62011815	735	552.435	39	0.919339
AUR62007629	1611	1428.18	331.086	3.01891
AUR62018235	1104	921.181	1440.26	20.3605
AUR62030665	966	783.213	22.3863	0.372215
AUR62037129	2730	2547.18	65.3523	0.334113
AUR62044095	2046	1863.18	44.8891	0.313746
AUR62014261	522	339.976	0	0
AUR62032708	738	555.435	0	0
AUR62034389	3978	3795.18	106.254	0.36459
AUR62030379	531	348.914	0	0
AUR62031825	573	390.647	0	0
AUR62024569	1353	1170.18	0	0
AUR62033990	1713	1530.18	0	0
AUR62013676	474	292.418	0	0
AUR62031509	2433	2250.18	0	0
AUR62002554	1116	933.181	57.4445	0.801632
AUR62018017	255	89.1956	123	17.9578
AUR62015496	768	585.389	0	0
AUR62004713	183	39.0913	101	33.646
AUR62029199	474	292.418	6	0.267201
AUR62005702	1302	1119.18	43.9995	0.511964
AUR62002847	2241	2058.18	134	0.847839
AUR62003148	1197	1014.18	3	0.038521
AUR62012766	2391	2208.18	219.198	1.29269
AUR62035298	2655	2472.18	330.802	1.74253
AUR62012758	918	735.243	262.316	4.64608
AUR62030796	1305	1122.18	3	0.0348137
AUR62007551	777	594.389	457.809	10.0301
AUR62013998	864	681.313	0	0
AUR62017050	384	204.789	11.4168	0.725989
AUR62004427	1023	840.181	41	0.635482
AUR62000177	909	726.243	26.9295	0.482879
AUR62025910	813	630.377	0	0
AUR62003412	531	348.914	45	1.67953
AUR62004651	2100	1917.18	113.139	0.768496
AUR62026425	1088	905.181	194	2.79099
AUR62012423	1962	1779.18	51.121	0.374172
AUR62035144	588	405.623	29.9834	0.962609
AUR62000097	1566	1383.18	13.5909	0.127956
AUR62009178	579	396.623	35.4219	1.16301
AUR62003314	1758	1575.18	68.5582	0.566789
AUR62040559	3753	3570.18	180.007	0.656585
AUR62035375	3351	3168.18	7.65063	0.031447
AUR62019552	654	471.546	539.879	14.9095
AUR62024206	1506	1323.18	79.1143	0.778624
AUR62027493	936	753.243	46.7965	0.80904
AUR62031805	864	681.313	210.909	4.03126
AUR62031177	2034	1851.18	75.2776	0.529553
AUR62006343	1650	1467.18	10	0.0887582
AUR62039498	549	366.813	4	0.142006
AUR62017783	1857	1674.18	75.336	0.585993
AUR62001907	327	151.532	0	0
AUR62026287	594	411.599	14	0.442941
AUR62012020	843	660.313	53	1.04525
AUR62001009	1338	1155.18	5	0.0563653
AUR62003673	651	468.546	16	0.444693
AUR62032751	1878	1695.18	230.582	1.77134
AUR62012508	1329	1146.18	0	0
AUR62025098	360	182.123	0	0
AUR62031213	630	447.573	7.26059	0.211252
AUR62040512	1413	1230.18	0	0
AUR62026943	630	447.573	0	0
AUR62036635	642	459.546	1.30644	0.0370214
AUR62021212	1275	1092.18	77.4883	0.923918
AUR62025691	1275	1092.18	66.3733	0.791391
AUR62044300_AUR62036674	1074	891.181	38.4524	0.561888
AUR62017670	1116	933.181	33.7406	0.470846
AUR62011514	1395	1212.18	0	0
AUR62037899	1920	1737.18	21.4762	0.160992
AUR62039224	603	420.59	50	1.54811
AUR62036065	1110	927.181	5	0.070226
AUR62000005	2289	2106.18	66	0.408075
AUR62022200	4428	4245.18	692.551	2.12446
AUR62033290	1422	1239.18	0	0
AUR62013253	1698	1515.18	13	0.11173
AUR62038293	2121	1938.18	3	0.0201567
AUR62025411	2073	1890.18	167.388	1.15322
AUR62030875	2538	2355.18	0	0
AUR62037720	1626	1443.18	73.9004	0.666835
AUR62031228	1554	1371.18	69.3213	0.658361
AUR62020574	1692	1509.18	8	0.0690305
AUR62020710	963	780.213	53.4589	0.892276
AUR62030580	708	525.467	10	0.247826
AUR62037464	441	260.046	0	0
AUR62003048	2412	2229.18	15	0.087627
AUR62023455	3849	3666.18	161.578	0.573933
AUR62016429	2685	2502.18	450.474	2.34446
AUR62009276	1899	1716.18	91.693	0.695769
AUR62027030	7311	7128.18	501.809	0.916752
AUR62009392	1371	1188.18	449.243	4.92369
AUR62009070	1374	1191.18	0	0
AUR62019274	1866	1683.18	102.561	0.793494
AUR62036947	4476	4293.18	174.039	0.527909
AUR62016493	1338	1155.18	46.9033	0.528744
AUR62024924	597	414.59	0	0
AUR62036698	696	513.477	93	2.3586
AUR62004533	944	761.213	107	1.8305
AUR62005346	1128	945.181	11	0.151555
AUR62035326	741	558.435	29	0.676266
AUR62032536	1386	1203.18	155.321	1.68109
AUR62028983	930	747.243	25.6464	0.446947
AUR62011017	768	585.389	1	0.0222458
AUR62011357	1326	1143.18	158.153	1.80158
AUR62022291	1995	1812.18	4.54523	0.0326623
AUR62008916	522	339.976	60	2.29824
AUR62006787	939	756.213	0	0
AUR62028451	2343	2160.18	93.1997	0.561845
AUR62015503	1758	1575.18	170.91	1.41296
AUR62011460	912	729.243	4.12732	0.0737034
AUR62000712	1635	1452.18	12.1506	0.108961
AUR62004045	1458	1275.18	64	0.653582
AUR62030297	1770	1587.18	22.4651	0.184321
AUR62032554	1230	1047.18	194.909	2.42383
AUR62038709	1905	1722.18	367.159	2.77631
AUR62025804	726	543.435	0	0
AUR62008405	687	504.487	0	0
AUR62019207	585	402.623	240.784	7.78792
AUR62044482	435	254.154	0	0
AUR62027833	1416	1233.18	10	0.1056
AUR62011420	207	53.569	887	215.626
AUR62044439	1227	1044.18	0	0
AUR62040388	3144	2961.18	166.171	0.730771
AUR62043759	1725	1542.18	31.809	0.2686
AUR62013994	1161	978.181	2	0.0266258
AUR62027445	1050	867.181	50.3624	0.756291
AUR62041086	834	651.313	0	0
AUR62026685	330	154.232	1463.72	123.587
AUR62007084	267	98.9899	79.1919	10.4179
AUR62008178	1266	1083.18	102.285	1.22971
AUR62039084	840	657.313	95.5529	1.89306
AUR62032983	558	375.746	0	0
AUR62009381	204	51.5956	12	3.02873
AUR62023698	2367	2184.18	202	1.20436
AUR62012074	876	693.285	0	0
AUR62016998	693	510.477	0	0
AUR62012625	3477	3294.18	122.573	0.484552
AUR62039951	351	173.615	0	0
AUR62025732	1611	1428.18	42	0.382964
AUR62030708	798	615.389	0	0
AUR62018084	492	310.262	44	1.84678
AUR62026706	1482	1299.18	11	0.110259
AUR62038318	555	372.746	0	0
AUR62005211	507	325.128	5530.59	221.518
AUR62019339	729	546.435	0	0
AUR62039464	594	411.599	52	1.64521
AUR62032162	837	654.313	29	0.577171
AUR62039907	594	411.599	41.3015	1.30672
AUR62004092	1539	1356.18	32	0.307273
AUR62022903	5349	5166.18	159.181	0.401249
AUR62032472	1398	1215.18	1285.38	13.7748
AUR62006611	3651	3468.18	344.01	1.2917
AUR62032834	498	316.218	0	0
AUR62026053	339	162.476	577.586	46.2934
AUR62014117	1122	939.181	144.268	2.00038
AUR62016280	885	702.257	0	0
AUR62036555	1086	903.181	1	0.0144184
AUR62035050	1908	1725.18	2	0.0150969
AUR62013101	2196	2013.18	8	0.0517487
AUR62028897	624	441.573	5	0.147455
AUR62040376	1479	1296.18	0	0
AUR62000978	1626	1443.18	2	0.0180468
AUR62015665	645	462.546	0	0
AUR62002594	1236	1053.18	736.627	9.10829
AUR62042714	288	116.77	0	0
AUR62004671	2427	2244.18	198.394	1.15123
AUR62007514	1866	1683.18	48.4623	0.374943
AUR62028495	816	633.377	0	0
AUR62007779	855	672.313	0	0
AUR62031544	3164	2981.18	317.347	1.38624
AUR62028325	1308	1125.18	0	0
AUR62043255	723	540.445	0	0
AUR62001557	801	618.389	21.3842	0.450322
AUR62033735	2229	2046.18	31	0.197292
AUR62028934	1062	879.181	28.549	0.422868
AUR62017492	885	702.257	0	0
AUR62029848	789	606.389	0	0
AUR62043680	1098	915.181	0	0
AUR62030815	564	381.709	3.70519	0.126407
AUR62037110	855	672.313	64.4395	1.24817
AUR62042842	1542	1359.18	65.3762	0.626376
AUR62005426	969	786.213	0	0
AUR62019168	897	714.257	861.649	15.7097
AUR62015304	816	633.377	0	0
AUR62028778	999	816.181	1	0.0159553
AUR62024937	1251	1068.18	149.821	1.8265
AUR62024904	3147	2964.18	1149.52	5.05016
AUR62011783	1275	1092.18	18	0.21462
AUR62023268	288	116.77	90	10.037
AUR62027343	216	59.7175	0	0
AUR62030423	1131	948.181	5	0.0686706
AUR62011668	2919	2736.18	228.408	1.08707
AUR62013982	1104	921.181	0	0
AUR62033053	411	230.769	0	0
AUR62008439	2208	2025.18	56.308	0.362075
AUR62029906	3285	3102.18	62.8442	0.263809
AUR62040127	957	774.213	0	0
AUR62007966	1875	1692.18	0	0
AUR62042250	291	119.363	0	0
AUR62027083	1359	1176.18	19.7881	0.21909
AUR62036103	1338	1155.18	155.863	1.75705
AUR62015987	702	519.477	250.732	6.28543
AUR62016198	1587	1404.18	81.2888	0.753875
AUR62006586	1788	1605.18	175.595	1.42456
AUR62024801	648	465.546	47.5263	1.32942
AUR62028243	1386	1203.18	0	0
AUR62034589	1491	1308.18	0	0
AUR62017262	2340	2157.18	0	0
AUR62042556	1092	909.181	0	0
AUR62023688	1869	1686.18	81.2689	0.627642
AUR62014874	384	204.789	0	0
AUR62033710	1176	993.181	981.358	12.8674
AUR62015781	336	159.694	1971.43	160.763
AUR62003570	429	248.321	61.2809	3.21369
AUR62031872	633	450.564	318.42	9.20312
AUR62009473	1653	1470.18	242	2.14357
AUR62019199	960	777.213	0	0
AUR62026572	243	79.5519	0	0
AUR62014042	1860	1677.18	318.703	2.47456
AUR62010097	843	660.313	47.7108	0.940935
AUR62037072	1026	843.181	314.835	4.86245
AUR62010819	981	798.197	28.108	0.458577
AUR62014009	531	348.914	0	0
AUR62040478	390	210.563	0	0
AUR62008541	1089	906.181	0	0
AUR62020130	1161	978.181	29	0.386074
AUR62017404	306	132.554	0	0
AUR62013970	864	681.313	38.0504	0.727286
AUR62006857	2778	2595.18	6.60933	0.0331651
AUR62033509	1293	1110.18	13	0.15249
AUR62001802	621	438.582	1	0.0296921
AUR62023904	2172	1989.18	75.0845	0.491551
