target_id	length	eff_length	Cs_1	Cs_1_tpm
AUR62003775	1152	967.053	10	0.160968
AUR62039511	429	245.616	15.5707	0.986825
AUR62009679	621	436.277	439.953	15.6977
AUR62005977	984	799.053	8	0.155849
AUR62036206	984	799.053	0	0
AUR62011627	2139	1954.05	251.425	2.00292
AUR62012836	1632	1447.05	4	0.0430295
AUR62016937	414	230.96	0	0
AUR62032931	936	751.069	1	0.0207258
AUR62001032	261	90.8602	0	0
AUR62010506	1254	1069.05	5	0.072805
AUR62017663	2118	1933.05	831.443	6.69544
AUR62026012	504	319.699	1.00639	0.049002
AUR62026976	471	286.911	0	0
AUR62013354	765	580.156	47	1.26108
AUR62017101	228	65.1694	21	5.0161
AUR62013408	348	167.911	0	0
AUR62026758	1770	1585.05	200.614	1.97019
AUR62033650	1269	1084.05	0	0
AUR62044042	303	126.677	0	0
AUR62008361	3486	3301.05	33	0.155615
AUR62011815	735	550.19	18.3877	0.520241
AUR62007629	1611	1426.05	107.699	1.17562
AUR62018235	1104	919.053	1174.72	19.8968
AUR62030665	966	781.053	10.5151	0.209568
AUR62037129	2730	2545.05	117.549	0.71897
AUR62044095	2046	1861.05	1	0.00836434
AUR62014261	522	337.595	0	0
AUR62032708	738	553.19	0	0
AUR62034389	3978	3793.05	26.4914	0.108719
AUR62030379	531	346.526	1	0.0449215
AUR62031825	573	388.36	0	0
AUR62024569	1353	1168.05	1	0.0133269
AUR62033990	1713	1528.05	4	0.0407485
AUR62013676	474	289.888	0	0
AUR62031509	2433	2248.05	3.02471	0.0209444
AUR62002554	1116	931.053	43.6271	0.729411
AUR62018017	255	85.9435	80	14.49
AUR62015496	768	583.156	0	0
AUR62004713	183	36.6471	106	45.0254
AUR62029199	474	289.888	1	0.0536983
AUR62005702	1302	1117.05	25.0155	0.348599
AUR62002847	2241	2056.05	288	2.18046
AUR62003148	1197	1012.05	0	0
AUR62012766	2391	2206.05	114.925	0.810939
AUR62035298	2655	2470.05	681.005	4.29175
AUR62012758	918	733.069	132.824	2.82047
AUR62030796	1305	1120.05	3	0.041694
AUR62007551	777	592.144	94.9736	2.4967
AUR62013998	864	679.069	346.754	7.94874
AUR62017050	384	201.875	5.721	0.441143
AUR62004427	1023	838.053	54	1.00303
AUR62000177	909	724.069	21.5447	0.463182
AUR62025910	813	628.108	10.6689	0.264408
AUR62003412	531	346.526	2	0.089843
AUR62004651	2100	1915.05	108.313	0.880424
AUR62026425	1088	903.053	59	1.01702
AUR62012423	1962	1777.05	73.8332	0.646758
AUR62035144	588	403.336	17.3148	0.668255
AUR62000097	1566	1381.05	5.6	0.0631202
AUR62009178	579	394.36	70.8181	2.79539
AUR62003314	1758	1573.05	106.801	1.05687
AUR62040559	3753	3568.05	269.057	1.17383
AUR62035375	3351	3166.05	5.70941	0.0280714
AUR62019552	654	469.232	536.555	17.7999
AUR62024206	1506	1321.05	356.725	4.20343
AUR62027493	936	751.069	22.8362	0.473298
AUR62031805	864	679.069	62.3077	1.4283
AUR62031177	2034	1849.05	43.1375	0.363158
AUR62006343	1650	1465.05	9	0.0956268
AUR62039498	549	364.42	3.4836	0.148805
AUR62017783	1857	1672.05	52.7436	0.491032
AUR62001907	327	148.491	0	0
AUR62026287	594	409.336	62.3171	2.36984
AUR62012020	843	658.082	22.2065	0.525279
AUR62001009	1338	1153.05	4	0.0540009
AUR62003673	651	466.232	35	1.16857
AUR62032751	1878	1693.05	118.832	1.09258
AUR62012508	1329	1144.05	1	0.0136064
AUR62025098	360	179.129	0	0
AUR62031213	630	445.259	5.51159	0.192688
AUR62040512	1413	1228.05	5	0.0633787
AUR62026943	630	445.259	0	0
AUR62036635	642	457.241	0	0
AUR62021212	1275	1090.05	75.249	1.07459
AUR62025691	1275	1090.05	2116.63	30.2266
AUR62044300_AUR62036674	1074	889.053	52.7821	0.924165
AUR62017670	1116	931.053	32.2991	0.540016
AUR62011514	1395	1210.05	1	0.0128643
AUR62037899	1920	1735.05	41.6245	0.373445
AUR62039224	603	418.303	52	1.9351
AUR62036065	1110	925.053	6.70919	0.1129
AUR62000005	2289	2104.05	16.0135	0.118473
AUR62022200	4428	4243.05	2175.71	7.98201
AUR62033290	1422	1237.05	2	0.025167
AUR62013253	1698	1513.05	7	0.0720169
AUR62038293	2121	1936.05	0	0
AUR62025411	2073	1888.05	72.3797	0.596751
AUR62030875	2538	2353.05	0	0
AUR62037720	1626	1441.05	28.7465	0.310524
AUR62031228	1554	1369.05	45.0498	0.512228
AUR62020574	1692	1507.05	9.39328	0.097024
AUR62020710	963	778.069	92.9434	1.85948
AUR62030580	708	523.222	35	1.04129
AUR62037464	441	257.405	0	0
AUR62003048	2412	2227.05	32	0.223671
AUR62023455	3849	3664.05	102.579	0.435798
AUR62016429	2685	2500.05	527.22	3.28271
AUR62009276	1899	1714.05	78.5834	0.713669
AUR62027030	7311	7126.05	607.691	1.32747
AUR62009392	1371	1186.05	255.324	3.35102
AUR62009070	1374	1189.05	2	0.026183
AUR62019274	1866	1681.05	71.4625	0.66174
AUR62036947	4476	4291.05	663.19	2.40583
AUR62016493	1338	1153.05	81.3165	1.09779
AUR62024924	597	412.311	3	0.113263
AUR62036698	696	511.222	286	8.70857
AUR62004533	944	759.069	48	0.984352
AUR62005346	1128	943.053	2.09795	0.0346297
AUR62035326	741	556.19	21.7654	0.609162
AUR62032536	1386	1201.05	76.6381	0.993282
AUR62028983	930	745.069	30	0.62678
AUR62011017	768	583.156	12.1922	0.325452
AUR62011357	1326	1141.05	107.322	1.4641
AUR62022291	1995	1810.05	19.7553	0.169896
AUR62008916	522	337.595	21.4375	0.988482
AUR62006787	939	754.069	0	0
AUR62028451	2343	2158.05	5.62683	0.0405875
