target_id	length	eff_length	Cp_7	Cp_7_tpm
AUR62003775	1152	964.785	0	0
AUR62039511	429	243.772	5.63065	0.381324
AUR62009679	621	434.219	2.01359	0.0765567
AUR62005977	984	796.785	7	0.145036
AUR62036206	984	796.785	0	0
AUR62011627	2139	1951.78	667.87	5.64912
AUR62012836	1632	1444.78	15	0.171399
AUR62016937	414	229.164	0	0
AUR62032931	936	748.785	0	0
AUR62001032	261	90.26	0	0
AUR62010506	1254	1066.78	2	0.0309509
AUR62017663	2118	1930.78	44.2744	0.378564
AUR62026012	504	317.708	6	0.311776
AUR62026976	471	285.064	0	0
AUR62013354	765	577.935	2	0.0571309
AUR62017101	228	65.0767	0	0
AUR62013408	348	166.358	0	0
AUR62026758	1770	1582.78	559.852	5.83945
AUR62033650	1269	1081.78	0	0
AUR62044042	303	125.55	1	0.131494
AUR62008361	3486	3298.78	0	0
AUR62011815	735	548.011	33	0.994134
AUR62007629	1611	1423.78	507.61	5.88581
AUR62018235	1104	916.785	3431.7	61.7962
AUR62030665	966	778.785	5.17549	0.109712
AUR62037129	2730	2542.78	6.77387	0.0439792
AUR62044095	2046	1858.78	3	0.0266448
AUR62014261	522	335.611	0	0
AUR62032708	738	551.011	0	0
AUR62034389	3978	3790.78	4	0.0174201
AUR62030379	531	344.548	0	0
AUR62031825	573	386.342	0	0
AUR62024569	1353	1165.78	0	0
AUR62033990	1713	1525.78	0	0
AUR62013676	474	288.007	2	0.114643
AUR62031509	2433	2245.78	1	0.00735109
AUR62002554	1116	928.785	150.777	2.68003
AUR62018017	255	85.5452	61	11.7721
AUR62015496	768	580.916	0	0
AUR62004713	183	36.8013	18	8.07476
AUR62029199	474	288.007	1.05263	0.0603384
AUR62005702	1302	1114.78	87.9419	1.30234
AUR62002847	2241	2053.78	224.537	1.8049
AUR62003148	1197	1009.78	0	0
AUR62012766	2391	2203.78	455.01	3.40857
AUR62035298	2655	2467.78	122.131	0.817029
AUR62012758	918	730.785	383.088	8.65424
AUR62030796	1305	1117.78	11	0.162463
AUR62007551	777	589.906	251.532	7.03932
AUR62013998	864	676.843	0	0
AUR62017050	384	200.298	15.068	1.24194
AUR62004427	1023	835.785	29	0.572827
AUR62000177	909	721.785	47.4871	1.08614
AUR62025910	813	625.886	0	0
AUR62003412	531	344.548	1	0.0479148
AUR62004651	2100	1912.78	11.4891	0.099161
AUR62026425	1088	900.785	0	0
AUR62012423	1962	1774.78	41.57	0.386683
AUR62035144	588	401.303	13.2082	0.543362
AUR62000097	1566	1378.78	9	0.107762
AUR62009178	579	392.317	0	0
AUR62003314	1758	1570.78	31.7297	0.33348
AUR62040559	3753	3565.78	31.7638	0.147061
AUR62035375	3351	3163.78	2	0.0104362
AUR62019552	654	467.136	1727.6	61.0548
AUR62024206	1506	1318.78	27.6923	0.346661
AUR62027493	936	748.785	48	1.05829
AUR62031805	864	676.843	161	3.92697
AUR62031177	2034	1846.78	184.584	1.65005
AUR62006343	1650	1462.78	19	0.214434
AUR62039498	549	362.447	14.9292	0.680005
AUR62017783	1857	1669.78	167	1.65111
AUR62001907	327	146.974	0	0
AUR62026287	594	407.29	131	5.30992
AUR62012020	843	655.854	45.9223	1.15594
AUR62001009	1338	1150.78	12	0.17215
AUR62003673	651	464.16	4	0.14227
AUR62032751	1878	1690.78	536.56	5.23902
AUR62012508	1329	1141.78	1	0.0144589
AUR62025098	360	177.548	0	0
AUR62031213	630	443.197	8	0.297998
AUR62040512	1413	1225.78	0	0
AUR62026943	630	443.197	0	0
AUR62036635	642	455.167	0	0
AUR62021212	1275	1087.78	8.32041	0.126276
AUR62025691	1275	1087.78	13.3795	0.203056
AUR62044300_AUR62036674	1074	886.785	7.55513	0.140651
AUR62017670	1116	928.785	11.1351	0.197924
AUR62011514	1395	1207.78	2	0.0273376
AUR62037899	1920	1732.78	25.2303	0.24038
AUR62039224	603	416.276	81	3.21236
AUR62036065	1110	922.785	27	0.48304
AUR62000005	2289	2101.78	70.8562	0.556557
AUR62022200	4428	4240.78	27.8151	0.108281
AUR62033290	1422	1234.78	1	0.0133699
AUR62013253	1698	1510.78	2	0.0218548
AUR62038293	2121	1933.78	0	0
AUR62025411	2073	1885.78	267.684	2.34342
AUR62030875	2538	2350.78	0	0
AUR62037720	1626	1438.78	168.859	1.93753
AUR62031228	1554	1366.78	128.283	1.5495
AUR62020574	1692	1504.78	34	0.373014
AUR62020710	963	775.785	296.969	6.3196
AUR62030580	708	521.046	93	2.94664
AUR62037464	441	255.522	0	0
AUR62003048	2412	2224.78	10	0.0742048
