target_id	length	eff_length	Cp_5	Cp_5_tpm
AUR62003775	1152	966.69	0	0
AUR62039511	429	245.64	9.05386	0.582869
AUR62009679	621	436.12	3.02897	0.109831
AUR62005977	984	798.706	10	0.197993
AUR62036206	984	798.706	0	0
AUR62011627	2139	1953.69	788.076	6.37894
AUR62012836	1632	1446.69	8	0.0874482
AUR62016937	414	230.897	0	0
AUR62032931	936	750.706	0	0
AUR62001032	261	91.0548	0	0
AUR62010506	1254	1068.69	19	0.28115
AUR62017663	2118	1932.69	31.5134	0.257851
AUR62026012	504	319.629	12	0.593705
AUR62026976	471	286.889	0	0
AUR62013354	765	579.857	1.05097	0.0286621
AUR62017101	228	65.6075	0	0
AUR62013408	348	168.028	0	0
AUR62026758	1770	1584.69	691	6.89557
AUR62033650	1269	1083.69	1	0.0145926
AUR62044042	303	126.911	2	0.249212
AUR62008361	3486	3300.69	0	0
AUR62011815	735	549.946	44.7087	1.28561
AUR62007629	1611	1425.69	563.661	6.25215
AUR62018235	1104	918.69	4652.93	80.0929
AUR62030665	966	780.706	4.07958	0.0826351
AUR62037129	2730	2544.69	10.0929	0.0627216
AUR62044095	2046	1860.69	0	0
AUR62014261	522	337.464	0	0
AUR62032708	738	552.924	0	0
AUR62034389	3978	3792.69	1	0.00416955
AUR62030379	531	346.396	0	0
AUR62031825	573	388.201	0	0
AUR62024569	1353	1167.69	0	0
AUR62033990	1713	1527.69	0	0
AUR62013676	474	289.872	0	0
AUR62031509	2433	2247.69	3	0.0211067
AUR62002554	1116	930.69	212.148	3.60472
AUR62018017	255	86.2132	73	13.3901
AUR62015496	768	582.857	1.17742	0.0319452
AUR62004713	183	37.0354	20	8.53984
AUR62029199	474	289.872	1.04348	0.0569263
AUR62005702	1302	1116.69	92.9576	1.3164
AUR62002847	2241	2055.69	240	1.84625
AUR62003148	1197	1011.69	1	0.0156311
AUR62012766	2391	2205.69	579.096	4.15186
AUR62035298	2655	2469.69	153.512	0.982962
AUR62012758	918	732.721	461.929	9.96948
AUR62030796	1305	1119.69	12	0.169481
AUR62007551	777	591.857	270.463	7.2265
AUR62013998	864	678.805	0	0
AUR62017050	384	201.959	21.0152	1.64553
AUR62004427	1023	837.69	53	1.00053
AUR62000177	909	723.721	58.6434	1.2814
AUR62025910	813	627.857	0	0
AUR62003412	531	346.396	1	0.0456524
AUR62004651	2100	1914.69	22.0273	0.181928
AUR62026425	1088	902.69	0	0
AUR62012423	1962	1776.69	35	0.311525
AUR62035144	588	403.161	14	0.549143
AUR62000097	1566	1380.69	6	0.0687213
AUR62009178	579	394.185	3.0995	0.124345
AUR62003314	1758	1572.69	33.9518	0.341394
AUR62040559	3753	3567.69	31.694	0.140484
AUR62035375	3351	3165.69	5.5157	0.027553
AUR62019552	654	469.066	2120.61	71.4931
AUR62024206	1506	1320.69	55.0843	0.659573
AUR62027493	936	750.706	67	1.41137
AUR62031805	864	678.805	196	4.56612
AUR62031177	2034	1848.69	204.275	1.74738
AUR62006343	1650	1464.69	2	0.0215934
AUR62039498	549	364.374	15	0.650998
AUR62017783	1857	1671.69	255.952	2.42125
AUR62001907	327	148.585	0	0
AUR62026287	594	409.153	81.9252	3.16642
AUR62012020	843	657.805	51.5399	1.23903
AUR62001009	1338	1152.69	5	0.0685952
AUR62003673	651	466.066	9	0.305374
AUR62032751	1878	1692.69	629.658	5.88252
AUR62012508	1329	1143.69	1	0.013827
AUR62025098	360	179.224	2	0.17647
AUR62031213	630	445.102	17	0.603984
AUR62040512	1413	1227.69	0	0
AUR62026943	630	445.102	0	0
AUR62036635	642	457.075	0	0
AUR62021212	1275	1089.69	11.6042	0.168402
AUR62025691	1275	1089.69	14.7991	0.214767
AUR62044300_AUR62036674	1074	888.69	9.3913	0.167114
AUR62017670	1116	930.69	21.7482	0.369535
AUR62011514	1395	1209.69	0	0
AUR62037899	1920	1734.69	9	0.0820459
AUR62039224	603	418.145	101	3.81971
AUR62036065	1110	924.69	51	0.872188
AUR62000005	2289	2103.69	33.6924	0.253271
AUR62022200	4428	4242.69	32.9881	0.122957
AUR62033290	1422	1236.69	1	0.0127872
AUR62013253	1698	1512.69	0	0
AUR62038293	2121	1935.69	0	0
AUR62025411	2073	1887.69	241.808	2.0257
AUR62030875	2538	2352.69	0	0
AUR62037720	1626	1440.69	196.672	2.15878
AUR62031228	1554	1368.69	134.028	1.54855
AUR62020574	1692	1506.69	46	0.482803
AUR62020710	963	777.706	404.962	8.23447
AUR62030580	708	522.978	98	2.96332
AUR62037464	441	257.393	0	0
AUR62003048	2412	2226.69	10	0.0710193
AUR62023455	3849	3663.69	374.871	1.61808
AUR62016429	2685	2499.69	22.6213	0.143109
AUR62009276	1899	1713.69	91.5116	0.844462
AUR62027030	7311	7125.69	2263.88	5.02416
AUR62009392	1371	1185.69	1.06001	0.0141376
AUR62009070	1374	1188.69	0	0
AUR62019274	1866	1680.69	5.64752	0.0531381
AUR62036947	4476	4290.69	46.5332	0.171503
AUR62016493	1338	1152.69	1.06035	0.014547
AUR62024924	597	412.145	0	0
AUR62036698	696	510.978	16	0.49517
AUR62004533	944	758.706	1	0.0208431
AUR62005346	1128	942.69	0	0
AUR62035326	741	555.913	0	0
AUR62032536	1386	1200.69	335.826	4.42303
AUR62028983	930	744.706	72.8386	1.54672
