target_id	length	eff_length	Cs_2	Cs_2_tpm
AUR62003775	1152	976.967	9	0.208846
AUR62039511	429	254.965	17.8619	1.58821
AUR62009679	621	446.005	557.121	28.3187
AUR62005977	984	808.967	7	0.196169
AUR62036206	984	808.967	0	0
AUR62011627	2139	1963.97	25.2737	0.291741
AUR62012836	1632	1456.97	2	0.0311202
AUR62016937	414	240.196	0	0
AUR62032931	936	760.967	1	0.0297918
AUR62001032	261	97.8586	0	0
AUR62010506	1254	1078.97	1	0.0210114
AUR62017663	2118	1942.97	683	7.96926
AUR62026012	504	329.227	0	0
AUR62026976	471	296.458	0	0
AUR62013354	765	589.989	55	2.1134
AUR62017101	228	71.5246	22	6.97317
AUR62013408	348	176.498	0	0
AUR62026758	1770	1594.97	11.4477	0.162715
AUR62033650	1269	1093.97	0	0
AUR62044042	303	134.697	0	0
AUR62008361	3486	3310.97	53	0.362897
AUR62011815	735	559.989	1.08601	0.0439661
AUR62007629	1611	1435.97	0	0
AUR62018235	1104	928.967	182.365	4.45044
AUR62030665	966	790.967	6.15801	0.1765
AUR62037129	2730	2554.97	136.529	1.21144
AUR62044095	2046	1870.97	0	0
AUR62014261	522	347.154	0	0
AUR62032708	738	562.989	0	0
AUR62034389	3978	3802.97	32	0.190761
AUR62030379	531	356.136	0	0
AUR62031825	573	398.054	0.996152	0.0567344
AUR62024569	1353	1177.97	1	0.0192455
AUR62033990	1713	1537.97	5.78782	0.085316
AUR62013676	474	299.413	0	0
AUR62031509	2433	2257.97	1	0.0100403
AUR62002554	1116	940.967	2.07367	0.0499607
AUR62018017	255	92.9236	59	14.3942
AUR62015496	768	592.989	0	0
AUR62004713	183	40.9671	111	61.4258
AUR62029199	474	299.413	5	0.378583
AUR62005702	1302	1126.97	3.27339	0.0658491
AUR62002847	2241	2065.97	233	2.55679
AUR62003148	1197	1021.97	0	0
AUR62012766	2391	2215.97	6.23787	0.0638169
AUR62035298	2655	2479.97	711.722	6.5062
AUR62012758	918	742.967	54.8748	1.67443
AUR62030796	1305	1129.97	1	0.0200631
AUR62007551	777	601.979	10.3121	0.388356
AUR62013998	864	688.979	1013.7	33.3555
AUR62017050	384	210.949	0	0
AUR62004427	1023	847.967	44	1.17635
AUR62000177	909	733.967	0	0
AUR62025910	813	637.979	11.379	0.404351
AUR62003412	531	356.136	4	0.254628
AUR62004651	2100	1924.97	151	1.77835
AUR62026425	1088	912.967	22	0.546299
AUR62012423	1962	1786.97	86.8986	1.10245
AUR62035144	588	413.034	43	2.36018
AUR62000097	1566	1390.97	0	0
AUR62009178	579	404.047	68.8474	3.86294
AUR62003314	1758	1582.97	97.3813	1.39465
AUR62040559	3753	3577.97	306.947	1.94486
AUR62035375	3351	3175.97	2.07658	0.014823
AUR62019552	654	478.989	2.10526	0.0996422
AUR62024206	1506	1330.97	373.693	6.36518
AUR62027493	936	760.967	10	0.297918
AUR62031805	864	688.979	31.7848	1.04587
AUR62031177	2034	1858.97	3.16183	0.0385593
AUR62006343	1650	1474.97	0	0
