target_id	length	eff_length	Cq_5	Cq_5_tpm
AUR62003775	1152	973.946	10	0.168608
AUR62039511	429	252.249	9.20924	0.599524
AUR62009679	621	443.138	706.083	26.1655
AUR62005977	984	805.963	1	0.020375
AUR62036206	984	805.963	0	0
AUR62011627	2139	1960.95	358.901	3.00554
AUR62012836	1632	1453.95	6	0.0677666
AUR62016937	414	237.533	0	0
AUR62032931	936	757.963	0	0
AUR62001032	261	96.5206	0	0
AUR62010506	1254	1075.95	9	0.137361
AUR62017663	2118	1939.95	80.3003	0.679736
AUR62026012	504	326.422	6	0.301845
AUR62026976	471	293.676	0	0
AUR62013354	765	587.042	19	0.531493
AUR62017101	228	70.4714	35	8.15583
AUR62013408	348	174.108	0	0
AUR62026758	1770	1591.95	111.479	1.14994
AUR62033650	1269	1090.95	0	0
AUR62044042	303	132.823	0	0
AUR62008361	3486	3307.95	58	0.287927
AUR62011815	735	557.053	45	1.32657
AUR62007629	1611	1432.95	230.635	2.64307
AUR62018235	1104	925.946	1122.38	19.9052
AUR62030665	966	787.963	13.5985	0.283399
AUR62037129	2730	2551.95	65.8865	0.423973
AUR62044095	2046	1867.95	28.0722	0.246789
AUR62014261	522	344.315	0	0
AUR62032708	738	560.053	0	0
AUR62034389	3978	3799.95	59	0.254969
AUR62030379	531	353.308	0	0
AUR62031825	573	395.196	0	0
AUR62024569	1353	1174.95	0	0
AUR62033990	1713	1534.95	0.0897518	0.000960203
AUR62013676	474	296.658	0	0
AUR62031509	2433	2254.95	1	0.00728244
AUR62002554	1116	937.946	52.5159	0.919445
AUR62018017	255	91.5781	94	16.8558
AUR62015496	768	590.042	0	0
AUR62004713	183	40.2037	69	28.1836
AUR62029199	474	296.658	6	0.33213
AUR62005702	1302	1123.95	32.9444	0.481336
AUR62002847	2241	2062.95	140	1.11443
AUR62003148	1197	1018.95	0	0
AUR62012766	2391	2212.95	137.875	1.02312
AUR62035298	2655	2476.95	328.345	2.17684
AUR62012758	918	739.963	205.315	4.55642
AUR62030796	1305	1126.95	0	0
AUR62007551	777	599.018	322.778	8.84866
AUR62013998	864	685.992	0	0
AUR62017050	384	208.414	11.6105	0.914823
AUR62004427	1023	844.946	37	0.719094
AUR62000177	909	730.977	16.7415	0.376101
AUR62025910	813	635.018	0	0
AUR62003412	531	353.308	16	0.743669
AUR62004651	2100	1921.95	71.792	0.613406
AUR62026425	1088	909.946	117	2.11146
AUR62012423	1962	1783.95	35	0.322181
AUR62035144	588	410.18	22.4786	0.899926
AUR62000097	1566	1387.95	2.18182	0.0258142
AUR62009178	579	401.188	24	0.982372
AUR62003314	1758	1579.95	64.4922	0.670314
