target_id	length	eff_length	Cb_3	Cb_3_tpm
AUR62003775	1152	968.531	17.7353	0.270174
AUR62039511	429	247.106	0	0
AUR62009679	621	438.041	260.837	8.78563
AUR62005977	984	800.531	0	0
AUR62036206	984	800.531	0	0
AUR62011627	2139	1955.53	6.89474	0.0520201
AUR62012836	1632	1448.53	0	0
AUR62016937	414	232.317	0	0
AUR62032931	936	752.59	0	0
AUR62001032	261	91.8512	0	0
AUR62010506	1254	1070.53	0	0
AUR62017663	2118	1934.53	205.868	1.57012
AUR62026012	504	321.343	1.09175	0.050127
AUR62026976	471	288.631	0	0
AUR62013354	765	581.782	2	0.050721
AUR62017101	228	66.2016	8	1.78295
AUR62013408	348	169.165	0	0
AUR62026758	1770	1586.53	40.9739	0.381046
AUR62033650	1269	1085.53	0	0
AUR62044042	303	127.966	0	0
AUR62008361	3486	3302.53	20	0.0893514
AUR62011815	735	551.825	15.6153	0.41751
AUR62007629	1611	1427.53	63.4278	0.655559
AUR62018235	1104	920.531	631.098	10.1152
AUR62030665	966	782.531	0	0
AUR62037129	2730	2546.53	51.6895	0.299482
AUR62044095	2046	1862.53	0	0
AUR62014261	522	339.293	0	0
AUR62032708	738	554.811	0	0
AUR62034389	3978	3794.53	110.636	0.430187
AUR62030379	531	348.25	0	0
AUR62031825	573	390.131	0	0
AUR62024569	1353	1169.53	0	0
AUR62033990	1713	1529.53	0	0
AUR62013676	474	291.61	0	0
AUR62031509	2433	2249.53	0	0
AUR62002554	1116	932.531	20.4334	0.323293
AUR62018017	255	87.1326	33	5.58793
AUR62015496	768	584.782	0	0
AUR62004713	183	37.8135	54	21.07
AUR62029199	474	291.61	0	0
AUR62005702	1302	1118.53	5.869	0.0774166
AUR62002847	2241	2057.53	201.344	1.44381
AUR62003148	1197	1013.53	0	0
AUR62012766	2391	2207.53	14.423	0.0963975
AUR62035298	2655	2471.53	471.951	2.8174
AUR62012758	918	734.59	106.194	2.1329
AUR62030796	1305	1121.53	0	0
AUR62007551	777	593.753	35.3842	0.879269
AUR62013998	864	680.626	129.116	2.79892
AUR62017050	384	203.231	1.12311	0.081536
AUR62004427	1023	839.531	59.9413	1.05343
AUR62000177	909	725.608	1	0.0203337
AUR62025910	813	629.723	0	0
AUR62003412	531	348.25	8	0.338935
AUR62004651	2100	1916.53	144.045	1.10892
AUR62026425	1088	904.531	17	0.277296
AUR62012423	1962	1778.53	22	0.182507
AUR62035144	588	405.072	16.7605	0.610482
AUR62000097	1566	1382.53	0	0
AUR62009178	579	396.092	24	0.893992
AUR62003314	1758	1574.53	45.6739	0.427991
AUR62040559	3753	3569.53	40.1478	0.165947
AUR62035375	3351	3167.53	4	0.0186319
AUR62019552	654	470.95	22.5435	0.706258
AUR62024206	1506	1322.53	102.893	1.14788
AUR62027493	936	752.59	16	0.313675
AUR62031805	864	680.626	94.4865	2.04823
AUR62031177	2034	1850.53	20.7678	0.165582
AUR62006343	1650	1466.53	0	0
AUR62039498	549	366.179	0	0
AUR62017783	1857	1673.53	18.0571	0.159196
AUR62001907	327	149.723	0	0
AUR62026287	594	411.072	229.966	8.25399
AUR62012020	843	659.642	5	0.111835
AUR62001009	1338	1154.53	1	0.0127795
AUR62003673	651	467.95	10.6667	0.336316
AUR62032751	1878	1694.53	70.951	0.61777
AUR62012508	1329	1145.53	0	0
AUR62025098	360	180.374	0	0
AUR62031213	630	446.996	8.81403	0.29093
AUR62040512	1413	1229.53	0	0
AUR62026943	630	446.996	0	0
AUR62036635	642	458.962	0	0
AUR62021212	1275	1091.53	59.5356	0.804746
AUR62025691	1275	1091.53	50.9073	0.688116
AUR62044300_AUR62036674	1074	890.531	27	0.447335
AUR62017670	1116	932.531	17.7856	0.281399
AUR62011514	1395	1211.53	0	0
AUR62037899	1920	1736.53	30.8579	0.262181
AUR62039224	603	420.041	45	1.58066
AUR62036065	1110	926.531	0	0
AUR62000005	2289	2105.53	35.0723	0.245766
AUR62022200	4428	4244.53	1775.09	6.17033
AUR62033290	1422	1238.53	0	0
AUR62013253	1698	1514.53	2	0.0194836
AUR62038293	2121	1937.53	0	0
AUR62025411	2073	1889.53	8.29204	0.0647478
AUR62030875	2538	2354.53	1	0.00626634
AUR62037720	1626	1442.53	25.1355	0.257087
AUR62031228	1554	1370.53	10.2983	0.110865
AUR62020574	1692	1508.53	4	0.0391222
AUR62020710	963	779.531	4.06109	0.0768647
AUR62030580	708	524.851	16	0.449782
AUR62037464	441	258.916	0	0
AUR62003048	2412	2228.53	4	0.0264825
AUR62023455	3849	3665.53	13	0.0523268
AUR62016429	2685	2501.53	277.221	1.63508
AUR62009276	1899	1715.53	49.0337	0.42171
AUR62027030	7311	7127.53	291.273	0.602947
AUR62009392	1371	1187.53	473.02	5.87695
AUR62009070	1374	1190.53	2	0.024786
AUR62019274	1866	1682.53	63.4832	0.55669
AUR62036947	4476	4292.53	133.77	0.459793
AUR62016493	1338	1154.53	35.0473	0.447886
AUR62024924	597	414.061	0	0
AUR62036698	696	512.877	128	3.68226
AUR62004533	944	760.59	13	0.25218
AUR62005346	1128	944.531	7.13134	0.111397
AUR62035326	741	557.811	5	0.132252
AUR62032536	1386	1202.53	42.265	0.518564
AUR62028983	930	746.59	1	0.0197622
AUR62011017	768	584.782	1.03531	0.0261214
AUR62011357	1326	1142.53	40.1443	0.51841
AUR62022291	1995	1811.53	3.99911	0.0325714
AUR62008916	522	339.293	13.4118	0.583215
AUR62006787	939	755.59	0	0
AUR62028451	2343	2159.53	6.89032	0.0470758
AUR62015503	1758	1574.53	311.078	2.91498
AUR62011460	912	728.608	10.0636	0.203787
AUR62000712	1635	1451.53	2.91739	0.0296542
AUR62004045	1458	1274.53	90	1.04186
AUR62030297	1770	1586.53	13	0.120896
AUR62032554	1230	1046.53	90.6391	1.27785
AUR62038709	1905	1721.53	559.493	4.7951
AUR62025804	726	542.825	0	0
AUR62008405	687	503.903	0	0
AUR62019207	585	402.072	130.959	4.80562
AUR62044482	435	252.993	4.33594	0.252867
AUR62027833	1416	1232.53	35.8882	0.429607
AUR62011420	207	51.7826	147	41.8843
AUR62044439	1227	1043.53	0	0
AUR62040388	3144	2960.53	286.562	1.42813
AUR62043759	1725	1541.53	24.7929	0.237298
AUR62013994	1161	977.531	0	0
AUR62027445	1050	866.531	12.0071	0.204443
AUR62041086	834	650.642	0	0
AUR62026685	330	152.502	161.72	15.6461
AUR62007084	267	96.8358	20.8636	3.17887
AUR62008178	1266	1082.53	44.6499	0.608552
AUR62039084	840	656.642	103.876	2.33403
AUR62032983	558	375.169	0	0
AUR62009381	204	49.8024	27	7.99892
AUR62023698	2367	2183.53	415.037	2.80444
AUR62012074	876	692.626	0	0
AUR62016998	693	509.877	0	0
AUR62012625	3477	3293.53	12.9624	0.0580686
AUR62039951	351	171.905	45	3.86227
AUR62025732	1611	1427.53	16.4033	0.169536
AUR62030708	798	614.723	0	0
AUR62018084	492	309.43	23	1.09669
AUR62026706	1482	1298.53	1	0.0113623
AUR62038318	555	372.169	3	0.118932
AUR62005211	507	324.335	10520.8	478.602
AUR62019339	729	545.825	0	0
AUR62039464	594	411.072	1	0.0358922
AUR62032162	837	653.642	2	0.0451448
AUR62039907	594	411.072	43.8465	1.57375
AUR62004092	1539	1355.53	10	0.108845
AUR62022903	5349	5165.53	15.4438	0.0441121
AUR62032472	1398	1214.53	255.137	3.09944
AUR62006611	3651	3467.53	278.9	1.18671
AUR62032834	498	315.383	0	0
AUR62026053	339	160.808	2.20064	0.201911
AUR62014117	1122	938.531	0	0
AUR62016280	885	701.626	1.43114e-06	3.00951e-08
AUR62036555	1086	902.531	0	0
AUR62035050	1908	1724.53	0	0
AUR62013101	2196	2012.53	8	0.0586496
AUR62028897	624	441.041	0	0
AUR62040376	1479	1295.53	0	0
AUR62000978	1626	1442.53	0	0
AUR62015665	645	461.962	0	0
AUR62002594	1236	1052.53	228.507	3.20318
AUR62042714	288	114.691	0	0
AUR62004671	2427	2243.53	158.667	1.04345
AUR62007514	1866	1682.53	10	0.087691
AUR62028495	816	632.723	16	0.3731
AUR62007779	855	671.626	0	0
AUR62031544	3164	2980.53	169.381	0.838474
AUR62028325	1308	1124.53	0	0
AUR62043255	723	539.838	1	0.0273309
AUR62001557	801	617.723	2	0.0477699
AUR62033735	2229	2045.53	77	0.555396
AUR62028934	1062	878.531	11.8462	0.198947
AUR62017492	885	701.626	0	0
AUR62029848	789	605.723	0	0
AUR62043680	1098	914.531	3.27273	0.0527994
AUR62030815	564	381.16	0	0
AUR62037110	855	671.626	219.92	4.8312
AUR62042842	1542	1358.53	65.7105	0.713647
AUR62005426	969	785.531	0	0
AUR62019168	897	713.626	757.391	15.6591
AUR62015304	816	632.723	0	0
AUR62028778	999	815.531	3	0.0542749
AUR62024937	1251	1067.53	75.7831	1.04739
AUR62024904	3147	2963.53	1968.89	9.80237
AUR62011783	1275	1091.53	9	0.121653
AUR62023268	288	114.691	17	2.18694
AUR62027343	216	57.7981	0	0
AUR62030423	1131	947.531	11	0.171284
AUR62011668	2919	2735.53	24.2361	0.130719
AUR62013982	1104	920.531	0	0
AUR62033053	411	229.375	0	0
AUR62008439	2208	2024.53	27.3112	0.199037
AUR62029906	3285	3101.53	6.78672	0.0322851
AUR62040127	957	773.57	0	0
AUR62007966	1875	1691.53	0	0
AUR62042250	291	117.305	0	0
AUR62027083	1359	1175.53	2	0.0251023
AUR62036103	1338	1154.53	137.647	1.75905
AUR62015987	702	518.864	97.037	2.75932
AUR62016198	1587	1403.53	2.10007	0.0220765
AUR62006586	1788	1604.53	272.307	2.50397
AUR62024801	648	464.962	31.7838	1.00857
AUR62028243	1386	1202.53	0	0
AUR62034589	1491	1307.53	0	0
AUR62017262	2340	2156.53	0	0
AUR62042556	1092	908.531	2	0.0324794
AUR62023688	1869	1685.53	134.225	1.17493
AUR62014874	384	203.231	0	0
AUR62033710	1176	992.531	598.633	8.89887
AUR62015781	336	158.04	1236.33	115.421
AUR62003570	429	247.106	7.28571	0.435017
AUR62031872	633	449.996	32.7416	1.07352
AUR62009473	1653	1469.53	66.2037	0.664694
AUR62019199	960	776.57	3	0.0569979
AUR62026572	243	77.4734	0	0
AUR62014042	1860	1676.53	66.6895	0.5869
AUR62010097	843	659.642	13.2917	0.297296
AUR62037072	1026	842.531	191.867	3.35995
AUR62010819	981	797.531	17.3031	0.320106
AUR62014009	531	348.25	0	0
AUR62040478	390	209.034	0	0
AUR62008541	1089	905.531	0	0
AUR62020130	1161	977.531	6.4574	0.0974642
AUR62017404	306	130.612	0	0
AUR62013970	864	680.626	0	0
AUR62006857	2778	2594.53	4	0.0227467
AUR62033509	1293	1109.53	0	0
AUR62001802	621	438.041	0	0
AUR62023904	2172	1988.53	7.20445	0.0534548
AUR62022037	1575	1391.53	7	0.0742204
AUR62029802	1104	920.531	7	0.112196
AUR62038572	828	644.675	90.1262	2.06266
AUR62031077	390	209.034	0	0
AUR62026406	729	545.825	0	0
AUR62019545	894	710.626	0	0
AUR62029173	1350	1166.53	0	0
AUR62019048	1290	1106.53	2	0.0266676
AUR62031569	390	209.034	60.1714	4.2471
AUR62029556	378	197.443	66.368	4.95947
AUR62018284	780	596.753	0	0
AUR62035346	1149	965.531	2	0.030562
AUR62030277	642	458.962	54.9343	1.76598
AUR62010804	1167	983.531	1	0.0150013
AUR62024888	828	644.675	0	0
AUR62021454	3123	2939.53	1102.54	5.53394
AUR62007485	861	677.626	0	0
AUR62016441	2139	1955.53	124.105	0.936361
AUR62025977	339	160.808	22.176	2.03467
AUR62001085	1458	1274.53	0	0
AUR62025682	1341	1157.53	39	0.497107
AUR62044044	2118	1934.53	48.9362	0.373226
AUR62028509	1314	1130.53	1	0.0130507
AUR62017958	729	545.825	0	0
AUR62027972	1458	1274.53	656.803	7.60331
AUR62013559	2268	2084.53	0	0
AUR62014092	999	815.531	0	0
AUR62036388	855	671.626	0	0
AUR62023788	1221	1037.53	32.2655	0.458833
AUR62033981	792	608.723	12	0.290857
AUR62004883	408	226.472	25	1.62871
AUR62029786	1782	1598.53	0	0
AUR62030313	2184	2000.53	0	0
AUR62015869	2076	1892.53	15	0.116941
AUR62033347	1401	1217.53	9.53805	0.115584
AUR62006572	528	345.268	23.7025	1.01287
AUR62031015	255	87.1326	0	0
AUR62037518	1575	1391.53	153.802	1.63075
AUR62004230	1035	851.531	23.4719	0.406692
AUR62032934	1191	1007.53	15.4906	0.226844
AUR62037614	942	758.59	0	0
AUR62003322	213	55.8028	0	0
AUR62015249	912	728.608	0	0
AUR62041365	2499	2315.53	352.841	2.24826
AUR62017985	1710	1526.53	9.57111	0.092507
AUR62007381	1317	1133.53	63.0963	0.821275
AUR62024172	1053	869.531	134.515	2.28247
AUR62022916	786	602.738	68.5445	1.67789
AUR62026389	1677	1493.53	0	0
AUR62034477	1338	1154.53	38.2474	0.488781
AUR62031139	945	761.59	0	0
AUR62012340	1779	1595.53	43	0.397632
AUR62041953	207	51.7826	19	5.41362
AUR62005760	795	611.723	11.5	0.277371
AUR62043167	423	241.216	8	0.48933
AUR62040591	372	191.659	49.9149	3.84254
AUR62024763	2178	1994.53	0	0
AUR62000428	1251	1067.53	3.15218	0.0435661
AUR62005808	420	238.228	35	2.16767
AUR62024914	2160	1976.53	29.4466	0.219811
AUR62033805	903	719.626	0	0
AUR62032732	4101	3917.53	44.0422	0.165872
AUR62032549	417	235.299	0	0
AUR62022904	237	72.8632	5	1.01246
AUR62012984	969	785.531	0	0
AUR62008175	2397	2213.53	20	0.13331
AUR62007627	1707	1523.53	0	0
AUR62030502	2913	2729.53	1	0.00540543
AUR62016035	1179	995.531	24.791	0.367415
AUR62034753	1461	1277.53	0	0
AUR62007030	399	217.707	4.4139	0.299136
AUR62014718	1938	1754.53	19.9517	0.167779
AUR62011359	1158	974.531	3	0.0454196
AUR62026796	1119	935.531	6.32267	0.099715
AUR62016163	1827	1643.53	14.3424	0.128755
AUR62031994	396	214.794	0	0
AUR62009627	606	423.041	44	1.53458
AUR62008062	1863	1679.53	219.048	1.92428
AUR62033802	1983	1799.53	0	0
AUR62036002	1872	1688.53	326.446	2.85247
AUR62027042	276	104.46	0	0
AUR62024684	441	258.916	10	0.569847
AUR62029815	747	563.811	49	1.28227
AUR62032015	801	617.723	0	0
AUR62042775	1731	1547.53	41	0.390897
AUR62004484	1362	1178.53	58	0.726114
AUR62024729	1425	1241.53	0	0
AUR62019051	909	725.608	69.7923	1.41913
AUR62001856	717	533.838	0	0
AUR62035922	534	351.242	0	0
AUR62029837	684	500.903	0	0
AUR62022751	2289	2105.53	11.8892	0.0833121
AUR62044218	1704	1520.53	24.9021	0.241635
AUR62003068	1014	830.531	9	0.159884
AUR62042025	2775	2591.53	9	0.0512394
AUR62003200	1311	1127.53	123.56	1.61684
AUR62040942	549	366.179	0	0
AUR62026324	1185	1001.53	138.151	2.0352
AUR62026273	1383	1199.53	0	0
AUR62033474	984	800.531	0	0
AUR62027989	1185	1001.53	0	0
AUR62034232	3750	3566.53	64.4601	0.266663
AUR62040921	1065	881.531	68.503	1.14654
AUR62039242	1164	980.531	27	0.406275
AUR62011403	573	390.131	0	0
AUR62018499	696	512.877	106.84	3.07354
AUR62029465	549	366.179	0	0
AUR62020658	3603	3419.53	13.7629	0.0593829
AUR62030631	963	779.531	11.648	0.220462
AUR62017987	3336	3152.53	16.3081	0.0763239
AUR62038336	1569	1385.53	258.761	2.7555
AUR62001461	2013	1829.53	0	0
AUR62022544	10770	10586.5	0	0
AUR62023272	1449	1265.53	111.807	1.30351
AUR62010605	693	509.877	0	0
AUR62005029	1833	1649.53	212.583	1.90145
AUR62038111	1470	1286.53	180.063	2.06501
AUR62039479	255	87.1326	2	0.338663
AUR62003662	1989	1805.53	195.365	1.59646
AUR62005632	2742	2558.53	73.4559	0.423598
AUR62028738	1224	1040.53	3.65646	0.051847
AUR62021407	504	321.343	21	0.964203
AUR62033598	1716	1532.53	34.0443	0.327757
AUR62005108	1011	827.531	5.55308	0.0990074
AUR62016442	1239	1055.53	17	0.237627
AUR62003956	1140	956.531	40.2542	0.620913
AUR62013539	1215	1031.53	259.861	3.71686
AUR62036076	306	130.612	0	0
AUR62021682	270	99.3057	0	0
AUR62022122	807	623.723	191	4.51814
AUR62024707	3840	3656.53	1295.26	5.22644
AUR62004902	915	731.608	7.88811	0.159079
AUR62014599	1737	1553.53	5.58338	0.0530267
AUR62040470	603	420.041	669.167	23.5051
AUR62001519	294	119.934	10	1.2302
AUR62032625	1098	914.531	8	0.129065
AUR62036655	1908	1724.53	146.266	1.25138
AUR62036510	630	446.996	0	0
AUR62023014	1995	1811.53	74.7702	0.608977
AUR62040315	1662	1478.53	9	0.0898111
AUR62003339	1908	1724.53	10	0.0855553
AUR62029605	630	446.996	4.13706	0.136554
AUR62023297	1119	935.531	28	0.441588
AUR62022881	279	107.006	0	0
AUR62018363	1200	1016.53	3	0.043543
AUR62010707	3156	2972.53	1	0.00496354
AUR62041505	2574	2390.53	75.6468	0.466889
AUR62035721	1782	1598.53	277.717	2.5633
AUR62010679	1506	1322.53	26.54	0.296082
AUR62032691	1224	1040.53	15.5617	0.220658
AUR62042915	978	794.531	101.614	1.88695
AUR62042167	792	608.723	67.9634	1.6473
AUR62039368	3366	3182.53	52.396	0.242909
AUR62033551	564	381.16	6.46367	0.250201
AUR62006784	1089	905.531	0	0
AUR62028834	1416	1232.53	17	0.203502
AUR62025229	240	75.1398	0	0
AUR62003591	2097	1913.53	27	0.208183
AUR62020263	1962	1778.53	137.526	1.14089
AUR62015042	294	119.934	0	0
AUR62021140	1230	1046.53	0	0
AUR62003735	2157	1973.53	51.7108	0.386594
AUR62023654	1773	1589.53	4	0.0371286
AUR62010358	561	378.16	0	0
AUR62036585	1260	1076.53	182.325	2.49883
AUR62009444	1521	1337.53	152.427	1.68142
AUR62005904	267	96.8358	0	0
AUR62027338	1062	878.531	1	0.0167943
AUR62031318	408	226.472	0	0
AUR62031756	990	806.531	4.40996	0.0806736
AUR62023271	1182	998.531	3	0.0443279
AUR62023142	2142	1958.53	0	0
AUR62002945	1425	1241.53	24.6122	0.29249
AUR62037145	1257	1073.53	56.9484	0.782681
AUR62000386	630	446.996	0	0
AUR62043962	294	119.934	0	0
AUR62000855	378	197.443	1	0.0747268
AUR62006893	2137	1953.53	7.66736	0.0579087
AUR62002017	552	369.169	6.42857	0.256925
AUR62005271	1119	935.531	70.8078	1.11671
AUR62037594	402	220.652	178.271	11.9204
AUR62024005	1566	1382.53	153.721	1.6405
AUR62011817	2274	2090.53	9.39806	0.0663284
AUR62037424	1956	1772.53	6.54226	0.0544567
AUR62017415	585	402.072	0	0
AUR62011089	2394	2210.53	7.42789	0.0495777
AUR62035197	1584	1400.53	2	0.0210695
AUR62035234	1551	1367.53	7.35897	0.0793959
AUR62023739	813	629.723	3	0.0702894
AUR62004748	1428	1244.53	54	0.640186
AUR62000530	1458	1274.53	16.23	0.187882
AUR62014831	3003	2819.53	0	0
AUR62011309	261	91.8512	0	0
AUR62028400	363	183.218	0	0
AUR62022301	444	261.884	0	0
AUR62020884	837	653.642	217.742	4.91496
AUR62004039	1266	1082.53	4	0.0545177
AUR62033115	4536	4352.53	0	0
AUR62015992	852	668.626	0	0
AUR62041309	2388	2204.53	1	0.00669271
AUR62010152	1854	1670.53	14.9414	0.131964
AUR62043388	321	144.181	0	0
AUR62025839	591	408.072	1	0.0361561
AUR62018776	2514	2330.53	3	0.0189926
AUR62022144	1125	941.531	0	0
AUR62005528	264	94.3449	35	5.47353
AUR62041023	489	306.445	0	0
AUR62018025	1749	1565.53	0	0
AUR62033800	390	209.034	0	0
AUR62012422_AUR62026701_AUR62028492	2094	1910.53	0	0
AUR62029482	1710	1526.53	0	0
AUR62013166	3690	3506.53	378.975	1.5946
AUR62002046	1125	941.531	22.4302	0.351493
AUR62040750	261	91.8512	0	0
AUR62015862	306	130.612	79	8.92407
AUR62042213	1302	1118.53	47.7751	0.63019
AUR62021491	578	395.102	195.294	7.29288
