target_id	length	eff_length	Cq_1	Cq_1_tpm
AUR62003775	1152	967.243	26	0.266852
AUR62039511	429	246.263	72.5599	2.92504
AUR62009679	621	436.82	868.746	19.7434
AUR62005977	984	799.243	4	0.0496838
AUR62036206	984	799.243	0	0
AUR62011627	2139	1954.24	421.596	2.14167
AUR62012836	1632	1447.24	16	0.109752
AUR62016937	414	231.632	0	0
AUR62032931	936	751.347	0	0
AUR62001032	261	91.5884	0	0
AUR62010506	1254	1069.24	30	0.278534
AUR62017663	2118	1933.24	152.26	0.781866
AUR62026012	504	320.249	21	0.650975
AUR62026976	471	287.571	0	0
AUR62013354	765	580.549	7	0.1197
AUR62017101	228	66.4001	57	8.52196
AUR62013408	348	168.646	0	0
AUR62026758	1770	1585.24	189.328	1.18564
AUR62033650	1269	1084.24	0	0
AUR62044042	303	127.531	0	0
AUR62008361	3486	3301.24	129	0.387923
AUR62011815	735	550.549	48	0.865524
AUR62007629	1611	1426.24	381.927	2.6584
AUR62018235	1104	919.243	1547.32	16.7103
AUR62030665	966	781.322	25.9417	0.329611
AUR62037129	2730	2545.24	103.734	0.404599
AUR62044095	2046	1861.24	46.0458	0.245595
AUR62014261	522	338.194	0	0
AUR62032708	738	553.549	0	0
AUR62034389	3978	3793.24	101	0.264329
AUR62030379	531	347.08	0	0
AUR62031825	573	388.945	0	0
AUR62024569	1353	1168.24	3	0.025493
AUR62033990	1713	1528.24	0	0
AUR62013676	474	290.551	0	0
AUR62031509	2433	2248.24	3	0.0132468
AUR62002554	1116	931.243	73.5927	0.784522
AUR62018017	255	86.7979	101	11.5517
AUR62015496	768	583.549	0	0
AUR62004713	183	37.4827	125	33.1065
AUR62029199	474	290.551	9	0.307506
AUR62005702	1302	1117.24	62.9099	0.558991
AUR62002847	2241	2056.24	233	1.1249
AUR62003148	1197	1012.24	6	0.0588437
AUR62012766	2391	2206.24	207.851	0.935259
AUR62035298	2655	2470.24	595.646	2.39377
AUR62012758	918	733.397	361.237	4.88974
AUR62030796	1305	1120.24	7	0.0620325
AUR62007551	777	592.549	535.904	8.97836
AUR62013998	864	679.397	0	0
AUR62017050	384	202.663	55.5133	2.71929
AUR62004427	1023	838.243	73	0.864542
AUR62000177	909	724.397	26.878	0.368343
AUR62025910	813	628.549	0	0
AUR62003412	531	347.08	28	0.800869
AUR62004651	2100	1915.24	151.679	0.786202
AUR62026425	1088	903.243	716	7.8694
AUR62012423	1962	1777.24	66	0.368664
AUR62035144	588	403.919	28	0.688173
AUR62000097	1566	1381.24	21	0.150932
AUR62009178	579	394.919	55	1.38257
AUR62003314	1758	1573.24	155.061	0.978452
AUR62040559	3753	3568.24	149.822	0.416825
AUR62035375	3351	3166.24	1	0.00313537
AUR62019552	654	469.684	456.925	9.65768
AUR62024206	1506	1321.24	176.784	1.3283
AUR62027493	936	751.347	51.4672	0.680022
AUR62031805	864	679.397	290.853	4.24994
AUR62031177	2034	1849.24	87.8385	0.471546
AUR62006343	1650	1465.24	1	0.00677523
AUR62039498	549	365.032	3	0.0815874
AUR62017783	1857	1672.24	148.766	0.883158
AUR62001907	327	149.29	0	0
AUR62026287	594	409.892	4.00711	0.0970501
AUR62012020	843	658.419	16	0.241241
AUR62001009	1338	1153.24	4	0.0344328
AUR62003673	651	466.7	27	0.574327
AUR62032751	1878	1693.24	351.321	2.05976
AUR62012508	1329	1144.24	0	0
AUR62025098	360	179.92	0	0
AUR62031213	630	445.776	18.2788	0.407066
AUR62040512	1413	1228.24	2	0.0161651
AUR62026943	630	445.776	0	0
AUR62036635	642	457.731	7.2491	0.15722
AUR62021212	1275	1090.24	112.593	1.02523
AUR62025691	1275	1090.24	158.496	1.44321
AUR62044300_AUR62036674	1074	889.243	42.5319	0.474819
AUR62017670	1116	931.243	55	0.586318
AUR62011514	1395	1210.24	0	0
AUR62037899	1920	1735.24	47	0.268888
AUR62039224	603	418.892	65	1.54044
AUR62036065	1110	925.243	2	0.0214589
AUR62000005	2289	2104.24	152.353	0.718766
AUR62022200	4428	4243.24	1139.82	2.66668
AUR62033290	1422	1237.24	0	0
AUR62013253	1698	1513.24	12	0.0787238
