target_id	length	eff_length	Cp_4	Cp_4_tpm
AUR62003775	1152	969.141	0	0
AUR62039511	429	247.865	5.7402	0.338484
AUR62009679	621	438.565	5.02732	0.167545
AUR62005977	984	801.141	7	0.127707
AUR62036206	984	801.141	0	0
AUR62011627	2139	1956.14	657.087	4.90964
AUR62012836	1632	1449.14	16	0.161375
AUR62016937	414	233.147	0	0
AUR62032931	936	753.166	0	0
AUR62001032	261	92.3499	0	0
AUR62010506	1254	1071.14	14	0.191033
AUR62017663	2118	1935.14	28.7711	0.217305
AUR62026012	504	322.013	10	0.453893
AUR62026976	471	289.298	0	0
AUR62013354	765	582.381	1	0.0250969
AUR62017101	228	66.5454	0	0
AUR62013408	348	169.59	0	0
AUR62026758	1770	1587.14	603.581	5.55837
AUR62033650	1269	1086.14	2	0.0269135
AUR62044042	303	128.354	1	0.113872
AUR62008361	3486	3303.14	0	0
AUR62011815	735	552.419	48	1.26999
AUR62007629	1611	1428.14	456.242	4.66929
AUR62018235	1104	921.141	4553.93	72.2582
AUR62030665	966	783.141	12.0414	0.224732
AUR62037129	2730	2547.14	2.33234	0.0133834
AUR62044095	2046	1863.14	0	0
AUR62014261	522	339.882	0	0
AUR62032708	738	555.419	0	0
AUR62034389	3978	3795.14	1	0.00385123
AUR62030379	531	348.87	0	0
AUR62031825	573	390.758	0	0
AUR62024569	1353	1170.14	0	0
AUR62033990	1713	1530.14	0	0
AUR62013676	474	292.269	0	0
AUR62031509	2433	2250.14	1	0.00649557
AUR62002554	1116	933.141	196.107	3.07165
AUR62018017	255	87.4781	50	8.35407
AUR62015496	768	585.381	1.08696	0.0271394
AUR62004713	183	37.3947	27	10.5531
AUR62029199	474	292.269	1	0.0500086
AUR62005702	1302	1119.14	78.2944	1.02252
AUR62002847	2241	2058.14	193	1.3706
AUR62003148	1197	1014.14	0	0
AUR62012766	2391	2208.14	424.917	2.81258
AUR62035298	2655	2472.14	130.941	0.774159
AUR62012758	918	735.216	411.116	8.1729
AUR62030796	1305	1122.14	24	0.312601
AUR62007551	777	594.342	211.596	5.20352
AUR62013998	864	681.216	0	0
AUR62017050	384	204.004	16.4733	1.18023
AUR62004427	1023	840.141	41	0.713278
AUR62000177	909	726.216	68.6477	1.38162
AUR62025910	813	630.261	0	0
AUR62003412	531	348.87	0	0
AUR62004651	2100	1917.14	25.8963	0.197429
AUR62026425	1088	905.141	0	0
AUR62012423	1962	1779.14	32.6611	0.268316
AUR62035144	588	405.705	9.92837	0.35768
AUR62000097	1566	1383.14	12	0.126807
AUR62009178	579	396.745	1	0.0368396
AUR62003314	1758	1575.14	20.15	0.186974
AUR62040559	3753	3570.14	34.4486	0.14103
AUR62035375	3351	3168.14	6.44219	0.0297205
AUR62019552	654	471.489	1791.28	55.5288
AUR62024206	1506	1323.14	28.8791	0.31901
AUR62027493	936	753.166	66	1.2808
AUR62031805	864	681.216	173	3.71183
AUR62031177	2034	1851.14	191.557	1.51247
AUR62006343	1650	1467.14	1	0.0099622
AUR62039498	549	366.834	17.7928	0.708925
AUR62017783	1857	1674.14	235.961	2.06003
AUR62001907	327	150.105	0	0
AUR62026287	594	411.678	142.712	5.06674
AUR62012020	843	660.261	55.4941	1.22845
AUR62001009	1338	1155.14	7	0.0885707
AUR62003673	651	468.489	7	0.218387
AUR62032751	1878	1695.14	493.285	4.25323
AUR62012508	1329	1146.14	1	0.0127523
AUR62025098	360	180.899	0	0
AUR62031213	630	447.565	13	0.424536
AUR62040512	1413	1230.14	0	0
AUR62026943	630	447.565	0	0
AUR62036635	642	459.519	0	0
AUR62021212	1275	1092.14	3.77006	0.0504541
AUR62025691	1275	1092.14	0	0
AUR62044300_AUR62036674	1074	891.141	13.1605	0.21585
AUR62017670	1116	933.141	9.32456	0.146052
AUR62011514	1395	1212.14	0	0
AUR62037899	1920	1737.14	19.3102	0.162472
AUR62039224	603	420.65	81	2.81443
AUR62036065	1110	927.141	25	0.394113
AUR62000005	2289	2106.14	82.7751	0.574433
AUR62022200	4428	4245.14	16.5146	0.0568597
AUR62033290	1422	1239.14	0	0
AUR62013253	1698	1515.14	0	0
AUR62038293	2121	1938.14	0	0
AUR62025411	2073	1890.14	281.906	2.1799
