target_id	length	eff_length	Cp_2	Cp_2_tpm
AUR62003775	1152	967.984	0	0
AUR62039511	429	246.471	18.0341	1.2849
AUR62009679	621	437.286	7.08272	0.28443
AUR62005977	984	799.984	10	0.219513
AUR62036206	984	799.984	0	0
AUR62011627	2139	1954.98	682.326	6.129
AUR62012836	1632	1447.98	2	0.0242553
AUR62016937	414	231.867	0	0
AUR62032931	936	752	0	0
AUR62001032	261	91.6935	0	0
AUR62010506	1254	1069.98	9	0.147709
AUR62017663	2118	1933.98	31.1375	0.28273
AUR62026012	504	320.625	22	1.20494
AUR62026976	471	287.909	0	0
AUR62013354	765	581.041	1	0.0302228
AUR62017101	228	66.3744	0	0
AUR62013408	348	168.465	0	0
AUR62026758	1770	1585.98	607.782	6.72961
AUR62033650	1269	1084.98	0	0
AUR62044042	303	127.504	0	0
AUR62008361	3486	3301.98	0	0
AUR62011815	735	551.041	34	1.08352
AUR62007629	1611	1426.98	500.631	6.16083
AUR62018235	1104	919.984	4478.01	85.4762
AUR62030665	966	781.984	13.5676	0.304682
AUR62037129	2730	2545.98	11.1597	0.0769726
AUR62044095	2046	1861.98	0	0
AUR62014261	522	338.553	0	0
AUR62032708	738	554.041	0	0
AUR62034389	3978	3793.98	0	0
AUR62030379	531	347.526	0	0
AUR62031825	573	389.394	0	0
AUR62024569	1353	1168.98	0	0
AUR62033990	1713	1528.98	0	0
AUR62013676	474	290.84	0	0
AUR62031509	2433	2248.98	1	0.00780827
AUR62002554	1116	931.984	160.307	3.02055
AUR62018017	255	86.84	82	16.5819
AUR62015496	768	584.041	4.02857	0.121129
AUR62004713	183	37.7946	15	6.96952
AUR62029199	474	290.84	0	0
AUR62005702	1302	1117.98	101.689	1.59727
AUR62002847	2241	2056.98	265	2.26233
AUR62003148	1197	1012.98	0	0
AUR62012766	2391	2206.98	468.715	3.7295
AUR62035298	2655	2470.98	161.635	1.1487
AUR62012758	918	734	440.625	10.5418
AUR62030796	1305	1120.98	10	0.156654
AUR62007551	777	593.041	238.846	7.07252
AUR62013998	864	680.028	3	0.0774704
AUR62017050	384	202.748	19.6627	1.70304
AUR62004427	1023	838.984	38	0.795373
AUR62000177	909	725	66.5529	1.61202
AUR62025910	813	629.041	0	0
AUR62003412	531	347.526	0	0
AUR62004651	2100	1915.98	15.304	0.140267
AUR62026425	1088	903.984	0	0
AUR62012423	1962	1777.98	24.0897	0.237928
AUR62035144	588	404.37	16.2344	0.705015
AUR62000097	1566	1381.98	10	0.127069
AUR62009178	579	395.37	0	0
AUR62003314	1758	1573.98	24.3463	0.271627
AUR62040559	3753	3568.98	20.0939	0.0988692
AUR62035375	3351	3166.98	5	0.0277246
AUR62019552	654	470.24	1773.16	66.2169
AUR62024206	1506	1321.98	41.2874	0.548444
AUR62027493	936	752	41	0.957431
AUR62031805	864	680.028	141	3.64111
AUR62031177	2034	1849.98	184.832	1.75449
AUR62006343	1650	1465.98	0	0
AUR62039498	549	365.483	18.8752	0.90691
AUR62017783	1857	1672.98	209.824	2.20245
AUR62001907	327	149.016	0	0
AUR62026287	594	410.362	68	2.90993
AUR62012020	843	659.028	40.477	1.07856
AUR62001009	1338	1153.98	11	0.167392
AUR62003673	651	467.24	5	0.187919
AUR62032751	1878	1693.98	534.605	5.54198
AUR62012508	1329	1144.98	4	0.0613482
AUR62025098	360	179.796	0	0
AUR62031213	630	446.286	20	0.78697
AUR62040512	1413	1228.98	0	0
AUR62026943	630	446.286	0	0
AUR62036635	642	458.268	0	0
AUR62021212	1275	1090.98	4.50402	0.0724974
AUR62025691	1275	1090.98	24.4772	0.393989
AUR62044300_AUR62036674	1074	889.984	15	0.295972
AUR62017670	1116	931.984	21.5334	0.405738
AUR62011514	1395	1210.98	0	0
AUR62037899	1920	1735.98	21	0.212429
AUR62039224	603	419.337	96	4.02022
AUR62036065	1110	925.984	46	0.872359
AUR62000005	2289	2104.98	37.6868	0.314399
AUR62022200	4428	4243.98	23.7653	0.0983354
AUR62033290	1422	1237.98	0	0
AUR62013253	1698	1513.98	0	0
AUR62038293	2121	1936.98	0	0
AUR62025411	2073	1888.98	212.405	1.97459
AUR62030875	2538	2353.98	0	0
AUR62037720	1626	1441.98	136.383	1.66089
AUR62031228	1554	1369.98	165.145	2.11686
AUR62020574	1692	1507.98	69	0.803514
AUR62020710	963	778.984	269	6.06408
AUR62030580	708	524.094	73	2.44599
AUR62037464	441	258.3	0	0
AUR62003048	2412	2227.98	3	0.0236456
AUR62023455	3849	3664.98	322.851	1.54693
AUR62016429	2685	2500.98	19.4395	0.136494
AUR62009276	1899	1714.98	67.7829	0.694067
AUR62027030	7311	7126.98	1818.95	4.48183
AUR62009392	1371	1186.98	0	0
AUR62009070	1374	1189.98	0	0
AUR62019274	1866	1681.98	13.6357	0.142363
AUR62036947	4476	4291.98	32.8571	0.134435
AUR62016493	1338	1153.98	3.09069	0.0470324
AUR62024924	597	413.354	0	0
AUR62036698	696	512.105	11	0.377203
AUR62004533	944	760	3	0.0693185
AUR62005346	1128	943.984	0	0
AUR62035326	741	557.041	0	0
AUR62032536	1386	1201.98	255	3.72548
AUR62028983	930	746	78.4579	1.84688
AUR62011017	768	584.041	44.3727	1.33418
AUR62011357	1326	1141.98	264.99	4.07485
AUR62022291	1995	1810.98	0	0
AUR62008916	522	338.553	1	0.0518697
AUR62006787	939	755	0	0
AUR62028451	2343	2158.98	1.13752	0.00925231
AUR62015503	1758	1573.98	51.2824	0.572149
AUR62011460	912	728	0	0
AUR62000712	1635	1450.98	1	0.0121026
AUR62004045	1458	1273.98	46.131	0.635872
AUR62030297	1770	1585.98	17.7143	0.196139
AUR62032554	1230	1045.98	1.01722	0.0170778
AUR62038709	1905	1720.98	3.15422	0.0321852
AUR62025804	726	542.062	0	0
AUR62008405	687	503.105	0	0
AUR62019207	585	401.37	4.11731	0.18014
AUR62044482	435	252.371	47.3935	3.29777
AUR62027833	1416	1231.98	19.5673	0.278912
AUR62011420	207	51.711	2750	933.879
AUR62044439	1227	1042.98	0	0
AUR62040388	3144	2959.98	27.847	0.165208
AUR62043759	1725	1540.98	0.0920318	0.00104877
AUR62013994	1161	976.984	0	0
AUR62027445	1050	865.984	113.619	2.304
AUR62041086	834	650.028	0	0
AUR62026685	330	151.741	913.008	105.66
AUR62007084	267	96.6612	300	54.5017
AUR62008178	1266	1081.98	67.5054	1.09562
AUR62039084	840	656.028	1.0146	0.027159
AUR62032983	558	374.432	1	0.0468996
AUR62009381	204	49.6914	0	0
AUR62023698	2367	2182.98	13.8096	0.111089
AUR62012074	876	692.028	1	0.0253757
AUR62016998	693	509.105	0	0
AUR62012625	3477	3292.98	209.555	1.11751
AUR62039951	351	171.295	0	0
AUR62025732	1611	1426.98	5.02443	0.0618313
AUR62030708	798	614.041	0	0
AUR62018084	492	308.714	126	7.1673
AUR62026706	1482	1297.98	0	0
AUR62038318	555	371.446	1	0.0472765
AUR62005211	507	323.612	31.0526	1.68505
AUR62019339	729	545.051	0	0
AUR62039464	594	410.362	64	2.73876
AUR62032162	837	653.028	30	0.806735
AUR62039907	594	410.362	20.2995	0.868681
AUR62004092	1539	1354.98	0	0
AUR62022903	5349	5164.98	1303.65	4.43233
AUR62032472	1398	1213.98	6392.62	92.4712
AUR62006611	3651	3466.98	103.631	0.524903
AUR62032834	498	314.683	0	0
AUR62026053	339	160.008	307.322	33.7282
AUR62014117	1122	937.984	160.492	3.00468
AUR62016280	885	701.014	0	0
AUR62036555	1086	901.984	0	0
AUR62035050	1908	1723.98	0	0
AUR62013101	2196	2011.98	1	0.00872804
AUR62028897	624	440.286	0	0
AUR62040376	1479	1294.98	0	0
