target_id	length	eff_length	Cq_3	Cq_3_tpm
AUR62003775	1152	965.903	13	0.159488
AUR62039511	429	244.343	79.4327	3.85226
AUR62009679	621	435.124	910.843	24.8055
AUR62005977	984	797.92	10	0.148511
AUR62036206	984	797.92	0	0
AUR62011627	2139	1952.9	255.524	1.55049
AUR62012836	1632	1445.9	14	0.114738
AUR62016937	414	229.628	0	0
AUR62032931	936	749.935	0	0
AUR62001032	261	89.9387	0	0
AUR62010506	1254	1067.9	22	0.244123
AUR62017663	2118	1931.9	198.203	1.21574
AUR62026012	504	318.558	22	0.818375
AUR62026976	471	285.748	0	0
AUR62013354	765	578.978	24	0.491209
AUR62017101	228	64.7473	101	18.4849
AUR62013408	348	166.444	0	0
AUR62026758	1770	1583.9	117.754	0.880977
AUR62033650	1269	1082.9	2	0.0218856
AUR62044042	303	125.642	1	0.0943156
AUR62008361	3486	3299.9	133	0.477604
AUR62011815	735	548.989	36	0.777063
AUR62007629	1611	1424.9	239.547	1.99216
AUR62018235	1104	917.903	1599.48	20.6491
AUR62030665	966	779.92	19.6342	0.298319
AUR62037129	2730	2543.9	58.6143	0.273037
AUR62044095	2046	1859.9	44.4407	0.283144
AUR62014261	522	336.499	0	0
AUR62032708	738	551.989	0	0
AUR62034389	3978	3791.9	64.1159	0.200367
AUR62030379	531	345.444	0	0
AUR62031825	573	387.256	0	0
AUR62024569	1353	1166.9	0	0
AUR62033990	1713	1526.9	2	0.0155216
AUR62013676	474	288.743	0	0
AUR62031509	2433	2246.9	0	0
AUR62002554	1116	929.903	141.444	1.80245
AUR62018017	255	85.1915	149	20.7256
AUR62015496	768	581.978	1	0.0203616
AUR62004713	183	37.2308	98	31.1919
AUR62029199	474	288.743	3	0.12312
AUR62005702	1302	1115.9	54.2132	0.575699
AUR62002847	2241	2054.9	213	1.2283
AUR62003148	1197	1010.9	3	0.0351665
AUR62012766	2391	2204.9	100.044	0.537677
AUR62035298	2655	2468.9	541.388	2.5985
AUR62012758	918	731.935	643.693	10.4213
AUR62030796	1305	1118.9	12	0.127089
AUR62007551	777	590.978	623.155	12.4952
AUR62013998	864	677.978	0	0
AUR62017050	384	200.588	30.8795	1.82424
AUR62004427	1023	836.903	43.7954	0.620114
AUR62000177	909	722.949	28.6407	0.469454
AUR62025910	813	626.978	0	0
AUR62003412	531	345.444	36.1864	1.24132
AUR62004651	2100	1913.9	150.661	0.932819
