target_id	length	eff_length	Cs_5	Cs_5_tpm
AUR62003775	1152	969.483	2	0.0573201
AUR62039511	429	248.028	11.4459	1.28223
AUR62009679	621	438.493	316.097	20.0297
AUR62005977	984	801.483	0	0
AUR62036206	984	801.483	0	0
AUR62011627	2139	1956.48	14.3111	0.203242
AUR62012836	1632	1449.48	4.10822	0.0787512
AUR62016937	414	233.368	0	0
AUR62032931	936	753.483	1	0.036876
AUR62001032	261	94.0618	0	0
AUR62010506	1254	1071.48	1	0.0259317
AUR62017663	2118	1935.48	615	8.82882
AUR62026012	504	321.935	0	0
AUR62026976	471	289.326	0	0
AUR62013354	765	582.483	66	3.14831
AUR62017101	228	68.6387	8	3.23846
AUR62013408	348	170.492	0	0
AUR62026758	1770	1587.48	6.38873	0.111821
AUR62033650	1269	1086.48	0	0
AUR62044042	303	129.822	0	0
AUR62008361	3486	3303.48	55	0.462602
AUR62011815	735	552.483	7	0.352043
AUR62007629	1611	1428.48	2.14404	0.0417037
AUR62018235	1104	921.483	109.794	3.31062
AUR62030665	966	783.483	1.62036	0.0574645
AUR62037129	2730	2547.48	61.7886	0.673929
AUR62044095	2046	1863.48	0	0
AUR62014261	522	339.813	0	0
AUR62032708	738	555.483	0	0
AUR62034389	3978	3795.48	80.9869	0.592877
AUR62030379	531	348.746	0	0
AUR62031825	573	390.61	0	0
AUR62024569	1353	1170.48	0	0
AUR62033990	1713	1530.48	0	0
AUR62013676	474	292.288	0	0
AUR62031509	2433	2250.48	2	0.0246928
AUR62002554	1116	933.483	3.09627	0.0921614
AUR62018017	255	89.3807	18	5.59559
AUR62015496	768	585.483	0	0
AUR62004713	183	39.6143	47	32.9657
AUR62029199	474	292.288	0	0
AUR62005702	1302	1119.48	2.09837	0.0520813
AUR62002847	2241	2058.48	156	2.10569
AUR62003148	1197	1014.48	1	0.0273887
AUR62012766	2391	2208.48	5.04489	0.0634709
AUR62035298	2655	2472.48	304.968	3.42718
AUR62012758	918	735.483	15.5899	0.588962
AUR62030796	1305	1122.48	1	0.0247535
AUR62007551	777	594.483	8.26548	0.386318
AUR62013998	864	681.483	57.8909	2.36032
AUR62017050	384	204.392	0	0
AUR62004427	1023	840.483	25	0.826471
AUR62000177	909	726.483	0	0
AUR62025910	813	630.483	4.42946	0.195206
AUR62003412	531	348.746	7	0.557706
AUR62004651	2100	1917.48	120.923	1.75225
AUR62026425	1088	905.483	27	0.828515
AUR62012423	1962	1779.48	44.9258	0.701486
AUR62035144	588	405.567	19	1.30169
AUR62000097	1566	1383.48	1	0.0200837
AUR62009178	579	396.593	17	1.19102
AUR62003314	1758	1575.48	25.8242	0.455439
AUR62040559	3753	3570.48	263.883	2.05353
AUR62035375	3351	3168.48	0	0
AUR62019552	654	471.493	3.1764	0.187187
AUR62024206	1506	1323.48	115	2.41433
