target_id	length	eff_length	Cb_5	Cb_5_tpm
AUR62003775	1152	970.921	28	0.406108
AUR62039511	429	249.141	13.7378	0.776497
AUR62009679	621	440.091	514.66	16.4682
AUR62005977	984	802.921	2.48946	0.0436617
AUR62036206	984	802.921	0	0
AUR62011627	2139	1957.92	24.1197	0.173478
AUR62012836	1632	1450.92	1	0.00970563
AUR62016937	414	234.497	0	0
AUR62032931	936	754.946	0	0
AUR62001032	261	93.0587	0	0
AUR62010506	1254	1072.92	2	0.02625
AUR62017663	2118	1936.92	505.88	3.67793
AUR62026012	504	323.382	1	0.0435464
AUR62026976	471	290.565	0	0
AUR62013354	765	583.981	25.8536	0.623434
AUR62017101	228	67.0667	14	2.9396
AUR62013408	348	170.917	0	0
AUR62026758	1770	1588.92	54.7328	0.48508
AUR62033650	1269	1087.92	0	0
AUR62044042	303	129.386	0	0
AUR62008361	3486	3304.92	53.1235	0.226357
AUR62011815	735	553.991	15.8569	0.403073
AUR62007629	1611	1429.92	124.818	1.22923
AUR62018235	1104	922.921	1034.72	15.788
AUR62030665	966	784.921	1.79634	0.0322278
AUR62037129	2730	2548.92	69.4555	0.383723
AUR62044095	2046	1864.92	0	0
AUR62014261	522	341.326	0	0
AUR62032708	738	556.991	0	0
AUR62034389	3978	3796.92	194.789	0.722437
AUR62030379	531	350.28	0	0
AUR62031825	573	392.182	0	0
AUR62024569	1353	1171.92	0	0
AUR62033990	1713	1531.92	1	0.00919245
AUR62013676	474	293.545	0	0
AUR62031509	2433	2251.92	1	0.00625337
AUR62002554	1116	934.921	47.97	0.722541
AUR62018017	255	88.159	80	12.7788
AUR62015496	768	586.981	0	0
AUR62004713	183	38.1004	121.964	45.0785
AUR62029199	474	293.545	4	0.19189
AUR62005702	1302	1120.92	14.0264	0.176214
AUR62002847	2241	2059.92	367.733	2.51391
AUR62003148	1197	1015.92	0	0
AUR62012766	2391	2209.92	38.8929	0.247834
AUR62035298	2655	2473.92	1026.53	5.84322
AUR62012758	918	736.946	150.364	2.87326
AUR62030796	1305	1123.92	3	0.0375883
AUR62007551	777	595.981	57.8093	1.36594
AUR62013998	864	682.981	134.976	2.78301
AUR62017050	384	205.373	4.68155	0.321006
AUR62004427	1023	841.921	83	1.38827
AUR62000177	909	727.946	3.64219	0.0704581
AUR62025910	813	631.981	5	0.111412
AUR62003412	531	350.28	52.3421	2.10428
AUR62004651	2100	1918.92	194.616	1.4282
AUR62026425	1088	906.921	54	0.838478
AUR62012423	1962	1780.92	79	0.624669
AUR62035144	588	407.169	38.3189	1.32528
AUR62000097	1566	1384.92	8.18182	0.0831941
AUR62009178	579	398.175	94.6553	3.34764
AUR62003314	1758	1576.92	88.7737	0.79276
AUR62040559	3753	3571.92	119.818	0.472377
AUR62035375	3351	3169.92	3.65444	0.0162345
AUR62019552	654	473.068	50.2733	1.49652
AUR62024206	1506	1324.92	170.806	1.81544
AUR62027493	936	754.946	4.90026	0.0914051
AUR62031805	864	682.981	200.344	4.13081
AUR62031177	2034	1852.92	57.4175	0.43637
