target_id	length	eff_length	Cb_4	Cb_4_tpm
AUR62003775	1152	968.64	19.7564	0.312671
AUR62039511	429	247.231	9.65149	0.598456
AUR62009679	621	437.892	370.08	12.956
AUR62005977	984	800.64	0	0
AUR62036206	984	800.64	0	0
AUR62011627	2139	1955.64	24.5763	0.19265
AUR62012836	1632	1448.64	2	0.0211646
AUR62016937	414	232.602	0	0
AUR62032931	936	752.666	0	0
AUR62001032	261	92.3496	0	0
AUR62010506	1254	1070.64	3	0.0429556
AUR62017663	2118	1934.64	245.495	1.94529
AUR62026012	504	321.168	0	0
AUR62026976	471	288.432	0	0
AUR62013354	765	581.736	17	0.447986
AUR62017101	228	66.7915	7	1.60664
AUR62013408	348	169.415	0	0
AUR62026758	1770	1586.64	39.8983	0.385494
AUR62033650	1269	1085.64	0	0
AUR62044042	303	128.377	0	0
AUR62008361	3486	3302.64	34.7437	0.161271
AUR62011815	735	551.793	9.37599	0.260485
AUR62007629	1611	1427.64	102.618	1.10191
AUR62018235	1104	920.64	1001.53	16.677
AUR62030665	966	782.666	0	0
AUR62037129	2730	2546.64	92.5302	0.557003
AUR62044095	2046	1862.64	0	0
AUR62014261	522	339.091	0	0
AUR62032708	738	554.793	0	0
AUR62034389	3978	3794.64	222.412	0.898524
AUR62030379	531	348.068	0	0
AUR62031825	573	389.947	0	0
AUR62024569	1353	1169.64	0	0
AUR62033990	1713	1529.64	0	0
AUR62013676	474	291.423	0	0
AUR62031509	2433	2249.64	0	0
AUR62002554	1116	932.64	21.3527	0.350979
AUR62018017	255	87.6716	46	8.04341
AUR62015496	768	584.736	0	0
AUR62004713	183	37.8866	64	25.8962
AUR62029199	474	291.423	0	0
AUR62005702	1302	1118.64	8.66992	0.118814
AUR62002847	2241	2057.64	252.081	1.87807
AUR62003148	1197	1013.64	1	0.0151237
AUR62012766	2391	2207.64	52.9236	0.367504
AUR62035298	2655	2471.64	616.744	3.82526
AUR62012758	918	734.691	120.199	2.50807
AUR62030796	1305	1121.64	1	0.0136675
AUR62007551	777	593.736	45.7722	1.18182
AUR62013998	864	680.714	74.4759	1.67723
AUR62017050	384	203.65	3.64243	0.274188
AUR62004427	1023	839.64	97	1.77101
AUR62000177	909	725.691	2	0.0422493
AUR62025910	813	629.736	6.51486	0.158595
AUR62003412	531	348.068	14.6364	0.64463
AUR62004651	2100	1916.64	180.824	1.44629
AUR62026425	1088	904.64	34	0.576162
AUR62012423	1962	1778.64	50	0.430947
AUR62035144	588	404.92	50.9139	1.92756
AUR62000097	1566	1382.64	4	0.0443499
AUR62009178	579	395.934	40	1.54874
AUR62003314	1758	1574.64	67.6312	0.658426
AUR62040559	3753	3569.64	65.3325	0.280573
AUR62035375	3351	3167.64	0	0
AUR62019552	654	470.862	39.8196	1.29642
AUR62024206	1506	1322.64	98.2857	1.13917
AUR62027493	936	752.666	11.2532	0.229201
AUR62031805	864	680.714	85.8278	1.93288
AUR62031177	2034	1850.64	40.1648	0.33271
AUR62006343	1650	1466.64	0	0
AUR62039498	549	365.972	0	0
AUR62017783	1857	1673.64	13	0.119076
AUR62001907	327	149.978	0	0
AUR62026287	594	410.907	270.299	10.0842
AUR62012020	843	659.714	3.00711	0.0698772
AUR62001009	1338	1154.64	2	0.0265537
AUR62003673	651	467.862	17.7083	0.580232
AUR62032751	1878	1694.64	73.3033	0.663113
AUR62012508	1329	1145.64	0	0
AUR62025098	360	180.756	0	0
AUR62031213	630	446.892	10.9097	0.374241
AUR62040512	1413	1229.64	0	0
AUR62026943	630	446.892	0	0
AUR62036635	642	458.862	7.77416	0.259724
AUR62021212	1275	1091.64	109.374	1.53595
AUR62025691	1275	1091.64	90.3114	1.26825
AUR62044300_AUR62036674	1074	890.64	28.1799	0.485041
AUR62017670	1116	932.64	26.4102	0.434109
