target_id	length	eff_length	Aare_5	Aare_5_tpm
AsAa_g4533	951	754.708	113.914	1.98566
AsAa_g14924	1365	1168.71	118	1.32826
AsAa_g1957	336	147.449	888.96	79.314
AsAt_g4674	483	287.54	0	0
AsAt_g3881	1191	994.708	1.00056	0.0132329
AsAt_g9241	1512	1315.71	2.01142	0.0201118
AsAa_g6256	615	418.83	0	0
AsAa_g8827	810	613.737	85.9294	1.84191
AsAa_g19432	1608	1411.71	116	1.08099
AsAt_g2836	954	757.708	641.754	11.1423
AsAa_g15154	3399	3202.71	1029.52	4.22887
AsAa_g21159	6696	6499.71	1338	2.70813
AsAt_g3991	1023	826.708	29.9386	0.476417
AsAt_g18765	2532	2335.71	3	0.016897
AsAa_g3609	3063	2866.71	365.584	1.67769
AsAt_g6980	912	715.737	16.4486	0.302332
AsAt_g6975	528	332.154	20.3262	0.805055
AsAt_g19236	1476	1279.71	0	0
AsAa_g17505	561	364.946	1254.76	45.2313
AsAa_g19950	1110	913.708	0	0
AsAa_g8775	1719	1522.71	104	0.898514
AsAa_g11249	3069	2872.71	324.567	1.48635
AsAa_g12630	357	166.448	7	0.553257
AsAt_g21169	1260	1063.71	16.285	0.201406
AsAa_g11675	627	430.822	0	0
AsAt_g16594	681	484.803	0	0
AsAa_g18410	1011	814.708	31	0.500573
AsAa_g1716	252	78.6641	26.0114	4.35006
AsAa_g22302	705	508.803	1	0.0258558
AsAt_g6206	1359	1162.71	0	0
AsAt_g7191	1179	982.708	0	0
AsAa_g7521	4428	4231.71	691.377	2.14935
AsAa_g15170	1116	919.708	238.711	3.41453
AsAa_g19143	429	234.723	69	3.86724
AsAa_g4195	1818	1621.71	1091.21	8.85206
AsAa_g20036	846	649.737	0	0
AsAa_g10983_AsAa_g15737	519	323.18	0	0
AsAt_g5510	3522	3325.71	12.4698	0.049327
AsAa_g14895	216	55.1721	51	12.1607
AsAt_g21848	720	523.803	0	0
AsAt_g18677	1701	1504.71	19.427	0.169848
AsAt_g19953	1332	1135.71	6.0802	0.0704302
AsAa_g17490	3687	3490.71	8	0.0301498
AsAa_g84	5475	5278.71	723.99	1.80432
AsAt_g11411	366	174.62	0	0
AsAt_g6292	354	163.742	0	0
AsAa_g6789	252	78.6641	0	0
AsAt_g2363	405	211.425	5.1079	0.317829
AsAa_g17880	984	787.708	43	0.718143
AsAa_g17894	1323	1126.71	384	4.48361
AsAa_g900	495	299.392	20	0.878815
AsAa_g3495	660	463.812	2536.77	71.9525
AsAt_g9233	1317	1120.71	14.1344	0.165918
AsAa_g6223	1698	1501.71	2828.85	24.7817
AsAt_g16355	1977	1780.71	0	0
AsAa_g10872	1359	1162.71	0	0
AsAt_g9569	819	622.737	11	0.232379
AsAa_g1318	2523	2326.71	336.584	1.90309
AsAa_g12803	3264	3067.71	4.2297	0.0181386
AsAt_g20899	702	505.803	2.01386	0.052379
AsAt_g20312	1725	1528.71	13.2351	0.113896
AsAt_g14467	1035	838.708	0	0
AsAt_g11911	1152	955.708	0	0
AsAa_g7152	573	376.917	0	0
AsAt_g2215	1269	1072.71	56.1501	0.688616
AsAa_g800	786	589.737	8298.13	185.11
AsAt_g2808	456	260.936	0	0
AsAa_g18075	2220	2023.71	1643.77	10.6857
AsAa_g6253	1254	1057.71	2676.76	33.2929
AsAa_g15427	306	121.222	1711.25	185.713
AsAa_g20216	1104	907.708	103.925	1.50619
AsAa_g20974	402	208.586	0	0
AsAt_g14278	501	305.362	0	0
AsAa_g14203	1326	1129.71	537.983	6.26485
AsAa_g20322	1341	1144.71	618.942	7.11317
AsAt_g14938	1368	1171.71	12	0.134732
AsAa_g10734	1878	1681.71	80	0.625817
AsAa_g10003	777	580.737	38	0.86082
AsAt_g8581	888	691.737	0	0
AsAt_g6183	891	694.737	1	0.018936
AsAa_g14859	2433	2236.71	318.994	1.87621
AsAt_g9736	672	475.812	0	0
AsAt_g21764	489	293.476	0	0
AsAa_g8375	1140	943.708	81.9643	1.1426
AsAa_g1855	1068	871.708	49	0.739491
AsAa_g10891	1887	1690.71	468.211	3.64319
AsAa_g10276	975	778.708	1205.92	20.3729
AsAt_g18062	651	454.822	0	0
AsAa_g988	1521	1324.71	0	0
AsAa_g1637	1530	1333.71	34	0.335372
AsAt_g20729	1044	847.708	0	0
AsAt_g16311	903	706.737	23	0.428132
AsAt_g4399	789	592.737	0	0
AsAt_g91	1626	1429.71	0	0
AsAa_g7509	855	658.737	7	0.139796
AsAa_g7623	690	493.803	673.999	17.9562
AsAt_g22101	327	139.515	193	18.1989
AsAt_g11858	1938	1741.71	2.03533	0.0153733
AsAt_g18390	879	682.737	0	0
AsAa_g20616	1728	1531.71	0	0
AsAt_g21009	1146	949.708	0	0
AsAt_g11880	312	126.408	20.2465	2.10709
AsAa_g3195	435	240.508	118	6.45447
AsAt_g10906	480	284.545	0	0
AsAt_g18345	798	601.737	12.8821	0.281637
AsAt_g6609	2364	2167.71	906.35	5.50051
AsAt_g14039	1572	1375.71	2	0.0191255
AsAa_g23141	1077	880.708	0	0
AsAa_g5126	1350	1153.71	11.12	0.126799
AsAt_g3187	660	463.812	16	0.453822
AsAa_g20743	915	718.737	9	0.164733
AsAt_g11001	465	269.761	0	0
AsAt_g4992	3612	3415.71	0	0
AsAa_g11028	2586	2389.71	1109.82	6.10963
AsAt_g11504	486	290.522	0	0
AsAa_g8049	1014	817.708	145	2.3328
AsAa_g16394	1893	1696.71	0	0
AsAa_g23326	300	116.053	1	0.113358
AsAt_g15254	942	745.708	0	0
AsAa_g18351	864	667.737	2	0.0394033
AsAa_g11062	2184	1987.71	2863.7	18.9532
AsAa_g127	1275	1078.71	192.003	2.3416
AsAa_g6731	1275	1078.71	82.8287	1.01015
AsAt_g1069	660	463.812	0	0
AsAa_g12182	2025	1828.71	86.9453	0.625475
AsAt_g10655	705	508.803	0	0
AsAa_g16363	693	496.803	282	7.46746
AsAt_g20679	726	529.771	2.46829	0.0612938
AsAa_g10454	573	376.917	158	5.51467
AsAa_g8264	618	421.83	1	0.0311868
AsAa_g22179	3636	3439.71	57.9187	0.221516
AsAa_g16662	1950	1753.71	1042.98	7.82398
AsAa_g13226	2199	2002.71	18	0.11824
AsAa_g8806	318	131.592	0	0
AsAa_g1451	516	320.225	0	0
AsAt_g13717	882	685.737	4.02847	0.0772842
AsAa_g13605	1275	1078.71	69.8892	0.852342
AsAt_g12005	414	220.169	0	0
AsAa_g21890	879	682.737	938	18.0741
AsAt_g972	873	676.737	275.479	5.35521
AsAa_g14435	753	556.771	678	16.0199
AsAt_g8577	675	478.812	0	0
AsAt_g20981	1284	1087.71	0	0
AsAa_g8019	3267	3070.71	814.907	3.49122
AsAa_g3580	441	246.352	0	0
AsAt_g5553	276	96.5734	0	0
AsAa_g23290	1191	994.708	3	0.0396765
AsAa_g18000	1491	1294.71	331	3.36329
AsAa_g19344	3567	3370.71	2522.98	9.84694
AsAa_g13255	1020	823.708	2339.21	37.3598
AsAt_g3092	1755	1558.71	16.2709	0.137326
AsAt_g4830	999	802.708	0	0
AsAt_g7561	1023	826.708	149	2.37106
AsAt_g8953	1839	1642.71	5	0.0400422
AsAa_g7558	2187	1990.71	119	0.786407
AsAa_g20927	843	646.737	0	0
AsAa_g22678	1380	1183.71	0	0
AsAt_g12804	960	763.708	0	0
AsAt_g1780	3663	3466.71	1.08326	0.00411079
AsAa_g2069	3099	2902.71	243.499	1.10357
AsAt_g9353	1086	889.708	1.00691	0.0148886
AsAt_g18258	1302	1105.71	2.00212	0.0238209
AsAa_g806	1611	1414.71	3942.87	36.6652
AsAa_g10877	1515	1318.71	797.628	7.95719
AsAt_g7385	1125	928.708	106.69	1.51131
AsAa_g14738	1557	1360.71	4	0.0386726
AsAt_g11489	1059	862.708	0	0
AsAa_g12175	1203	1006.71	0	0
AsAa_g20820	1464	1267.71	206.335	2.14122
AsAa_g21003	3135	2938.71	202	0.90428
AsAt_g18806	1119	922.708	1.03512	0.0147582
AsAa_g5078	789	592.737	167.662	3.72118
AsAa_g10400	486	290.522	1302	58.9574
AsAa_g10831	213	53.5508	0	0
AsAa_g9043	1356	1159.71	0	0
AsAa_g14684	1554	1357.71	6	0.058137
AsAa_g6391	660	463.812	195.985	5.55889
AsAa_g1711	570	373.917	286	10.0623
AsAt_g3069	1455	1258.71	23.2296	0.242787
AsAt_g14398	369	177.466	0	0
AsAt_g1277	2541	2344.71	33.6245	0.188658
AsAt_g9238	2418	2221.71	0	0
AsAt_g13186	378	185.892	0	0
