target_id	length	eff_length	Atha_5	Atha_5_tpm
AsAa_g4533	951	768.713	2.04425	0.0204496
AsAa_g14924	1365	1182.69	1	0.00650199
AsAa_g1957	336	160.663	15.2234	0.728638
AsAt_g4674	483	301.716	0	0
AsAt_g3881	1191	1008.69	20	0.152472
AsAt_g9241	1512	1329.69	773.765	4.47482
AsAa_g6256	615	433.01	0	0
AsAa_g8827	810	627.853	13	0.159221
AsAa_g19432	1608	1425.69	1	0.00539377
AsAt_g2836	954	771.713	5862.38	58.4163
AsAa_g15154	3399	3216.69	111.64	0.266888
AsAa_g21159	6696	6513.69	22.0478	0.0260288
AsAt_g3991	1023	840.687	267.995	2.45137
AsAt_g18765	2532	2349.69	54	0.176726
AsAa_g3609	3063	2880.69	16.6042	0.0443238
AsAt_g6980	912	729.764	444.282	4.68159
AsAt_g6975	528	346.238	287.313	6.38112
AsAt_g19236	1476	1293.69	1	0.00594411
AsAa_g17505	561	379.153	28.275	0.573461
AsAa_g19950	1110	927.687	0	0
AsAa_g8775	1719	1536.69	6	0.0300249
AsAa_g11249	3069	2886.69	3.00716	0.00801075
AsAa_g12630	357	179.892	0	0
AsAt_g21169	1260	1077.69	923	6.58606
AsAa_g11675	627	444.981	0	0
AsAt_g16594	681	498.95	0	0
AsAa_g18410	1011	828.687	0	0
AsAa_g1716	252	90.2998	0	0
AsAa_g22302	705	522.95	2	0.0294094
AsAt_g6206	1359	1176.69	0	0
AsAt_g7191	1179	996.687	799	6.16459
AsAa_g7521	4428	4245.69	58.6016	0.10614
AsAa_g15170	1116	933.687	17	0.140012
AsAa_g19143	429	248.642	6	0.185563
AsAa_g4195	1818	1635.69	11.0663	0.0520255
AsAa_g20036	846	663.788	0	0
AsAa_g10983_AsAa_g15737	519	337.261	0	0
AsAt_g5510	3522	3339.69	580.889	1.33753
AsAa_g14895	216	65.0748	1	0.118169
AsAt_g21848	720	537.95	2	0.0285894
AsAt_g18677	1701	1518.69	354	1.79247
AsAt_g19953	1332	1149.69	11	0.0735748
AsAa_g17490	3687	3504.69	0	0
AsAa_g84	5475	5292.69	24.127	0.0350544
AsAt_g11411	366	188.188	8	0.326899
AsAt_g6292	354	177.214	3	0.130178
AsAa_g6789	252	90.2998	0	0
AsAt_g2363	405	225.267	402.814	13.7506
AsAa_g17880	984	801.687	5	0.0479603
AsAa_g17894	1323	1140.69	591.977	3.99075
AsAa_g900	495	313.531	0	0
AsAa_g3495	660	477.95	34.6695	0.557803
AsAt_g9233	1317	1134.69	300.987	2.0398
AsAa_g6223	1698	1515.69	59.8382	0.303588
AsAt_g16355	1977	1794.69	0	0
AsAa_g10872	1359	1176.69	0	0
AsAt_g9569	819	636.832	139.853	1.68874
AsAa_g1318	2523	2340.69	3.00519	0.00987291
AsAa_g12803	3264	3081.69	0	0
AsAt_g20899	702	519.95	51	0.754267
AsAt_g20312	1725	1542.69	794.976	3.96271
AsAt_g14467	1035	852.687	1	0.00901834
AsAt_g11911	1152	969.687	0	0
AsAa_g7152	573	391.077	0	0
AsAt_g2215	1269	1086.69	569.48	4.02986
AsAa_g800	786	603.853	107.94	1.37457
AsAt_g2808	456	275.078	5	0.139775
AsAa_g18075	2220	2037.69	22.9965	0.0867841
AsAa_g6253	1254	1071.69	57.29	0.411081
AsAa_g15427	306	134.158	33.5441	1.92271
AsAa_g20216	1104	921.687	4.03704	0.0336818
AsAa_g20974	402	222.312	0	0
AsAt_g14278	501	319.458	0	0
AsAa_g14203	1326	1143.69	13.1196	0.0882126
