target_id	length	eff_length	Aare_2	Aare_2_tpm
AsAa_g4533	951	765.037	52	0.762557
AsAa_g14924	1365	1179.04	194.99	1.85539
AsAa_g1957	336	156.601	1349	96.6427
AsAt_g4674	483	297.844	0	0
AsAt_g3881	1191	1005.04	2	0.0223254
AsAt_g9241	1512	1326.04	2.00859	0.0169936
AsAa_g6256	615	429.243	0	0
AsAa_g8827	810	624.076	191.99	3.45137
AsAa_g19432	1608	1422.04	93	0.733708
AsAt_g2836	954	768.037	920.007	13.4388
AsAa_g15154	3399	3213.04	1058.29	3.69523
AsAa_g21159	6696	6510.04	2011	3.46561
AsAt_g3991	1023	837.037	18.7957	0.251921
AsAt_g18765	2532	2346.04	1	0.00478208
AsAa_g3609	3063	2877.04	482.764	1.88252
AsAt_g6980	912	726.037	0	0
AsAt_g6975	528	342.584	49.6909	1.62728
AsAt_g19236	1476	1290.04	0	0
AsAa_g17505	561	375.368	1467.54	43.8616
AsAa_g19950	1110	924.037	0	0
AsAa_g8775	1719	1533.04	133.692	0.978374
AsAa_g11249	3069	2883.04	191.416	0.744868
AsAa_g12630	357	175.903	6	0.382675
AsAt_g21169	1260	1074.04	25.8649	0.270174
AsAa_g11675	627	441.226	0	0
AsAt_g16594	681	495.198	0	0
AsAa_g18410	1011	825.037	19	0.258364
AsAa_g1716	252	86.3793	148.5	19.2871
AsAa_g22302	705	519.157	1	0.0216099
AsAt_g6206	1359	1173.04	0	0
AsAt_g7191	1179	993.037	0	0
AsAa_g7521	4428	4242.04	536.719	1.41946
AsAa_g15170	1116	930.037	292.526	3.52871
AsAa_g19143	429	244.681	76	3.4847
AsAa_g4195	1818	1632.04	1072.42	7.37204
AsAa_g20036	846	660.064	0	0
AsAa_g10983_AsAa_g15737	519	333.638	0	0
AsAt_g5510	3522	3336.04	31.6029	0.106279
AsAa_g14895	216	61.5786	78.6027	14.3205
AsAt_g21848	720	534.157	0	0
AsAt_g18677	1701	1515.04	13	0.0962657
AsAt_g19953	1332	1146.04	5	0.0489466
AsAa_g17490	3687	3501.04	2	0.00640892
AsAa_g84	5475	5289.04	1336.87	2.83571
AsAt_g11411	366	184.275	0	0
AsAt_g6292	354	173.098	0	0
AsAa_g6789	252	86.3793	2	0.25976
AsAt_g2363	405	221.294	0	0
AsAa_g17880	984	798.037	28	0.393628
AsAa_g17894	1323	1137.04	320	3.15738
AsAa_g900	495	309.771	22	0.79677
AsAa_g3495	660	474.198	1841.53	43.5683
AsAt_g9233	1317	1131.04	1.00461	0.0099649
AsAa_g6223	1698	1512.04	3534.98	26.2287
AsAt_g16355	1977	1791.04	0	0
AsAa_g10872	1359	1173.04	0	0
AsAt_g9569	819	633.076	0	0
AsAa_g1318	2523	2337.04	380.562	1.82688
AsAa_g12803	3264	3078.04	6.64901	0.0242345
AsAt_g20899	702	516.178	1	0.0217346
AsAt_g20312	1725	1539.04	28.9207	0.21082
AsAt_g14467	1035	849.037	0	0
AsAt_g11911	1152	966.037	0	0
AsAa_g7152	573	387.299	0	0
AsAt_g2215	1269	1083.04	0	0
AsAa_g800	786	600.113	6237.27	116.604
AsAt_g2808	456	271.123	0	0
AsAa_g18075	2220	2034.04	1643.89	9.06706
AsAa_g6253	1254	1068.04	3076.92	32.3208
AsAa_g15427	306	130.078	1960	169.045
AsAa_g20216	1104	918.037	148	1.80864
AsAa_g20974	402	218.379	0	0
AsAt_g14278	501	315.708	0	0
AsAa_g14203	1326	1140.04	602.975	5.93379
AsAa_g20322	1341	1155.04	692.779	6.72899
AsAt_g14938	1368	1182.04	24.7086	0.234514
AsAa_g10734	1878	1692.04	77	0.510543
AsAa_g10003	777	591.113	0	0
AsAt_g8581	888	702.037	0	0
AsAt_g6183	891	705.037	0	0
AsAa_g14859	2433	2247.04	381.89	1.90669
AsAt_g9736	672	486.198	0	0
AsAt_g21764	489	303.802	0	0
AsAa_g8375	1140	954.037	77	0.905476
AsAa_g1855	1068	882.037	2	0.0254387
AsAa_g10891	1887	1701.04	577.101	3.80618
AsAa_g10276	975	789.037	1420.98	20.2042
AsAt_g18062	651	465.208	0	0
AsAa_g988	1521	1335.04	0	0
AsAa_g1637	1530	1344.04	28	0.233721
AsAt_g20729	1044	858.037	0	0
AsAt_g16311	903	717.037	0	0
AsAt_g4399	789	603.089	0	0
AsAt_g91	1626	1440.04	0	0
AsAa_g7509	855	669.05	5	0.0838422
AsAa_g7623	690	504.188	792.996	17.6453
AsAt_g22101	327	148.434	186	14.0582
AsAt_g11858	1938	1752.04	0	0
AsAt_g18390	879	693.037	0	0
AsAa_g20616	1728	1542.04	0	0
AsAt_g21009	1146	960.037	1	0.0116859
AsAt_g11880	312	135.22	13.7593	1.14158
AsAa_g3195	435	250.557	5	0.22388
AsAt_g10906	480	294.897	0	0
AsAt_g18345	798	612.089	270.941	4.96606
AsAt_g6609	2364	2178.04	1130.75	5.8244
AsAt_g14039	1572	1386.04	0	0
AsAa_g23141	1077	891.037	0	0
AsAa_g5126	1350	1164.04	3.73689	0.0360159
AsAt_g3187	660	474.198	21	0.496833
AsAa_g20743	915	729.037	1	0.0153887
AsAt_g11001	465	280.03	0	0
AsAt_g4992	3612	3426.04	1.20265	0.00393821
AsAa_g11028	2586	2400.04	1345	6.28718
AsAt_g11504	486	300.832	0	0
AsAa_g8049	1014	828.037	139	1.88329
AsAa_g16394	1893	1707.04	0	0
AsAa_g23326	300	124.821	3	0.26964
AsAt_g15254	942	756.037	0	0
AsAa_g18351	864	678.037	2	0.0330924
AsAa_g11062	2184	1998.04	5666.99	31.82
AsAa_g127	1275	1089.04	297.032	3.05993
AsAa_g6731	1275	1089.04	50.7215	0.522518
AsAt_g1069	660	474.198	1	0.0236587
AsAa_g12182	2025	1839.04	124.85	0.761641
AsAt_g10655	705	519.157	2	0.0432197
AsAa_g16363	693	507.178	271	5.9946
AsAt_g20679	726	540.157	1.23753	0.0257032
AsAa_g10454	573	387.299	369	10.6889
AsAa_g8264	618	432.243	0	0
AsAa_g22179	3636	3450.04	66.9752	0.217792
AsAa_g16662	1950	1764.04	1459	9.27895
AsAa_g13226	2199	2013.04	21	0.117036
AsAa_g8806	318	140.436	0	0
AsAa_g1451	516	330.644	0	0
AsAt_g13717	882	696.037	2.01741	0.0325173
AsAa_g13605	1275	1089.04	49	0.504783
AsAt_g12005	414	230	0	0
AsAa_g21890	879	693.037	802	12.9828
AsAt_g972	873	687.037	223.521	3.64997
