target_id	length	eff_length	Asue_3	Asue_3_tpm
AsAa_g4533	951	764.409	62.3853	0.731713
AsAa_g14924	1365	1178.41	47	0.357591
AsAa_g1957	336	156.344	352.118	20.1925
AsAt_g4674	483	297.159	4	0.120685
AsAt_g3881	1191	1004.41	243	2.1691
AsAt_g9241	1512	1325.41	549	3.7137
AsAa_g6256	615	428.541	0	0
AsAa_g8827	810	623.434	239	3.4371
AsAa_g19432	1608	1421.41	15	0.0946142
AsAt_g2836	954	767.409	1536.81	17.9547
AsAa_g15154	3399	3212.41	1252.07	3.49447
AsAa_g21159	6696	6509.41	1199.58	1.65223
AsAt_g3991	1023	836.409	107	1.14696
AsAt_g18765	2532	2345.41	75	0.286699
AsAa_g3609	3063	2876.41	246.919	0.769642
AsAt_g6980	912	725.409	300.172	3.70998
AsAt_g6975	528	341.775	488.817	12.823
AsAt_g19236	1476	1289.41	1	0.00695334
AsAa_g17505	561	374.605	63.5309	1.52053
AsAa_g19950	1110	923.409	1	0.00970935
AsAa_g8775	1719	1532.41	103.611	0.606198
AsAa_g11249	3069	2882.41	229	0.712302
AsAa_g12630	357	175.389	8	0.408952
AsAt_g21169	1260	1073.41	307.171	2.56566
AsAa_g11675	627	440.532	0	0
AsAt_g16594	681	494.468	0	0
AsAa_g18410	1011	824.409	5	0.0543765
AsAa_g1716	252	86.4522	14.5	1.50375
AsAa_g22302	705	518.458	2	0.034586
AsAt_g6206	1359	1172.41	0	0
AsAt_g7191	1179	992.409	241	2.17726
AsAa_g7521	4428	4241.41	291.104	0.61535
AsAa_g15170	1116	929.409	412.714	3.98132
AsAa_g19143	429	244.215	47	1.72548
AsAa_g4195	1818	1631.41	638.71	3.51014
AsAa_g20036	846	659.409	0	0
AsAa_g10983_AsAa_g15737	519	332.856	10.5744	0.284828
AsAt_g5510	3522	3335.41	199.079	0.535131
AsAa_g14895	216	61.7654	24.4767	3.55298
AsAt_g21848	720	533.458	0	0
AsAt_g18677	1701	1514.41	245	1.45046
AsAt_g19953	1332	1145.41	10	0.0782751
AsAa_g17490	3687	3500.41	0	0
AsAa_g84	5475	5288.41	497.526	0.84348
AsAt_g11411	366	183.831	1	0.0487714
AsAt_g6292	354	172.723	0	0
AsAa_g6789	252	86.4522	108	11.2004
AsAt_g2363	405	220.864	109.802	4.45728
AsAa_g17880	984	797.409	74	0.832022
AsAa_g17894	1323	1136.41	701	5.53054
AsAa_g900	495	309.074	15	0.435123
AsAa_g3495	660	473.468	804.797	15.2398
AsAt_g9233	1317	1130.41	273	2.16527
AsAa_g6223	1698	1511.41	4087.2	24.2453
AsAt_g16355	1977	1790.41	0	0
AsAa_g10872	1359	1172.41	0	0
AsAt_g9569	819	632.409	60.4616	0.857168
AsAa_g1318	2523	2336.41	414.633	1.5911
AsAa_g12803	3264	3077.41	196.182	0.571555
AsAt_g20899	702	515.458	16	0.278299
AsAt_g20312	1725	1538.41	272.162	1.58613
AsAt_g14467	1035	848.409	0	0
AsAt_g11911	1152	965.409	0	0
AsAa_g7152	573	386.605	0	0
AsAt_g2215	1269	1082.41	425.401	3.52364
AsAa_g800	786	599.446	9914.36	148.286
AsAt_g2808	456	270.552	0	0
AsAa_g18075	2220	2033.41	1076.86	4.74811
AsAa_g6253	1254	1067.41	1535.52	12.8976
AsAa_g15427	306	129.654	1285.66	88.905
AsAa_g20216	1104	917.409	99.3764	0.971191
AsAa_g20974	402	218.001	2	0.0822536
AsAt_g14278	501	315.018	0	0
AsAa_g14203	1326	1139.41	309.722	2.43712
AsAa_g20322	1341	1154.41	504.01	3.91439
AsAt_g14938	1368	1181.41	207.435	1.57422
AsAa_g10734	1878	1691.41	94	0.498268
AsAa_g10003	777	590.446	17	0.258139
AsAt_g8581	888	701.409	0	0
AsAt_g6183	891	704.409	194	2.46923
AsAa_g14859	2433	2246.41	263.489	1.05162
AsAt_g9736	672	485.468	0	0
AsAt_g21764	489	303.123	54.3452	1.60741
AsAa_g8375	1140	953.409	35	0.329134
AsAa_g1855	1068	881.409	41	0.417052
AsAa_g10891	1887	1700.41	352.605	1.85917
AsAa_g10276	975	788.409	893	10.1551
AsAt_g18062	651	464.486	39	0.752793
AsAa_g988	1521	1334.41	0	0
AsAa_g1637	1530	1343.41	7	0.0467169
AsAt_g20729	1044	857.409	41	0.428726
AsAt_g16311	903	716.409	0	0
AsAt_g4399	789	602.446	56	0.833401
AsAt_g91	1626	1439.41	0	0
AsAa_g7509	855	668.409	22	0.295097
AsAa_g7623	690	503.458	197.306	3.51367
AsAt_g22101	327	148.119	277	16.7669
AsAt_g11858	1938	1751.41	135.02	0.691186
AsAt_g18390	879	692.409	10	0.129486
