target_id	length	eff_length	Atha_4	Atha_4_tpm
AsAa_g4533	951	763.701	0	0
AsAa_g14924	1365	1177.65	1.04762	0.0101343
AsAa_g1957	336	154.835	0	0
AsAt_g4674	483	296.438	0	0
AsAt_g3881	1191	1003.65	0	0
AsAt_g9241	1512	1324.65	215	1.84903
AsAa_g6256	615	427.852	0	0
AsAa_g8827	810	622.701	2	0.0365894
AsAa_g19432	1608	1420.65	0	0
AsAt_g2836	954	766.701	473.877	7.04117
AsAa_g15154	3399	3211.65	94.7392	0.336053
AsAa_g21159	6696	6508.65	0	0
AsAt_g3991	1023	835.649	76	1.03608
AsAt_g18765	2532	2344.65	60	0.291527
AsAa_g3609	3063	2875.65	0	0
AsAt_g6980	912	724.701	147	2.31081
AsAt_g6975	528	341.178	135.22	4.51508
AsAt_g19236	1476	1288.65	40	0.353615
AsAa_g17505	561	373.975	0	0
AsAa_g19950	1110	922.649	0	0
AsAa_g8775	1719	1531.65	0	0
AsAa_g11249	3069	2881.65	0	0
AsAa_g12630	357	174.292	0	0
AsAt_g21169	1260	1072.65	199	2.11349
AsAa_g11675	627	439.823	0	0
AsAt_g16594	681	493.777	0	0
AsAa_g18410	1011	823.649	0	0
AsAa_g1716	252	83.6596	0	0
AsAa_g22302	705	517.777	3	0.0660061
AsAt_g6206	1359	1171.65	0	0
AsAt_g7191	1179	991.649	224	2.57333
AsAa_g7521	4428	4240.65	11.3064	0.0303738
AsAa_g15170	1116	928.649	2	0.0245349
AsAa_g19143	429	243.188	0	0
AsAa_g4195	1818	1630.65	0	0
AsAa_g20036	846	658.701	0	0
AsAa_g10983_AsAa_g15737	519	332.211	1	0.0342919
AsAt_g5510	3522	3334.65	426.939	1.45855
AsAa_g14895	216	58.9705	0	0
AsAt_g21848	720	532.759	11	0.235216
AsAt_g18677	1701	1513.65	185	1.39236
AsAt_g19953	1332	1144.65	11	0.109478
AsAa_g17490	3687	3499.65	0	0
AsAa_g84	5475	5287.65	0	0
AsAt_g11411	366	182.641	2	0.124749
AsAt_g6292	354	171.497	1	0.0664276
AsAa_g6789	252	83.6596	0	0
AsAt_g2363	405	219.875	201	10.4142
AsAa_g17880	984	796.676	1.00212	0.0143299
AsAa_g17894	1323	1135.65	296	2.96929
AsAa_g900	495	308.337	0	0
AsAa_g3495	660	472.793	0	0
AsAt_g9233	1317	1129.65	156	1.57321
AsAa_g6223	1698	1510.65	10.6943	0.0806479
AsAt_g16355	1977	1789.65	0	0
AsAa_g10872	1359	1171.65	0	0
AsAt_g9569	819	631.701	96.904	1.74757
AsAa_g1318	2523	2335.65	3.02706	0.0147645
AsAa_g12803	3264	3076.65	0	0
AsAt_g20899	702	514.777	28	0.619647
AsAt_g20312	1725	1537.65	286.434	2.12213
AsAt_g14467	1035	847.649	0	0
AsAt_g11911	1152	964.649	0	0
AsAa_g7152	573	385.95	0	0
AsAt_g2215	1269	1081.65	486	5.11865
AsAa_g800	786	598.722	0	0
AsAt_g2808	456	269.702	1	0.0422397
AsAa_g18075	2220	2032.65	1.02833	0.00576335
AsAa_g6253	1254	1066.65	0	0
AsAa_g15427	306	127.689	0	0
AsAa_g20216	1104	916.649	0	0
AsAa_g20974	402	216.978	0	0
AsAt_g14278	501	314.254	0	0
AsAa_g14203	1326	1138.65	0	0
AsAa_g20322	1341	1153.65	0	0
AsAt_g14938	1368	1180.65	379.937	3.66604
AsAa_g10734	1878	1690.65	0	0
AsAa_g10003	777	589.722	0	0
AsAt_g8581	888	700.701	0	0
AsAt_g6183	891	703.701	2356	38.141
AsAa_g14859	2433	2245.65	0	0
AsAt_g9736	672	484.793	0	0
AsAt_g21764	489	302.378	67	2.52424
AsAa_g8375	1140	952.649	0	0
AsAa_g1855	1068	880.649	0	0
AsAa_g10891	1887	1699.65	0	0
AsAa_g10276	975	787.676	0	0
AsAt_g18062	651	463.793	17	0.417571
AsAa_g988	1521	1333.65	0	0
AsAa_g1637	1530	1342.65	0	0
AsAt_g20729	1044	856.649	18	0.239373
AsAt_g16311	903	715.701	0	0
AsAt_g4399	789	601.722	44	0.833034
AsAt_g91	1626	1438.65	0	0
AsAa_g7509	855	667.701	0	0
AsAa_g7623	690	502.777	0	0
AsAt_g22101	327	146.63	33	2.56387
AsAt_g11858	1938	1750.65	157	1.02166
AsAt_g18390	879	691.701	20	0.329395
AsAa_g20616	1728	1540.65	0	0
AsAt_g21009	1146	958.649	95	1.12894
AsAt_g11880	312	133.016	10907	934.127
AsAa_g3195	435	249.048	0	0
AsAt_g10906	480	293.468	4	0.155276
AsAt_g18345	798	610.701	120666	2250.93
AsAt_g6609	2364	2176.65	748.069	3.91524
AsAt_g14039	1572	1384.65	162	1.33285
AsAa_g23141	1077	889.649	0	0
AsAa_g5126	1350	1162.65	0	0
AsAt_g3187	660	472.793	120	2.89145
AsAa_g20743	915	727.701	0	0
AsAt_g11001	465	278.592	0	0
AsAt_g4992	3612	3424.65	36	0.119755
AsAa_g11028	2586	2398.65	0	0
AsAt_g11504	486	299.428	42	1.59795
AsAa_g8049	1014	826.649	0	0
AsAa_g16394	1893	1705.65	0	0
AsAa_g23326	300	122.476	0	0
AsAt_g15254	942	754.701	6	0.0905694
AsAa_g18351	864	676.701	0	0
AsAa_g11062	2184	1996.65	1.00039	0.00570785
AsAa_g127	1275	1087.65	0	0
AsAa_g6731	1275	1087.65	0	0
AsAt_g1069	660	472.793	5	0.120477
AsAa_g12182	2025	1837.65	0	0
AsAt_g10655	705	517.777	528	11.6171
AsAa_g16363	693	505.777	0	0
AsAt_g20679	726	538.759	164.306	3.47428
AsAa_g10454	573	385.95	4	0.118069
AsAa_g8264	618	430.852	0	0
AsAa_g22179	3636	3448.65	0	0
AsAa_g16662	1950	1762.65	1.00494	0.00649502
AsAa_g13226	2199	2011.65	1	0.00566309
AsAa_g8806	318	138.382	0	0
AsAa_g1451	516	329.233	0	0
AsAt_g13717	882	694.701	1600	26.2378
AsAa_g13605	1275	1087.65	0	0
AsAt_g12005	414	228.62	0	0
AsAa_g21890	879	691.701	180	2.96455
AsAt_g972	873	685.701	1663	27.6288
AsAa_g14435	753	565.741	0	0
AsAt_g8577	675	487.793	0	0
AsAt_g20981	1284	1096.65	177.958	1.84865
AsAa_g8019	3267	3079.65	0	0
AsAa_g3580	441	254.955	0	0
AsAt_g5553	276	102.134	28	3.12315
AsAa_g23290	1191	1003.65	0	0
AsAa_g18000	1491	1303.65	0	0
AsAa_g19344	3567	3379.65	0	0
AsAa_g13255	1020	832.649	1.06172	0.0145263
AsAt_g3092	1755	1567.65	143	1.03918
AsAt_g4830	999	811.649	0	0
AsAt_g7561	1023	835.649	279	3.80352
AsAt_g8953	1839	1651.65	0	0
AsAa_g7558	2187	1999.65	0	0
AsAa_g20927	843	655.701	0	0
AsAa_g22678	1380	1192.65	0	0
AsAt_g12804	960	772.701	5	0.0737163
AsAt_g1780	3663	3475.65	342	1.12097
AsAa_g2069	3099	2911.65	0	0
AsAt_g9353	1086	898.649	717.817	9.09974
AsAt_g18258	1302	1114.65	412	4.2108
AsAa_g806	1611	1423.65	485.638	3.88611
AsAa_g10877	1515	1327.65	0	0
AsAt_g7385	1125	937.649	259	3.14677
AsAa_g14738	1557	1369.65	0	0
AsAt_g11489	1059	871.649	0	0
AsAa_g12175	1203	1015.65	0	0
AsAa_g20820	1464	1276.65	0	0
AsAa_g21003	3135	2947.65	0	0
AsAt_g18806	1119	931.649	27	0.330154
AsAa_g5078	789	601.722	0	0
AsAa_g10400	486	299.428	80	3.04371
AsAa_g10831	213	57.1228	0	0
AsAa_g9043	1356	1168.65	0	0
AsAa_g14684	1554	1366.65	0	0
AsAa_g6391	660	472.793	0	0
AsAa_g1711	570	382.963	0	0
AsAt_g3069	1455	1267.65	577.944	5.19389
AsAt_g14398	369	185.504	844	51.8316
AsAt_g1277	2541	2353.65	960	4.6466
AsAt_g9238	2418	2230.65	63	0.321747
AsAt_g13186	378	194.026	0	0
AsAt_g14087	1068	880.649	11	0.142297
AsAt_g21406	612	424.881	1	0.0268126
AsAt_g9227	252	83.6596	92	12.5279
AsAt_g8272	501	314.254	200	7.25027
AsAa_g13553	2571	2383.65	0	0
AsAa_g1510	1917	1729.65	0	0
AsAt_g15508	867	679.701	0	0
AsAt_g15125	1821	1633.65	182	1.26917
AsAt_g12089	663	475.793	489.988	11.732
AsAa_g10821	1386	1198.65	0	0
AsAt_g2828	1038	850.649	96	1.28566
AsAt_g73	1899	1711.65	319	2.12315
AsAa_g22968	1344	1156.65	0	0
AsAa_g6198	774	586.722	0	0
AsAa_g13139	954	766.701	0	0
AsAa_g11705	1968	1780.65	0	0
AsAt_g10482	3258	3070.65	331	1.22801
AsAa_g12163	501	314.254	0	0
AsAa_g5414	624	436.823	0	0
AsAt_g15171	387	202.591	0	0
AsAa_g330	378	194.026	0	0
