target_id	length	eff_length	Atha_3	Atha_3_tpm
AsAa_g4533	951	776.797	0	0
AsAa_g14924	1365	1190.8	2	0.0153053
AsAa_g1957	336	168.071	3.07782	0.166878
AsAt_g4674	483	309.537	0.9344	0.0275087
AsAt_g3881	1191	1016.8	9	0.0806598
AsAt_g9241	1512	1337.8	657.954	4.48182
AsAa_g6256	615	440.909	0	0
AsAa_g8827	810	635.832	8.05882	0.115499
AsAa_g19432	1608	1433.8	0	0
AsAt_g2836	954	779.797	6520.22	76.1955
AsAa_g15154	3399	3224.8	129.179	0.365039
AsAa_g21159	6696	6521.8	7.00395	0.00978644
AsAt_g3991	1023	848.797	218.996	2.35115
AsAt_g18765	2532	2357.8	62	0.239626
AsAa_g3609	3063	2888.8	5.14687	0.0162359
AsAt_g6980	912	737.797	396	4.89111
AsAt_g6975	528	354.184	330.865	8.51276
AsAt_g19236	1476	1301.8	0	0
AsAa_g17505	561	387.073	6.07307	0.142976
AsAa_g19950	1110	935.797	0	0
AsAa_g8775	1719	1544.8	1.00488	0.00592775
AsAa_g11249	3069	2894.8	2.00993	0.00632722
AsAa_g12630	357	187.489	0	0
AsAt_g21169	1260	1085.8	1093	9.17319
AsAa_g11675	627	452.898	0	0
AsAt_g16594	681	506.873	0	0
AsAa_g18410	1011	836.797	0	0
AsAa_g1716	252	97.5626	1	0.093404
AsAa_g22302	705	530.861	1	0.017166
AsAt_g6206	1359	1184.8	0	0
AsAt_g7191	1179	1004.8	627	5.68641
AsAa_g7521	4428	4253.8	42.824	0.0917402
AsAa_g15170	1116	941.797	7	0.0677313
AsAa_g19143	429	256.39	0	0
AsAa_g4195	1818	1643.8	3.01897	0.0167363
AsAa_g20036	846	671.815	0	0
AsAa_g10983_AsAa_g15737	519	345.254	0	0
AsAt_g5510	3522	3347.8	626.842	1.70627
AsAa_g14895	216	72.6269	0	0
AsAt_g21848	720	545.861	25	0.417357
AsAt_g18677	1701	1526.8	352.994	2.10686
AsAt_g19953	1332	1157.8	1	0.00787076
AsAa_g17490	3687	3512.8	0	0
AsAa_g84	5475	5300.8	11.1851	0.0192287
AsAt_g11411	366	195.949	5	0.232528
AsAt_g6292	354	184.707	3	0.148008
AsAa_g6789	252	97.5626	0	0
AsAt_g2363	405	233.046	381.943	14.935
AsAa_g17880	984	809.797	3	0.0337593
AsAa_g17894	1323	1148.8	544	4.31524
AsAa_g900	495	321.387	0	0
AsAa_g3495	660	485.886	10.3376	0.19388
AsAt_g9233	1317	1142.8	257.992	2.05725
AsAa_g6223	1698	1523.8	34.7482	0.207804
AsAt_g16355	1977	1802.8	0	0
AsAa_g10872	1359	1184.8	0	0
AsAt_g9569	819	644.832	100	1.4132
AsAa_g1318	2523	2348.8	14.0987	0.0546995
AsAa_g12803	3264	3089.8	0	0
AsAt_g20899	702	527.861	42	0.725068
AsAt_g20312	1725	1550.8	806.087	4.7367
AsAt_g14467	1035	860.797	2	0.0211728
AsAt_g11911	1152	977.797	0	0
AsAa_g7152	573	399.044	0	0
AsAt_g2215	1269	1094.8	401.887	3.34518
AsAa_g800	786	611.832	23.3761	0.348168
