target_id	length	eff_length	Asue_4	Asue_4_tpm
AsAa_g4533	951	773.78	19.2436	0.328061
AsAa_g14924	1365	1187.78	8	0.0888463
AsAa_g1957	336	162.594	267.224	21.6798
AsAt_g4674	483	306.286	0	0
AsAt_g3881	1191	1013.78	20	0.260238
AsAt_g9241	1512	1334.78	585	5.78138
AsAa_g6256	615	437.954	0	0
AsAa_g8827	810	632.868	93	1.93845
AsAa_g19432	1608	1430.78	5	0.046098
AsAt_g2836	954	776.78	1201.14	20.3976
AsAa_g15154	3399	3221.78	774.006	3.16908
AsAa_g21159	6696	6518.78	1643.53	3.3258
AsAt_g3991	1023	845.78	81	1.26332
AsAt_g18765	2532	2354.78	67	0.375327
AsAa_g3609	3063	2885.78	449.019	2.05252
AsAt_g6980	912	734.78	130.367	2.34044
AsAt_g6975	528	351.1	390.112	14.657
AsAt_g19236	1476	1298.78	2	0.0203133
AsAa_g17505	561	384.039	51	1.75178
AsAa_g19950	1110	932.78	5	0.0707092
AsAa_g8775	1719	1541.78	63	0.539018
AsAa_g11249	3069	2891.78	199.003	0.907776
AsAa_g12630	357	182.652	13	0.938865
AsAt_g21169	1260	1082.78	405.193	4.93637
AsAa_g11675	627	449.939	0	0
AsAt_g16594	681	503.907	0	0
AsAa_g18410	1011	833.78	8	0.126568
AsAa_g1716	252	88.2398	8.2268	1.22985
AsAa_g22302	705	527.907	12	0.299853
AsAt_g6206	1359	1181.78	0	0
AsAt_g7191	1179	1001.78	150.616	1.98329
AsAa_g7521	4428	4250.78	223.164	0.692532
AsAa_g15170	1116	938.78	253	3.55502
AsAa_g19143	429	252.691	92	4.80268
AsAa_g4195	1818	1640.78	451.052	3.62628
AsAa_g20036	846	668.825	0	0
AsAa_g10983_AsAa_g15737	519	342.135	3	0.115667
AsAt_g5510	3522	3344.78	361.361	1.42514
AsAa_g14895	216	60.9129	39	8.44579
AsAt_g21848	720	542.907	63	1.53074
AsAt_g18677	1701	1523.78	186	1.61019
AsAt_g19953	1332	1154.78	10	0.114232
AsAa_g17490	3687	3509.78	0	0
AsAa_g84	5475	5297.78	645.448	1.60714
AsAt_g11411	366	191.201	0	0
AsAt_g6292	354	179.768	0	0
AsAa_g6789	252	88.2398	116	17.3412
AsAt_g2363	405	229.06	95.4569	5.49723
AsAa_g17880	984	806.78	128	2.09286
AsAa_g17894	1323	1145.78	551	6.3436
AsAa_g900	495	318.224	12	0.497432
AsAa_g3495	660	482.923	925.245	25.2734
AsAt_g9233	1317	1139.78	448	5.18492
AsAa_g6223	1698	1520.78	1783.8	15.4727
AsAt_g16355	1977	1799.78	0	0
AsAa_g10872	1359	1181.78	0	0
AsAt_g9569	819	641.868	73.8312	1.51733
AsAa_g1318	2523	2345.78	290.971	1.63624
AsAa_g12803	3264	3086.78	119.971	0.512692
AsAt_g20899	702	524.907	10	0.251306
AsAt_g20312	1725	1547.78	521.119	4.44133
AsAt_g14467	1035	857.78	0	0
AsAt_g11911	1152	974.78	0	0
AsAa_g7152	573	396.039	0	0
AsAt_g2215	1269	1091.78	497.567	6.01176
AsAa_g800	786	608.868	4698.38	101.791
AsAt_g2808	456	279.453	0	0
AsAa_g18075	2220	2042.78	445.184	2.87477
AsAa_g6253	1254	1076.78	1508.17	18.476
AsAa_g15427	306	134.751	467.332	45.7487
AsAa_g20216	1104	926.78	92.9154	1.3225
AsAa_g20974	402	226.143	0	0
AsAt_g14278	501	324.213	0	0
AsAa_g14203	1326	1148.78	313.162	3.59598
AsAa_g20322	1341	1163.78	505.558	5.73041
AsAt_g14938	1368	1190.78	244.22	2.70542
AsAa_g10734	1878	1700.78	43	0.333507
AsAa_g10003	777	599.868	18	0.395824
AsAt_g8581	888	710.78	0	0
AsAt_g6183	891	713.78	984.115	18.1872
AsAa_g14859	2433	2255.78	188.686	1.10339
AsAt_g9736	672	494.907	0	0
AsAt_g21764	489	312.255	83.379	3.52235
AsAa_g8375	1140	962.78	20	0.274024
AsAa_g1855	1068	890.78	18	0.266555
AsAa_g10891	1887	1709.78	276.781	2.13541
AsAa_g10276	975	797.78	803	13.2775
AsAt_g18062	651	473.939	11	0.306165
AsAa_g988	1521	1343.78	1	0.00981651
AsAa_g1637	1530	1352.78	7	0.0682584
AsAt_g20729	1044	866.78	12.3429	0.187842
AsAt_g16311	903	725.78	0	0
AsAt_g4399	789	611.868	30	0.646768
AsAt_g91	1626	1448.78	0	0
AsAa_g7509	855	677.78	19	0.369786
AsAa_g7623	690	512.907	157	4.03781
AsAt_g22101	327	154.105	323	27.6484
AsAt_g11858	1938	1760.78	178.383	1.33639
AsAt_g18390	879	701.78	8	0.150374
AsAa_g20616	1728	1550.78	0	0
AsAt_g21009	1146	968.78	68	0.92591
AsAt_g11880	312	140.2	3437.6	323.439
AsAa_g3195	435	258.597	1	0.0510107
AsAt_g10906	480	303.297	2	0.0869857
AsAt_g18345	798	620.868	3143.41	66.7862
AsAt_g6609	2364	2186.78	898.037	5.41719
AsAt_g14039	1572	1394.78	359.502	3.40002
AsAa_g23141	1077	899.78	0	0
AsAa_g5126	1350	1172.78	11.6557	0.131101
AsAt_g3187	660	482.923	56.5773	1.54543
AsAa_g20743	915	737.78	1	0.0178796
AsAt_g11001	465	288.415	0	0
AsAt_g4992	3612	3434.78	41.6513	0.159961
AsAa_g11028	2586	2408.78	768.776	4.21005
AsAt_g11504	486	309.286	93	3.9665
AsAa_g8049	1014	836.78	80	1.26114
AsAa_g16394	1893	1715.78	1	0.00768818
AsAa_g23326	300	129.251	0	0
AsAt_g15254	942	764.78	10	0.172484
AsAa_g18351	864	686.78	5	0.0960367
AsAa_g11062	2184	2006.78	3036	19.9566
AsAa_g127	1275	1097.78	83.28	1.00071
AsAa_g6731	1275	1097.78	21.1702	0.254386
AsAt_g1069	660	482.923	1	0.0273154
AsAa_g12182	2025	1847.78	68	0.485449
AsAt_g10655	705	527.907	125.373	3.1328
AsAa_g16363	693	515.907	60	1.53414
AsAt_g20679	726	548.907	210.378	5.05576
AsAa_g10454	573	396.039	29	0.96593
AsAa_g8264	618	440.954	0	0
AsAa_g22179	3636	3458.78	27.2245	0.10383
AsAa_g16662	1950	1772.78	399.512	2.97276
AsAa_g13226	2199	2021.78	5	0.0326228
AsAa_g8806	318	145.717	0	0
AsAa_g1451	516	339.169	0	0
AsAt_g13717	882	704.78	276.893	5.18255
AsAa_g13605	1275	1097.78	27.6259	0.33196
AsAt_g12005	414	237.911	2.05948	0.11419
AsAa_g21890	879	701.78	859	16.1465
AsAt_g972	873	695.78	700.1	13.2731
AsAa_g14435	753	575.907	1	0.0229051
AsAt_g8577	675	497.907	0	0
AsAt_g20981	1284	1106.78	102.281	1.21905
AsAa_g8019	3267	3089.78	560.675	2.3937
AsAa_g3580	441	264.571	0	0
AsAt_g5553	276	108.007	29	3.54186
AsAa_g23290	1191	1013.78	1	0.0130119
AsAa_g18000	1491	1313.78	335.498	3.36862
AsAa_g19344	3567	3389.78	1169.73	4.55197
AsAa_g13255	1020	842.78	803.818	12.5814
AsAt_g3092	1755	1577.78	375.031	3.13549
AsAt_g4830	999	821.78	0	0
AsAt_g7561	1023	845.78	234	3.64959
AsAt_g8953	1839	1661.78	1	0.00793801
AsAa_g7558	2187	2009.78	17	0.11158
AsAa_g20927	843	665.825	7	0.138683
AsAa_g22678	1380	1202.78	0	0
AsAt_g12804	960	782.78	1	0.0168518
AsAt_g1780	3663	3485.78	514.836	1.94829
AsAa_g2069	3099	2921.78	22	0.0993254
AsAt_g9353	1086	908.78	307.421	4.46231
AsAt_g18258	1302	1124.78	339.918	3.9865
AsAa_g806	1611	1433.78	859.425	7.90698
AsAa_g10877	1515	1337.78	325.798	3.21255
AsAt_g7385	1125	947.78	164.358	2.28753
AsAa_g14738	1557	1379.78	26	0.24857
AsAt_g11489	1059	881.78	2	0.0299195
AsAa_g12175	1203	1025.78	9	0.115737
AsAa_g20820	1464	1286.78	183.879	1.88501
AsAa_g21003	3135	2957.78	103	0.459364
AsAt_g18806	1119	941.78	81.0848	1.13573
AsAa_g5078	789	611.868	96.5275	2.08103
AsAa_g10400	486	309.286	1079.96	46.0609
AsAa_g10831	213	58.8764	0	0
AsAa_g9043	1356	1178.78	0	0
AsAa_g14684	1554	1376.78	0	0
AsAa_g6391	660	482.923	90	2.45838
AsAa_g1711	570	393.039	548	18.3921
AsAt_g3069	1455	1277.78	551.745	5.69596
AsAt_g14398	369	194.046	330.136	22.4427
AsAt_g1277	2541	2363.78	1166.16	6.50782
AsAt_g9238	2418	2240.78	215	1.26568
AsAt_g13186	378	202.765	1	0.0650567
AsAt_g14087	1068	890.78	49.4848	0.732802
AsAt_g21406	612	434.954	4	0.121311
AsAt_g9227	252	88.2398	240	35.8783
AsAt_g8272	501	324.213	302.08	12.2907
AsAa_g13553	2571	2393.78	16	0.08817
AsAa_g1510	1917	1739.78	0	0
AsAt_g15508	867	689.78	0	0
AsAt_g15125	1821	1643.78	219.151	1.75867
AsAt_g12089	663	485.923	40	1.08587
AsAa_g10821	1386	1208.78	301.548	3.29074
AsAt_g2828	1038	860.78	47	0.720263
AsAt_g73	1899	1721.78	232.584	1.78191
AsAa_g22968	1344	1166.78	285.65	3.22946
AsAa_g6198	774	596.868	0	0
AsAa_g13139	954	776.78	0	0
AsAa_g11705	1968	1790.78	811.58	5.97825
AsAt_g10482	3258	3080.78	286.097	1.225
AsAa_g12163	501	324.213	0	0
AsAa_g5414	624	446.954	0	0
AsAt_g15171	387	211.537	9.8107	0.611786
AsAa_g330	378	202.765	1	0.0650567
AsAa_g17250	1671	1493.78	337.854	2.98351
AsAa_g13809	4614	4436.78	1259.1	3.74349
AsAa_g5795	1587	1409.78	383.687	3.59013
AsAt_g14350	822	644.868	137.929	2.82143
AsAt_g3994	765	587.868	93.7265	2.10314
AsAt_g9329	999	821.78	171	2.74489
AsAa_g6879	465	288.415	17.8129	0.814709
AsAa_g13782	630	452.939	99	2.88324
AsAa_g7077	897	719.78	0	0
AsAa_g17839	1554	1376.78	11050.9	105.881
AsAt_g11571	1572	1394.78	0	0
AsAa_g1547	231	71.7771	19.2981	3.54661
AsAa_g14747	759	581.907	317.249	7.19171
AsAa_g1586	6126	5948.78	1060.97	2.35268
AsAt_g5956	390	214.466	2	0.123015
AsAt_g3999	324	151.323	0	0
AsAt_g7148	2190	2012.78	271	1.77606
AsAa_g6156	1167	989.78	6	0.0799646
AsAt_g17097	2517	2339.78	810.193	4.56771
AsAa_g19471	1374	1196.78	197.316	2.17487
AsAt_g12514	2130	1952.78	524.642	3.54401
AsAt_g2731	978	800.78	264	4.34886
AsAa_g14820	2124	1946.78	88	0.596281
AsAt_g4071	2808	2630.78	221.798	1.11214
AsAt_g16215	387	211.537	67	4.17805
AsAt_g14860	1617	1439.78	1513.26	13.8644
AsAa_g7001	864	686.78	0	0
AsAt_g3120	339	165.461	45	3.58758
AsAa_g10828	1167	989.78	147.348	1.96376
AsAa_g7986	687	509.907	12	0.310438
AsAa_g7608	2640	2462.78	294.674	1.57835
AsAa_g12291	408	232.029	1	0.0568517
AsAt_g16502	1395	1217.78	3	0.0324966
AsAt_g18325	1368	1190.78	59.4	0.658022
AsAt_g4082	1026	848.78	0	0
AsAt_g7344	1170	992.78	14	0.18602
AsAt_g5649	423	246.741	0	0
AsAa_g4211	1158	980.78	30.3125	0.407695
AsAt_g16440	228	69.5479	2	0.379342
AsAa_g12374	582	405.025	0	0
AsAt_g20151	1524	1346.78	1	0.00979464
AsAa_g3597	1170	992.78	18	0.239169
AsAa_g5379	438	261.597	0	0
AsAa_g21858	1908	1730.78	248.949	1.89738
AsAa_g17156	513	336.18	64	2.51127
AsAa_g10	1314	1136.78	91	1.05597
AsAt_g7110	783	605.868	22	0.478994
AsAa_g23219	1299	1121.78	0	0
AsAa_g7582	411	234.959	7438	417.59
AsAa_g16673	942	764.78	92.1329	1.58914
AsAt_g15951	1569	1391.78	425	4.02813
AsAa_g4065	1110	932.78	996.149	14.0874
AsAa_g21535	396	220.247	2	0.119786
AsAa_g17603	2127	1949.78	16	0.108248
AsAa_g21346	1593	1415.78	0	0
AsAa_g20802	531	354.088	58	2.16074
AsAt_g6550	2727	2549.78	3	0.0155204
AsAt_g8112	264	97.9636	0	0
AsAa_g10374	1191	1013.78	1	0.0130119
AsAa_g22636	726	548.907	5	0.120159
AsAa_g13231	657	479.923	0	0
AsAt_g15066	273	105.444	19.2361	2.40647
AsAa_g116	717	539.907	60	1.46594
AsAa_g17248	1449	1271.78	139	1.44174
AsAt_g3551	501	324.213	45.4184	1.84793
AsAa_g4610	3654	3476.78	37.3487	0.141704
AsAa_g18429	1086	908.78	5	0.0725766
AsAa_g7836	924	746.78	0	0
AsAt_g9028	174	35.3951	15	5.59028
AsAa_g3027	1722	1544.78	120	1.02471
AsAa_g137	1482	1304.78	288.865	2.9204
AsAa_g1664	711	533.907	32.4	0.800506
AsAt_g11945	564	387.039	961.574	32.7728
AsAa_g17771	1374	1196.78	0	0
AsAa_g17932	1473	1295.78	238.525	2.42822
AsAa_g12283	207	54.6073	11.7296	2.83346
AsAt_g12088	669	491.907	14	0.375431
AsAt_g1485	891	713.78	103.497	1.91271
AsAa_g929	954	776.78	3733.86	63.4082
AsAa_g19789	801	623.868	0	0
AsAa_g16057	1491	1313.78	6	0.060244
AsAt_g19351	2169	1991.78	408.013	2.7022
AsAa_g9124	2130	1952.78	451.198	3.04789
AsAa_g9211	894	716.78	15.3006	0.281583
AsAt_g16940	1596	1418.78	116	1.07852
AsAa_g22207	402	226.143	26	1.51662
AsAa_g909	1227	1049.78	181	2.27439
AsAt_g22056	1545	1367.78	356.762	3.44071
AsAt_g16560	1515	1337.78	177.589	1.75113
AsAa_g4090	1002	824.78	340.388	5.44403
AsAt_g8388	1050	872.78	0	0
AsAt_g2387	2532	2354.78	684.974	3.83715
AsAt_g10933	966	788.78	0	0
AsAa_g17418	4506	4328.78	2017.26	6.14725
AsAt_g2901	1086	908.78	0	0
AsAt_g16717	3990	3812.78	10	0.0345974
AsAt_g2424	1137	959.78	86.3539	1.18685
AsAt_g10096	909	731.78	252.485	4.55135
AsAa_g12998	1092	914.78	290.35	4.18688
AsAt_g3190	510	333.202	0	0
AsAt_g8823	966	788.78	25.8741	0.432707
AsAt_g6432	1215	1037.78	0	0
AsAa_g10427	777	599.868	0	0
AsAa_g14516	1221	1043.78	0	0
AsAa_g3561	873	695.78	73.1959	1.38771
AsAt_g15816	1290	1112.78	195.815	2.32126
AsAa_g10684	1584	1406.78	18	0.168784
AsAt_g12875	630	452.939	35	1.01933
AsAt_g13285	2130	1952.78	578.921	3.91067
AsAt_g4028	363	188.329	0	0
AsAt_g7478	2994	2816.78	0	0
AsAt_g6588	1581	1403.78	263	2.47139
AsAa_g226	579	402.025	62.2235	2.04168
AsAa_g1059	654	476.923	32	0.885088
AsAt_g16829	465	288.415	0	0
AsAt_g11270	816	638.868	23.5211	0.48566
AsAt_g4715	1893	1715.78	308.743	2.37367
AsAa_g11490	1650	1472.78	8	0.0716535
AsAa_g18280	1254	1076.78	21	0.257263
AsAt_g14534	858	680.78	193.298	3.74547
AsAt_g222	1410	1232.78	11	0.117704
AsAa_g16426	1461	1283.78	52	0.534316
AsAa_g20094	2397	2219.78	148.689	0.883596
AsAa_g7474	1467	1289.78	427.948	4.37684
AsAt_g17829	576	399.039	0	0
AsAa_g19884	891	713.78	12	0.22177
AsAt_g11218	408	232.029	1306.81	74.2944
AsAt_g10099	2139	1961.78	135.586	0.911694
AsAt_g16052	723	545.907	154.381	3.73045
AsAt_g19052	645	467.939	20	0.563801
AsAa_g10024	393	217.372	138.092	8.38011
AsAt_g20529	2472	2294.78	390.665	2.24569
AsAt_g4938	1476	1298.78	196.818	1.99901
AsAt_g18682	747	569.907	187	4.32835
AsAa_g922	1110	932.78	0	0
AsAt_g3152	1368	1190.78	90.3882	1.0013
AsAa_g11503	2268	2090.78	70.4035	0.444192
AsAa_g15816	780	602.868	145.794	3.19009
AsAt_g18304	342	168.32	686.144	53.773
AsAa_g20985	1317	1139.78	1001.59	11.5919
AsAt_g20297	1995	1817.78	16	0.116108
AsAa_g10857	246	83.3246	0	0
AsAa_g4986	588	411.025	0	0
AsAa_g10669	918	740.78	0	0
AsAt_g5334	1626	1448.78	354.346	3.22634
AsAa_g9106	1026	848.78	46	0.714904
AsAa_g10805	1137	959.78	0	0
AsAt_g20716	1092	914.78	126.107	1.81847
AsAt_g17196	687	509.907	63.0252	1.63045
AsAt_g15234	444	267.562	110.197	5.43288
AsAa_g13240	510	333.202	177.06	7.00967
AsAa_g23352	5112	4934.78	2155	5.76056
AsAt_g7685	255	90.6472	0	0
AsAa_g6088	636	458.939	727.752	20.9177
AsAt_g15478	897	719.78	169	3.09722
AsAa_g22055	1452	1274.78	0	0
AsAa_g16555	1161	983.78	0	0
AsAt_g17673	2889	2711.78	22.2643	0.108303
AsAa_g9134	903	725.78	140.38	2.55145
AsAa_g14791	1134	956.78	0	0
AsAa_g2738	750	572.907	0	0
AsAt_g12947	1164	986.78	117	1.56405
AsAt_g9642	798	620.868	390	8.28611
AsAt_g11042	1158	980.78	0	0
AsAt_g4389	849	671.78	0	0
AsAt_g13385	609	431.969	0	0
AsAa_g7906	2148	1970.78	0	0
AsAa_g4108	879	701.78	0	0
AsAa_g17264	681	503.907	0	0
AsAt_g2644	423	246.741	100.455	5.37049
AsAt_g11333	2745	2567.78	574.375	2.95069
AsAa_g16	711	533.907	0	0
AsAt_g10514	1317	1139.78	69	0.79857
AsAa_g21199	1608	1430.78	21	0.193612
AsAt_g6546	1722	1544.78	3	0.0256177
AsAt_g16615	621	443.954	0	0
AsAa_g8014	429	252.691	60.4214	3.15418
AsAt_g20288	927	749.78	2420.67	42.588
AsAt_g18197	948	770.78	598.58	10.2442
AsAt_g16642	1929	1751.78	0	0
AsAt_g14689	771	593.868	0	0
AsAa_g19458	1755	1577.78	0	0
AsAa_g3146	2307	2129.78	1211.49	7.50361
AsAt_g22076	852	674.78	20	0.390978
AsAt_g12594	1704	1526.78	301.186	2.60222
