target_id	length	eff_length	Aare_7	Aare_7_tpm
AsAa_g4533	951	767.533	56	0.759286
AsAa_g14924	1365	1181.53	43	0.378736
AsAa_g1957	336	159.251	1293	84.4948
AsAt_g4674	483	300.149	0	0
AsAt_g3881	1191	1007.53	8.00141	0.0826459
AsAt_g9241	1512	1328.53	1.0106	0.00791629
AsAa_g6256	615	431.608	0	0
AsAa_g8827	810	626.533	188	3.12269
AsAa_g19432	1608	1424.53	142	1.03736
AsAt_g2836	954	770.533	1489.19	20.1128
AsAa_g15154	3399	3215.53	960.994	3.11016
AsAa_g21159	6696	6512.53	1198	1.91435
AsAt_g3991	1023	839.533	31.5973	0.391675
AsAt_g18765	2532	2348.53	1	0.00443116
AsAa_g3609	3063	2879.53	386.929	1.39838
AsAt_g6980	912	728.533	0	0
AsAt_g6975	528	344.748	35.2446	1.06391
AsAt_g19236	1476	1292.53	0	0
AsAa_g17505	561	377.677	954.152	26.2913
AsAa_g19950	1110	926.533	0	0
AsAa_g8775	1719	1535.53	49	0.332087
AsAa_g11249	3069	2885.53	91.4807	0.329927
AsAa_g12630	357	178.455	12	0.699788
AsAt_g21169	1260	1076.53	12.1045	0.117013
AsAa_g11675	627	443.586	0	0
AsAt_g16594	681	497.574	0	0
AsAa_g18410	1011	827.533	8	0.100605
AsAa_g1716	252	89.569	24	2.78848
AsAa_g22302	705	521.562	25	0.498826
AsAt_g6206	1359	1175.53	0	0
AsAt_g7191	1179	995.533	0	0
AsAa_g7521	4428	4244.53	409.423	1.00382
AsAa_g15170	1116	932.533	214.857	2.39773
AsAa_g19143	429	247.161	41	1.72631
AsAa_g4195	1818	1634.53	739.401	4.70761
AsAa_g20036	846	662.533	15	0.235612
AsAa_g10983_AsAa_g15737	519	335.808	0	0
AsAt_g5510	3522	3338.53	33.8934	0.105651
AsAa_g14895	216	65.0178	38	6.08227
AsAt_g21848	720	536.562	0	0
AsAt_g18677	1701	1517.53	28	0.192015
AsAt_g19953	1332	1148.53	5.10024	0.0462127
AsAa_g17490	3687	3503.53	2	0.00594071
AsAa_g84	5475	5291.53	526.97	1.03638
AsAt_g11411	366	186.829	0	0
AsAt_g6292	354	175.717	0	0
AsAa_g6789	252	89.569	0	0
AsAt_g2363	405	223.864	9.22106	0.428658
AsAa_g17880	984	800.533	202	2.62595
AsAa_g17894	1323	1139.53	299	2.7306
AsAa_g900	495	312.012	16	0.533659
AsAa_g3495	660	476.574	1653	36.0958
AsAt_g9233	1317	1133.53	6	0.0550848
AsAa_g6223	1698	1514.53	3088.01	21.2185
AsAt_g16355	1977	1793.53	0	0
AsAa_g10872	1359	1175.53	0	0
AsAt_g9569	819	635.533	2.03157	0.0332666
AsAa_g1318	2523	2339.53	240.456	1.0696
AsAa_g12803	3264	3080.53	4.41131	0.0149024
AsAt_g20899	702	518.562	0	0
AsAt_g20312	1725	1541.53	47.7283	0.322209
AsAt_g14467	1035	851.533	0	0
AsAt_g11911	1152	968.533	0	0
AsAa_g7152	573	389.648	0	0
AsAt_g2215	1269	1085.53	0	0
AsAa_g800	786	602.533	12331.5	212.986
AsAt_g2808	456	273.597	0	0
AsAa_g18075	2220	2036.53	894.904	4.57298
AsAa_g6253	1254	1070.53	1432.86	13.9289
AsAa_g15427	306	132.53	3055	239.89
AsAa_g20216	1104	920.533	128.985	1.45819
AsAa_g20974	402	220.982	5	0.235466
AsAt_g14278	501	317.98	0	0
AsAa_g14203	1326	1142.53	493	4.49048
AsAa_g20322	1341	1157.53	1118.19	10.053
AsAt_g14938	1368	1184.53	10.1538	0.089206
AsAa_g10734	1878	1694.53	53.9516	0.331336
AsAa_g10003	777	593.533	2	0.0350671
AsAt_g8581	888	704.533	0	0
AsAt_g6183	891	707.533	2.00261	0.0294553
AsAa_g14859	2433	2249.53	211.986	0.980684
AsAt_g9736	672	488.574	0	0
AsAt_g21764	489	306.081	0	0
AsAa_g8375	1140	956.533	32	0.348148
AsAa_g1855	1068	884.533	20	0.235305
AsAa_g10891	1887	1703.53	438.775	2.68044
AsAa_g10276	975	791.533	853.964	11.2275
AsAt_g18062	651	467.574	0	0
AsAa_g988	1521	1337.53	0	0
AsAa_g1637	1530	1346.53	23	0.177756
AsAt_g20729	1044	860.533	0	0
AsAt_g16311	903	719.533	34	0.491748
AsAt_g4399	789	605.533	0	0
AsAt_g91	1626	1442.53	1	0.00721421
AsAa_g7509	855	671.533	15	0.232455
AsAa_g7623	690	506.562	676.984	13.9079
AsAt_g22101	327	151.152	113.598	7.82116
AsAt_g11858	1938	1754.53	1.00929	0.00598644
AsAt_g18390	879	695.533	0	0
AsAa_g20616	1728	1544.53	0	0
AsAt_g21009	1146	962.533	1	0.0108118
AsAt_g11880	312	137.73	91.1207	6.88498
AsAa_g3195	435	252.985	8	0.329086
AsAt_g10906	480	297.157	0	0
AsAt_g18345	798	614.533	26.2132	0.443904
AsAt_g6609	2364	2180.53	1004.49	4.79399
AsAt_g14039	1572	1388.53	0	0
AsAa_g23141	1077	893.533	0	0
AsAa_g5126	1350	1166.53	4.95452	0.0441997
AsAt_g3187	660	476.574	34	0.742442
AsAa_g20743	915	731.533	1	0.0142259
AsAt_g11001	465	282.409	0	0
AsAt_g4992	3612	3428.53	0	0
AsAa_g11028	2586	2402.53	815.827	3.53381
AsAt_g11504	486	303.104	2	0.0686678
AsAa_g8049	1014	830.533	145	1.81688
AsAa_g16394	1893	1709.53	0	0
AsAa_g23326	300	127.391	4	0.326764
AsAt_g15254	942	758.533	0	0
AsAa_g18351	864	680.533	18	0.275257
AsAa_g11062	2184	2000.53	3279	17.0573
AsAa_g127	1275	1091.53	199.269	1.89984
AsAa_g6731	1275	1091.53	60.52	0.577
AsAt_g1069	660	476.574	0	0
AsAa_g12182	2025	1841.53	143.938	0.813411
AsAt_g10655	705	521.562	2	0.0399061
AsAa_g16363	693	509.562	181	3.69655
AsAt_g20679	726	542.562	1.2614	0.0241946
AsAa_g10454	573	389.648	59	1.57577
AsAa_g8264	618	434.608	5	0.119726
AsAa_g22179	3636	3452.53	18	0.0542562
AsAa_g16662	1950	1766.53	841.987	4.96019
AsAa_g13226	2199	2015.53	12.1207	0.0625822
AsAa_g8806	318	143.042	0	0
AsAa_g1451	516	332.875	0	0
AsAt_g13717	882	698.533	10.0729	0.150066
AsAa_g13605	1275	1091.53	34.9446	0.333164
AsAt_g12005	414	232.601	0	0
AsAa_g21890	879	695.533	1517	22.6977
AsAt_g972	873	689.533	198.378	2.99401
AsAa_g14435	753	569.548	368	6.72407
