Estimate	Std. Error	t value
(Intercept)	4.49639613892425	0.0807155237289672	55.7067083405492
Subgenomemom	0.18907284145764	0.00935482119870602	20.2112726092288
TargetingDual-targeted_Interacting	0.793676628856991	0.374732231508301	2.11798335484096
TargetingDual-targeted_Non-interacting	1.62371869723395	0.102332272285956	15.8671224723385
TargetingMitochondria-targeted_Interacting	-0.151125919642294	0.220658905385412	-0.684884751777098
TargetingMitochondria-targeted_Non-interacting	0.908279805121966	0.279667523888358	3.24771282876788
TargetingPlastid-targeted_Interacting	2.47762669543892	0.234614531575466	10.5604144756139
TargetingPlastid-targeted_Non-interacting	1.79838088489921	0.143506438884565	12.5317086736841
Subgenomemom:TargetingDual-targeted_Interacting	-0.249066448475091	0.121142030435202	-2.05598707220213
Subgenomemom:TargetingDual-targeted_Non-interacting	-0.00955306919600133	0.0330715189225231	-0.2888609143832
Subgenomemom:TargetingMitochondria-targeted_Interacting	0.0554834064740974	0.0724961772104639	0.765328719513353
Subgenomemom:TargetingMitochondria-targeted_Non-interacting	-0.30169219638445	0.0905066086067292	-3.33337201590845
Subgenomemom:TargetingPlastid-targeted_Interacting	0.147204017112036	0.0752210697447052	1.95695192333259
Subgenomemom:TargetingPlastid-targeted_Non-interacting	-0.0320372455846664	0.0461667406437412	-0.693946445816717
