	Estimate	Std. Error	t value	Pr(>|t|)
(Intercept)	0.868453902818692	0.662146275806342	1.31157409555935	0.189671550639779
TargetingDual-targeted_Interacting	-5.2493993832317	19.2325636469912	-0.272943299686047	0.784898237482236
TargetingDual-targeted_Non-interacting	0.0222018650281368	2.50957796627126	0.00884685207095772	0.992941370364128
TargetingMitochondria-targeted_Interacting	-0.281863287397855	6.31750308677542	-0.0446162484649807	0.964413418144922
TargetingMitochondria-targeted_Non-interacting	0.957057718835044	9.07581866130433	0.105451392822066	0.916018176692705
TargetingPlastid-targeted_Interacting	-0.0564120885709288	14.6301512577422	-0.00385587869715809	0.996923481140686
TargetingPlastid-targeted_Non-interacting	0.249154606584879	3.97307734326173	0.0627107365547366	0.949997167045663
dipRatio	0.0129463878839552	0.0486206277898025	0.266273564790756	0.790029929464747
TargetingDual-targeted_Interacting:dipRatio	4.37233937194625	15.3228850408287	0.285347006147727	0.775379809187316
TargetingDual-targeted_Non-interacting:dipRatio	-0.00355098419028101	0.902934086008369	-0.00393271695609473	0.996862173935645
TargetingMitochondria-targeted_Interacting:dipRatio	0.429579787746391	3.32460458641252	0.129212294749896	0.897190330106457
TargetingMitochondria-targeted_Non-interacting:dipRatio	-0.873641117864723	6.30872629800468	-0.138481379060784	0.88986069567087
TargetingPlastid-targeted_Interacting:dipRatio	0.0620258152003114	12.5884520995412	0.00492719952460018	0.99606870452144
TargetingPlastid-targeted_Non-interacting:dipRatio	-0.164237608854433	2.15956041468746	-0.0760514073778304	0.939378587062479
