Category1	Category2	estimate	SE	df	t.ratio	p.value	model
AreNot-organelle-targeted	Dual-targeted_Interacting	-0.759263209093584	0.184049881514111	39246	-4.12531213194708	0.000259696211927961	Ahm5full
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-1.61188451142543	0.0484010868125833	39246	-33.3026511918401	1.64691890118755e-238	Ahm5full
AreNot-organelle-targeted	Mitochondria-targeted_Non-interacting	-0.523543043087975	0.133096799653687	39246	-3.93355095276682	0.000503063832048086	Ahm5full
AreNot-organelle-targeted	Plastid-targeted_Interacting	-2.68500197539449	0.112780114814965	39246	-23.8074059403086	4.06597831395412e-123	Ahm5full
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	-1.67108849684668	0.0673112035972364	39246	-24.8263053925734	1.0305970491813e-133	Ahm5full
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.852621302331847	0.189326568759795	39246	-4.50344242710909	5.36430855059128e-05	Ahm5full
Dual-targeted_Interacting	Mitochondria-targeted_Interacting	0.787325554655431	0.212973946754535	39246	3.6968162850589	0.00109308623056295	Ahm5full
Dual-targeted_Interacting	Plastid-targeted_Interacting	-1.92573876630091	0.214991252685767	39246	-8.95728892335719	4.85828838868928e-18	Ahm5full
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	-0.911825287753096	0.195019697885693	39246	-4.67555481645524	2.64720553845295e-05	Ahm5full
Dual-targeted_Non-interacting	Mitochondria-targeted_Interacting	1.63994685698728	0.117584898330887	39246	13.9469173360377	7.11844532588864e-43	Ahm5full
Dual-targeted_Non-interacting	Mitochondria-targeted_Non-interacting	1.08834146833746	0.140303060661746	39246	7.75707574164269	9.63079761103116e-14	Ahm5full
Dual-targeted_Non-interacting	Plastid-targeted_Interacting	-1.07311746396906	0.121200433376603	39246	-8.8540728285566	1.14183897366692e-17	Ahm5full
Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	-0.551605388649822	0.17087510406405	39246	-3.22812027926	0.0049883558674554	Ahm5full
Mitochondria-targeted_Interacting	Plastid-targeted_Interacting	-2.71306432095634	0.155572804206014	39246	-17.4391940468182	1.35050773358956e-66	Ahm5full
Mitochondria-targeted_Interacting	Plastid-targeted_Non-interacting	-1.69915084240853	0.126547782440288	39246	-13.4269507504826	8.28673094152021e-40	Ahm5full
Mitochondria-targeted_Non-interacting	Plastid-targeted_Interacting	-2.16145893230652	0.173382922815633	39246	-12.4663888300286	1.99526116704301e-34	Ahm5full
Mitochondria-targeted_Non-interacting	Plastid-targeted_Non-interacting	-1.1475454537587	0.147895509587422	39246	-7.75916359435095	9.63079761103116e-14	Ahm5full
Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	1.01391347854781	0.129914117692211	39246	7.80449035531262	7.34601703177335e-14	Ahm5full
AreNot-organelle-targeted	Dual-targeted_Interacting	-0.879485116326332	0.186428937333462	39246	-4.71753542612975	2.15585718483687e-05	Ahm5Mom
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-1.62326648831567	0.0490267263745169	39246	-33.1098282172763	8.392328902314e-236	Ahm5Mom
AreNot-organelle-targeted	Mitochondria-targeted_Non-interacting	-0.526275757921758	0.134817228448035	39246	-3.90362392091905	0.000664448844170611	Ahm5Mom
AreNot-organelle-targeted	Plastid-targeted_Interacting	-2.69928038069887	0.114237927155024	39246	-23.6285833253597	2.68121141558617e-121	Ahm5Mom
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	-1.66776555354945	0.0681812781080603	39246	-24.4607552077011	7.44920324356381e-130	Ahm5Mom
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.743781371989334	0.19177383181403	39246	-3.87842994507512	0.000664448844170611	Ahm5Mom
Dual-targeted_Interacting	Mitochondria-targeted_Interacting	0.813579787045334	0.215726879292326	39246	3.77134175265602	0.000813051211290565	Ahm5Mom
Dual-targeted_Interacting	Plastid-targeted_Interacting	-1.81979526437254	0.21777026121652	39246	-8.35649116737381	8.67180661805493e-16	Ahm5Mom
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	-0.788280437223122	0.197540551163762	39246	-3.99047401953249	0.000528488507295307	Ahm5Mom
Dual-targeted_Non-interacting	Mitochondria-targeted_Interacting	1.55736115903467	0.11910481800886	39246	13.0755513090899	9.31806504771959e-38	Ahm5Mom
Dual-targeted_Non-interacting	Mitochondria-targeted_Non-interacting	1.09699073039391	0.142116638645031	39246	7.71894649952912	1.32072013919943e-13	Ahm5Mom
Dual-targeted_Non-interacting	Plastid-targeted_Interacting	-1.0760138923832	0.122767087991974	39246	-8.7646771621198	2.7253464230722e-17	Ahm5Mom
