target_id	length	eff_length	AD2_5	AD2_5_tpm
Gohir.D08G013000	1846	1652.34	417.554	2.58288
Gohir.A02G177000	2260	2066.34	165.431	0.818286
Gohir.A04G123700	1724	1530.34	369.846	2.47015
Gohir.A08G078800	1460	1266.34	0	0
Gohir.D11G072700	1486	1292.34	68.4402	0.541283
Gohir.A07G011700	1009	815.344	212.947	2.66945
Gohir.D10G087901	1705	1511.34	0	0
Gohir.A02G020600	2886	2692.34	272.522	1.03457
Gohir.A12G259001	1815	1621.34	1.69492	0.0106848
Gohir.A13G108900	818	624.457	238	3.89552
Gohir.D13G222400	3480	3286.34	455.339	1.41616
Gohir.D05G182700	2023	1829.34	0	0
Gohir.A02G036800	2534	2340.34	104.412	0.455998
Gohir.D02G178800	868	674.419	0	0
Gohir.A13G197800	2698	2504.34	0	0
Gohir.D10G060800	2725	2531.34	54.329	0.219368
Gohir.A05G314900	1915	1721.34	93.6231	0.555913
Gohir.D11G312636	3883	3689.34	2.20412	0.00610629
Gohir.D04G065100	1199	1005.34	0	0
Gohir.A06G132400	985	791.344	50.471	0.651881
Gohir.A06G182800	2308	2114.34	102.428	0.495145
Gohir.A04G111300	915	721.405	7.68107	0.108826
Gohir.A02G060600	1709	1515.34	36.868	0.248674
Gohir.D02G217101	957	763.39	24	0.321333
Gohir.A04G028900	1661	1467.34	70.5604	0.491497
Gohir.D06G213100	914	720.405	203.876	2.89255
Gohir.D07G187300	2176	1982.34	160.516	0.827618
Gohir.D11G200400	2462	2268.34	473.131	2.13189
Gohir.A10G041100	2754	2560.34	50.8284	0.202908
Gohir.D06G061000	1965	1771.34	3.38169	0.0195129
Gohir.A04G046800	1823	1629.34	29.9371	0.187797
Gohir.D12G199300	1212	1018.34	14	0.140516
Gohir.D06G116500	1998	1804.34	134.618	0.762564
Gohir.A09G249400	719	525.492	0	0
Gohir.A05G090300	1984	1790.34	91.948	0.524925
Gohir.D02G123700	2700	2506.34	114.625	0.467444
Gohir.A05G036500	2174	1980.34	50.0497	0.258317
Gohir.D11G062000	2003	1809.34	130.523	0.737323
Gohir.D05G166000	894	700.419	1	0.0145926
Gohir.A08G208900	2015	1821.34	15.2421	0.0855348
Gohir.A02G017701	426	234.934	0	0
Gohir.A12G110300	2229	2035.34	402.211	2.0198
Gohir.D10G139300	1711	1517.34	510.588	3.43936
Gohir.D06G081600	1839	1645.34	49.735	0.308956
Gohir.D10G100450	505	312.167	8	0.261936
Gohir.A05G232300	2912	2718.34	166.248	0.625092
Gohir.D13G140200	1483	1289.34	246.119	1.95105
Gohir.D11G084200	1653	1459.34	38.4036	0.268971
Gohir.A06G104500	1953	1759.34	27.0331	0.157049
Gohir.A02G048901	695	501.513	0	0
Gohir.D07G067300	637	443.549	141.808	3.26775
Gohir.D05G179200	637	443.549	2	0.0460871
Gohir.A05G334375	1248	1054.34	0	0
Gohir.A05G042800	1498	1304.34	100.837	0.790168
Gohir.A04G028404	1585	1391.34	67.4436	0.495447
Gohir.D09G238800	898	704.405	9	0.13059
Gohir.A11G030881	2053	1859.34	699.219	3.84366
Gohir.D09G164440	504	311.179	0	0
Gohir.A12G128850	1905	1711.34	0	0
Gohir.D09G058025	303	122.264	8	0.668782
Gohir.A12G161300	1882	1688.34	140.422	0.850091
Gohir.D01G194350	2745	2551.34	0	0
Gohir.D05G017800	712	518.492	116.614	2.29879
Gohir.D06G167100	1645	1451.34	57	0.401417
Gohir.A08G219555	1498	1304.34	161.508	1.26559
Gohir.A05G006100	1128	934.344	169.56	1.85485
Gohir.D04G010300	2689	2495.34	217.665	0.891558
Gohir.D01G057100	1269	1075.34	0	0
Gohir.D04G170800	1594	1400.34	144.306	1.05327
Gohir.A01G153800	1751	1557.34	4.3596	0.0286124
Gohir.D08G228400	1119	925.344	0	0
Gohir.A04G048165	1065	871.344	10.7872	0.126535
Gohir.A10G237000	918	724.405	5	0.0705472
Gohir.A13G016300	1270	1076.34	8.99944	0.0854587
Gohir.D08G191800	1624	1430.34	380.938	2.7221
Gohir.A09G110880	1269	1075.34	0	0
Gohir.A05G236950	636	442.549	0	0
Gohir.D09G120400	2577	2383.34	27.566	0.118217
Gohir.D03G135900	1752	1558.34	2.1456	0.0140727
Gohir.A08G101400	804	610.457	392.793	6.57657
Gohir.D07G105100	1173	979.344	54.4055	0.567805
Gohir.D05G279500	1041	847.344	68.2198	0.822891
Gohir.A11G029900	871	677.419	1609.79	24.2886
Gohir.D05G344800	1847	1653.34	0	0
Gohir.A11G286841	945	751.39	0	0
Gohir.D03G031800	1092	898.344	82.7697	0.941717
Gohir.A11G096800	2714	2520.34	148.844	0.60362
Gohir.A03G186400	1186	992.344	3	0.0308994
Gohir.D04G161600	1440	1246.34	67	0.54945
Gohir.D10G096000	1922	1728.34	35.3398	0.20899
Gohir.D11G217600	2203	2009.34	5.72264	0.0291094
Gohir.A06G061900	913	719.405	5	0.0710375
Gohir.A06G078300	2296	2102.34	18	0.0875105
Gohir.D05G234600	3130	2936.34	33.2066	0.115587
Gohir.A13G194500	999	805.344	29	0.368051
Gohir.A06G043800	4312	4118.34	151.602	0.376247
Gohir.A09G087600	1070	876.344	3	0.0349895
Gohir.D13G042300	1337	1143.34	221.23	1.97769
Gohir.D03G095800	2782	2588.34	113.902	0.449782
Gohir.D08G069200	3165	2971.34	349.131	1.20096
Gohir.D11G105400	1852	1658.34	5	0.0308167
Gohir.D11G065833	922	728.405	8.50195	0.119299
Gohir.D02G136400	4076	3882.34	488.055	1.28489
Gohir.D02G043200	2366	2172.34	12.9124	0.0607532
Gohir.A02G162900	952	758.39	49.3468	0.665055
Gohir.D03G166101	1665	1471.34	172.14	1.1958
Gohir.A05G044600	1089	895.344	347.514	3.96711
Gohir.D13G072400	2007	1813.34	228.355	1.28713
Gohir.D02G104300	1911	1717.34	101.6	0.60468
Gohir.A09G026000	7171	6977.34	480.202	0.703437
Gohir.A05G057500	1461	1267.34	43.6849	0.352313
Gohir.A08G114700	1067	873.344	3	0.0351097
Gohir.D10G152000	1549	1355.34	228.9	1.72618
Gohir.D05G287000	1718	1524.34	888.82	5.95967
Gohir.A02G144200	969	775.375	144.216	1.90104
Gohir.A12G030701	522	329.025	0	0
Gohir.D02G014900	3427	3233.34	3.05133	0.00964559
Gohir.A10G169466	748	554.492	0	0
Gohir.A07G112100	1898	1704.34	95.4363	0.572332
Gohir.D06G172800	619	425.584	0	0
Gohir.D08G092550	231	68.3027	0	0
Gohir.A04G018100	2811	2617.34	16	0.0624814
