target_id	length	eff_length	D5_5	D5_5_tpm
Gohir.D08G013000	1846	1658.33	1226.25	6.81975
Gohir.A02G177000	2260	2072.33	169.879	0.756031
Gohir.A04G123700	1724	1536.33	19.0402	0.1143
Gohir.A08G078800	1460	1272.33	0	0
Gohir.D11G072700	1486	1298.33	347.831	2.47083
Gohir.A07G011700	1009	821.333	35.2889	0.396259
Gohir.D10G087901	1705	1517.33	0	0
Gohir.A02G020600	2886	2698.33	15.0421	0.0514132
Gohir.A12G259001	1815	1627.33	0	0
Gohir.A13G108900	818	630.333	58.4013	0.854502
Gohir.D13G222400	3480	3292.33	1070.65	2.99918
Gohir.D05G182700	2023	1835.33	184.96	0.929445
Gohir.A02G036800	2534	2346.33	2	0.00786141
Gohir.D02G178800	868	680.333	0	0
Gohir.A13G197800	2698	2510.33	50.0713	0.183958
Gohir.D10G060800	2725	2537.33	161.046	0.585371
Gohir.A05G314900	1915	1727.33	6	0.0320358
Gohir.D11G312636	3883	3695.33	1.70856	0.00426419
Gohir.D04G065100	1199	1011.33	1	0.0091194
Gohir.A06G132400	985	797.333	16.2089	0.187488
Gohir.A06G182800	2308	2120.33	9.00301	0.0391601
Gohir.A04G111300	915	727.333	1.61324	0.0204562
Gohir.A02G060600	1709	1521.33	13.1864	0.0799394
Gohir.D02G217101	957	769.333	73.6417	0.882815
Gohir.A04G028900	1661	1473.33	9.36393	0.0586162
Gohir.D06G213100	914	726.333	1171	14.869
Gohir.D07G187300	2176	1988.33	309.639	1.43624
Gohir.D11G200400	2462	2274.33	952.038	3.86065
Gohir.A10G041100	2754	2566.33	38.4482	0.138173
Gohir.D06G061000	1965	1777.33	3	0.0155673
Gohir.A04G046800	1823	1635.33	20.5024	0.115627
Gohir.D12G199300	1212	1024.33	173	1.55763
Gohir.D06G116500	1998	1810.33	756	3.85144
Gohir.A09G249400	719	531.349	27.5919	0.478919
Gohir.A05G090300	1984	1796.33	14.3739	0.0737987
Gohir.D02G123700	2700	2512.33	281.766	1.03436
Gohir.A05G036500	2174	1986.33	1	0.0046431
Gohir.D11G062000	2003	1815.33	254.474	1.29285
Gohir.D05G166000	894	706.333	2	0.0261145
Gohir.A08G208900	2015	1827.33	0	0
Gohir.A02G017701	426	240.395	0	0
Gohir.A12G110300	2229	2041.33	11.976	0.0541076
Gohir.D10G139300	1711	1523.33	1168.62	7.07517
Gohir.D06G081600	1839	1651.33	20	0.111701
Gohir.D10G100450	505	318.04	41.6128	1.20672
Gohir.A05G232300	2912	2724.33	139.979	0.473874
Gohir.D13G140200	1483	1295.33	775.021	5.51813
Gohir.D11G084200	1653	1465.33	83	0.522399
Gohir.A06G104500	1953	1765.33	2.13968	0.0111785
Gohir.A02G048901	695	507.395	0	0
Gohir.D07G067300	637	449.409	123.066	2.52555
Gohir.D05G179200	637	449.409	0	0
Gohir.A05G334375	1248	1060.33	2	0.0173959
Gohir.A05G042800	1498	1310.33	38.9219	0.273951
