target_id	length	eff_length	AD1_2	AD1_2_tpm
Gohir.D08G013000	1846	1655.5	23.3239	0.140883
Gohir.A02G177000	2260	2069.5	417.947	2.01949
Gohir.A04G123700	1724	1533.5	754.868	4.92236
Gohir.A08G078800	1460	1269.5	0	0
Gohir.D11G072700	1486	1295.5	53.3854	0.41207
Gohir.A07G011700	1009	818.501	159.612	1.95
Gohir.D10G087901	1705	1514.5	0	0
Gohir.A02G020600	2886	2695.5	152.886	0.567173
Gohir.A12G259001	1815	1624.5	0	0
Gohir.A13G108900	818	627.549	97.5909	1.55507
Gohir.D13G222400	3480	3289.5	105.6	0.321011
Gohir.D05G182700	2023	1832.5	251.662	1.37328
Gohir.A02G036800	2534	2343.5	0	0
Gohir.D02G178800	868	677.527	0	0
Gohir.A13G197800	2698	2507.5	34	0.135589
Gohir.D10G060800	2725	2534.5	33.2667	0.131251
Gohir.A05G314900	1915	1724.5	257.101	1.49082
Gohir.D11G312636	3883	3692.5	4.02411	0.0108977
Gohir.D04G065100	1199	1008.5	0	0
Gohir.A06G132400	985	794.501	158.85	1.99931
Gohir.A06G182800	2308	2117.5	38.5448	0.182024
Gohir.A04G111300	915	724.527	0	0
Gohir.A02G060600	1709	1518.5	32.1775	0.211897
Gohir.D02G217101	957	766.527	239.842	3.12884
Gohir.A04G028900	1661	1470.5	128.978	0.877073
Gohir.D06G213100	914	723.527	357.577	4.94199
Gohir.D07G187300	2176	1985.5	10.2045	0.0513936
Gohir.D11G200400	2462	2271.5	910.003	4.00605
Gohir.A10G041100	2754	2563.5	10.2153	0.0398478
Gohir.D06G061000	1965	1774.5	5	0.0281761
Gohir.A04G046800	1823	1632.5	30.0756	0.184225
Gohir.D12G199300	1212	1021.5	62	0.606931
Gohir.D06G116500	1998	1807.5	163.12	0.902433
Gohir.A09G249400	719	528.549	0	0
Gohir.A05G090300	1984	1793.5	0	0
Gohir.D02G123700	2700	2509.5	52.9839	0.211127
Gohir.A05G036500	2174	1983.5	68.5914	0.345799
Gohir.D11G062000	2003	1812.5	46.6206	0.257209
Gohir.D05G166000	894	703.527	0	0
Gohir.A08G208900	2015	1824.5	48.9721	0.268405
Gohir.A02G017701	426	237.239	0	0
Gohir.A12G110300	2229	2038.5	413.753	2.02963
Gohir.D10G139300	1711	1520.5	366.941	2.41321
Gohir.D06G081600	1839	1648.5	2	0.0121319
Gohir.D10G100450	505	314.994	11.0801	0.351745
Gohir.A05G232300	2912	2721.5	348.116	1.27909
Gohir.D13G140200	1483	1292.5	406.722	3.14668
Gohir.D11G084200	1653	1462.5	13.0595	0.0892932
Gohir.A06G104500	1953	1762.5	2	0.0113472
Gohir.A02G048901	695	504.566	0	0
Gohir.D07G067300	637	446.598	266.321	5.96314
Gohir.D05G179200	637	446.598	0	0
Gohir.A05G334375	1248	1057.5	4	0.0378238
