target_id	length	eff_length	AD2_4	AD2_4_tpm
Gohir.D08G013000	1846	1656.96	1127.34	6.87695
Gohir.A02G177000	2260	2070.96	285.715	1.39449
Gohir.A04G123700	1724	1534.96	445.359	2.9327
Gohir.A08G078800	1460	1270.96	0	0
Gohir.D11G072700	1486	1296.96	125.739	0.979938
Gohir.A07G011700	1009	819.957	256.035	3.15618
Gohir.D10G087901	1705	1515.96	0	0
Gohir.A02G020600	2886	2696.96	468.734	1.75674
Gohir.A12G259001	1815	1625.96	0	0
Gohir.A13G108900	818	629.011	310.909	4.99609
Gohir.D13G222400	3480	3290.96	793.406	2.43684
Gohir.D05G182700	2023	1833.96	0	0
Gohir.A02G036800	2534	2344.96	93.1235	0.401401
Gohir.D02G178800	868	678.994	1	0.0148863
Gohir.A13G197800	2698	2508.96	7.0866	0.0285495
Gohir.D10G060800	2725	2535.96	109.462	0.436291
Gohir.A05G314900	1915	1725.96	89.9849	0.526979
Gohir.D11G312636	3883	3693.96	3.3954	0.0092908
Gohir.D04G065100	1199	1009.96	0	0
Gohir.A06G132400	985	795.957	107.277	1.36229
Gohir.A06G182800	2308	2118.96	104.886	0.500321
Gohir.A04G111300	915	725.957	4	0.0556933
Gohir.A02G060600	1709	1519.96	35.5043	0.236104
Gohir.D02G217101	957	767.957	29.457	0.387709
Gohir.A04G028900	1661	1471.96	110.962	0.761961
Gohir.D06G213100	914	724.957	161.243	2.24814
Gohir.D07G187300	2176	1986.96	580.691	2.954
Gohir.D11G200400	2462	2272.96	418.516	1.86112
Gohir.A10G041100	2754	2564.96	68.2677	0.269023
Gohir.D06G061000	1965	1775.96	10	0.0569143
Gohir.A04G046800	1823	1633.96	127.515	0.788815
Gohir.D12G199300	1212	1022.96	18	0.177856
Gohir.D06G116500	1998	1808.96	151.842	0.848432
Gohir.A09G249400	719	530.026	6.59424	0.125754
Gohir.A05G090300	1984	1794.96	323.31	1.82062
Gohir.D02G123700	2700	2510.96	162.105	0.652547
Gohir.A05G036500	2174	1984.96	101.684	0.517795
Gohir.D11G062000	2003	1813.96	261.31	1.45607
Gohir.D05G166000	894	704.976	7	0.100364
Gohir.A08G208900	2015	1825.96	24.8749	0.137697
Gohir.A02G017701	426	239.304	0	0
Gohir.A12G110300	2229	2039.96	532.989	2.6409
Gohir.D10G139300	1711	1521.96	556.488	3.69579
Gohir.D06G081600	1839	1649.96	65.4081	0.400694
Gohir.D10G100450	505	316.572	8.70271	0.277866
Gohir.A05G232300	2912	2722.96	223.134	0.828283
Gohir.D13G140200	1483	1293.96	338.37	2.64318
Gohir.D11G084200	1653	1463.96	92.335	0.637518
Gohir.A06G104500	1953	1763.96	58.856	0.337253
Gohir.A02G048901	695	506.039	0	0
Gohir.D07G067300	637	448.077	114.456	2.5819
Gohir.D05G179200	637	448.077	0	0
Gohir.A05G334375	1248	1058.96	0	0
Gohir.A05G042800	1498	1308.96	138.639	1.07056
Gohir.A04G028404	1585	1395.96	111.386	0.806519
Gohir.D09G238800	898	708.976	19	0.27088
Gohir.A11G030881	2053	1863.96	810.78	4.39664
Gohir.D09G164440	504	315.581	2	0.064058
Gohir.A12G128850	1905	1715.96	0	0
Gohir.D09G058025	303	126.887	7	0.557615
Gohir.A12G161300	1882	1692.96	180.756	1.0792
Gohir.D01G194350	2745	2555.96	0	0
Gohir.D05G017800	712	523.026	234.689	4.53548
Gohir.D06G167100	1645	1455.96	101.715	0.706142
Gohir.A08G219555	1498	1308.96	146.831	1.13382
Gohir.A05G006100	1128	938.957	247.38	2.66301
Gohir.D04G010300	2689	2499.96	252.527	1.02101
Gohir.D01G057100	1269	1079.96	0	0
Gohir.D04G170800	1594	1404.96	162.876	1.17178
Gohir.A01G153800	1751	1561.96	22.3684	0.14475
Gohir.D08G228400	1119	929.957	0	0
Gohir.A04G048165	1065	875.957	19.7482	0.227876
Gohir.A10G237000	918	728.957	1	0.013866
Gohir.A13G016300	1270	1080.96	74.5177	0.696795
Gohir.D08G191800	1624	1434.96	435.771	3.06954
Gohir.A09G110880	1269	1079.96	0	0
Gohir.A05G236950	636	447.077	0	0
Gohir.D09G120400	2577	2387.96	32.7321	0.138548
Gohir.D03G135900	1752	1562.96	8.603	0.0556361
Gohir.A08G101400	804	615.011	372.256	6.11806
Gohir.D07G105100	1173	983.957	60.7569	0.624128
Gohir.D05G279500	1041	851.957	81.4552	0.966396
Gohir.A11G029900	871	681.994	1758.23	26.0585
Gohir.D05G344800	1847	1657.96	0	0
Gohir.A11G286841	945	755.957	0	0
Gohir.D03G031800	1092	902.957	44.1119	0.49379
Gohir.A11G096800	2714	2524.96	202.233	0.809564
Gohir.A03G186400	1186	996.957	13	0.131802
Gohir.D04G161600	1440	1250.96	84	0.67872
Gohir.D10G096000	1922	1732.96	70.8237	0.41309
Gohir.D11G217600	2203	2013.96	7.78462	0.0390698
Gohir.A06G061900	913	723.957	2	0.0279236
Gohir.A06G078300	2296	2106.96	72.7192	0.348857
Gohir.D05G234600	3130	2940.96	50.1616	0.1724
Gohir.A13G194500	999	809.957	199	2.48339
Gohir.A06G043800	4312	4122.96	156.835	0.384492
Gohir.A09G087600	1070	880.957	4	0.0458944
Gohir.D13G042300	1337	1147.96	319.389	2.81221
Gohir.D03G095800	2782	2592.96	158.023	0.615997
Gohir.D08G069200	3165	2975.96	475.493	1.615
Gohir.D11G105400	1852	1662.96	10	0.0607817
Gohir.D11G065833	922	732.957	2.13825	0.0294872
Gohir.D02G136400	4076	3886.96	607.288	1.57921
Gohir.D02G043200	2366	2176.96	18.3756	0.085319
Gohir.A02G162900	952	762.957	80.91	1.0719
Gohir.D03G166101	1665	1475.96	259.361	1.77617
Gohir.A05G044600	1089	899.957	495.402	5.56404
Gohir.D13G072400	2007	1817.96	226.519	1.25943
Gohir.D02G104300	1911	1721.96	96.0044	0.563538
Gohir.A09G026000	7171	6981.96	627.805	0.908869
Gohir.A05G057500	1461	1271.96	17.4826	0.138928
Gohir.A08G114700	1067	877.957	10	0.115128
Gohir.D10G152000	1549	1359.96	315.772	2.34694
Gohir.D05G287000	1718	1528.96	738.284	4.8807
Gohir.A02G144200	969	779.957	116.659	1.51182
Gohir.A12G030701	522	333.463	0	0
Gohir.D02G014900	3427	3237.96	8.68065	0.0270979
Gohir.A10G169466	748	559.026	0	0
Gohir.A07G112100	1898	1708.96	122.962	0.727269
Gohir.D06G172800	619	430.111	0	0
Gohir.D08G092550	231	72.6015	2.40222	0.334442
Gohir.A04G018100	2811	2621.96	4	0.0154201
Gohir.D06G070000	3166	2976.96	309.747	1.05169
Gohir.A06G175900	1442	1252.96	52.7812	0.425791
Gohir.D10G113200	1290	1100.96	215	1.97389
Gohir.A06G089000	2502	2312.96	343.141	1.49954
Gohir.D10G136700	1374	1184.96	12.5459	0.107017
Gohir.D02G211100	963	773.957	542.665	7.08711
Gohir.D06G009100	2758	2568.96	104.521	0.411246
Gohir.A06G203700	1768	1578.96	162.408	1.03966
Gohir.A10G031650	915	725.957	0	0
Gohir.D06G185900	1275	1085.96	44.5205	0.414383
Gohir.D02G193500	354	171.31	23	1.35706
Gohir.D12G211400	642	453.077	1	0.0223091
Gohir.D07G106900	1085	895.957	9	0.101534
