target_id	length	eff_length	AD1_1	AD1_1_tpm
Gohir.D08G013000	1846	1653.56	284.626	2.25081
Gohir.A02G177000	2260	2067.56	271.176	1.71505
Gohir.A04G123700	1724	1531.56	537.302	4.58742
Gohir.A08G078800	1460	1267.56	0	0
Gohir.D11G072700	1486	1293.56	93.3501	0.943654
Gohir.A07G011700	1009	816.559	123.696	1.98085
Gohir.D10G087901	1705	1512.56	0	0
Gohir.A02G020600	2886	2693.56	99.7556	0.484278
Gohir.A12G259001	1815	1622.56	24.9633	0.20118
Gohir.A13G108900	818	625.575	139	2.90549
Gohir.D13G222400	3480	3287.56	366.487	1.4577
Gohir.D05G182700	2023	1830.56	277.069	1.97919
Gohir.A02G036800	2534	2341.56	1	0.00558443
Gohir.D02G178800	868	675.575	0	0
Gohir.A13G197800	2698	2505.56	9.06274	0.0472976
Gohir.D10G060800	2725	2532.56	46.2569	0.238836
Gohir.A05G314900	1915	1722.56	189.909	1.44164
Gohir.D11G312636	3883	3690.56	7.55415	0.0267656
Gohir.D04G065100	1199	1006.56	0	0
Gohir.A06G132400	985	792.559	121	1.99636
Gohir.A06G182800	2308	2115.56	53.6363	0.331526
Gohir.A04G111300	915	722.575	1	0.0180968
Gohir.A02G060600	1709	1516.56	36.1875	0.31202
Gohir.D02G217101	957	764.559	99.6148	1.70372
Gohir.A04G028900	1661	1468.56	110.203	0.981264
Gohir.D06G213100	914	721.575	327.489	5.93471
Gohir.D07G187300	2176	1983.56	107.746	0.710297
Gohir.D11G200400	2462	2269.56	716.425	4.12775
Gohir.A10G041100	2754	2561.56	39.7921	0.203131
Gohir.D06G061000	1965	1772.56	5	0.0368853
Gohir.A04G046800	1823	1630.56	77.8014	0.623928
Gohir.D12G199300	1212	1019.56	26	0.333461
Gohir.D06G116500	1998	1805.56	160.208	1.16026
Gohir.A09G249400	719	526.599	0	0
Gohir.A05G090300	1984	1791.56	15.6526	0.114245
Gohir.D02G123700	2700	2507.56	77.7583	0.405489
Gohir.A05G036500	2174	1981.56	46.067	0.303995
Gohir.D11G062000	2003	1810.56	93.7584	0.677144
Gohir.D05G166000	894	701.575	0	0
Gohir.A08G208900	2015	1822.56	34.5444	0.247845
Gohir.A02G017701	426	235.804	0	0
Gohir.A12G110300	2229	2036.56	315.27	2.02428
Gohir.D10G139300	1711	1518.56	298.257	2.56829
Gohir.D06G081600	1839	1646.56	8.27591	0.0657238
Gohir.D10G100450	505	313.131	13	0.542876
Gohir.A05G232300	2912	2719.56	240.964	1.15861
Gohir.D13G140200	1483	1290.56	321.018	3.25264
Gohir.D11G084200	1653	1460.56	30.6614	0.274509
Gohir.A06G104500	1953	1760.56	10.549	0.078351
Gohir.A02G048901	695	502.621	0	0
Gohir.D07G067300	637	444.64	174.633	5.13571
Gohir.D05G179200	637	444.64	0	0
Gohir.A05G334375	1248	1055.56	1	0.012388
