target_id	length	eff_length	A2_4	A2_4_tpm
Gohir.D08G013000	1846	1656.81	0	0
Gohir.A02G177000	2260	2070.81	328.025	1.77233
Gohir.A04G123700	1724	1534.81	435.788	3.17687
Gohir.A08G078800	1460	1270.81	0	0
Gohir.D11G072700	1486	1296.81	2.06638	0.0178284
Gohir.A07G011700	1009	819.814	209.765	2.86284
Gohir.D10G087901	1705	1515.81	0	0
Gohir.A02G020600	2886	2696.81	141.299	0.586231
Gohir.A12G259001	1815	1625.81	2.8717	0.0197628
Gohir.A13G108900	818	628.814	65	1.15657
Gohir.D13G222400	3480	3290.81	10.8603	0.0369249
Gohir.D05G182700	2023	1833.81	0	0
Gohir.A02G036800	2534	2344.81	17.9434	0.0856202
Gohir.D02G178800	868	678.814	0	0
Gohir.A13G197800	2698	2508.81	3	0.0133793
Gohir.D10G060800	2725	2535.81	11.1853	0.0493526
Gohir.A05G314900	1915	1725.81	119	0.771495
Gohir.D11G312636	3883	3693.81	26.0711	0.0789703
Gohir.D04G065100	1199	1009.81	0	0
Gohir.A06G132400	985	795.814	348.944	4.90596
Gohir.A06G182800	2308	2118.81	121.389	0.641012
Gohir.A04G111300	915	725.814	6	0.0924923
Gohir.A02G060600	1709	1519.81	461.038	3.39411
Gohir.D02G217101	957	767.814	0	0
Gohir.A04G028900	1661	1471.81	83.8676	0.63756
Gohir.D06G213100	914	724.814	0	0
Gohir.D07G187300	2176	1986.81	31.067	0.174953
Gohir.D11G200400	2462	2272.81	120.435	0.592884
Gohir.A10G041100	2754	2564.81	37	0.161408
Gohir.D06G061000	1965	1775.81	9.18643	0.0578801
Gohir.A04G046800	1823	1633.81	4.43698	0.0303854
Gohir.D12G199300	1212	1022.81	0	0
Gohir.D06G116500	1998	1808.81	3.10745	0.0192216
Gohir.A09G249400	719	529.856	0	0
Gohir.A05G090300	1984	1794.81	207	1.29042
Gohir.D02G123700	2700	2510.81	1.09814	0.00489353
Gohir.A05G036500	2174	1984.81	162.418	0.915576
Gohir.D11G062000	2003	1813.81	2.34366	0.0144571
Gohir.D05G166000	894	704.814	3	0.0476241
Gohir.A08G208900	2015	1825.81	38.9033	0.238402
Gohir.A02G017701	426	238.624	0	0
Gohir.A12G110300	2229	2039.81	401	2.19955
Gohir.D10G139300	1711	1521.81	11.4308	0.0840418
Gohir.D06G081600	1839	1649.81	3	0.0203454
Gohir.D10G100450	505	316.34	2	0.0707385
Gohir.A05G232300	2912	2722.81	311.744	1.28103
Gohir.D13G140200	1483	1293.81	19.3192	0.167069
Gohir.D11G084200	1653	1463.81	6.88897	0.0526561
Gohir.A06G104500	1953	1763.81	51.6724	0.327783
Gohir.A02G048901	695	505.856	14	0.309657
Gohir.D07G067300	637	447.88	0	0
Gohir.D05G179200	637	447.88	0	0
Gohir.A05G334375	1248	1058.81	41	0.433256
Gohir.A05G042800	1498	1308.81	202.207	1.72861
Gohir.A04G028404	1585	1395.81	167.356	1.34151
Gohir.D09G238800	898	708.814	1	0.0157851
Gohir.A11G030881	2053	1863.81	697	4.18418
Gohir.D09G164440	504	315.348	0	0
Gohir.A12G128850	1905	1715.81	0	0
Gohir.D09G058025	303	123.943	2	0.180545
Gohir.A12G161300	1882	1692.81	135	0.892287
Gohir.D01G194350	2745	2555.81	0	0
Gohir.D05G017800	712	522.856	0	0
Gohir.D06G167100	1645	1455.81	2	0.0153711
Gohir.A08G219555	1498	1308.81	17.0786	0.146001
Gohir.A05G006100	1128	938.814	303.291	3.6146
Gohir.D04G010300	2689	2499.81	0	0
Gohir.D01G057100	1269	1079.81	0	0
Gohir.D04G170800	1594	1404.81	28.3976	0.226174
Gohir.A01G153800	1751	1561.81	6	0.0429835
Gohir.D08G228400	1119	929.814	0	0
Gohir.A04G048165	1065	875.814	0	0
Gohir.A10G237000	918	728.814	0	0
Gohir.A13G016300	1270	1080.81	119	1.2319
Gohir.D08G191800	1624	1434.81	11.43	0.089131
Gohir.A09G110880	1269	1079.81	6	0.0621702
Gohir.A05G236950	636	446.88	2	0.0500748
Gohir.D09G120400	2577	2387.81	9.3679	0.0438957
Gohir.D03G135900	1752	1562.81	0	0
Gohir.A08G101400	804	614.814	169.969	3.09318
Gohir.D07G105100	1173	983.814	1.09463	0.012449
Gohir.D05G279500	1041	851.814	2.51521	0.0330376
Gohir.A11G029900	871	681.814	2730.89	44.8144
Gohir.D05G344800	1847	1657.81	0	0
Gohir.A11G286841	945	755.814	0	0
Gohir.D03G031800	1092	902.814	0	0
Gohir.A11G096800	2714	2524.81	178.254	0.789933
Gohir.A03G186400	1186	996.814	12	0.134694
Gohir.D04G161600	1440	1250.81	7	0.062616
Gohir.D10G096000	1922	1732.81	5.32754	0.0343997
Gohir.D11G217600	2203	2013.81	0	0
Gohir.A06G061900	913	723.814	7	0.108206
Gohir.A06G078300	2296	2106.81	86.7716	0.46082
Gohir.D05G234600	3130	2940.81	0	0
Gohir.A13G194500	999	809.814	537	7.4194
Gohir.A06G043800	4312	4122.81	200.412	0.543888
Gohir.A09G087600	1070	880.814	33	0.419189
Gohir.D13G042300	1337	1147.81	5.2327	0.0510075
Gohir.D03G095800	2782	2592.81	0	0
Gohir.D08G069200	3165	2975.81	20.5968	0.0774415
Gohir.D11G105400	1852	1662.81	0	0
Gohir.D11G065833	922	732.814	4.2747	0.0652666
Gohir.D02G136400	4076	3886.81	100.721	0.289939
Gohir.D02G043200	2366	2176.81	9.0566	0.0465504
Gohir.A02G162900	952	762.814	100.223	1.47004
Gohir.D03G166101	1665	1475.81	127.563	0.967105
Gohir.A05G044600	1089	899.814	653.054	8.12038
Gohir.D13G072400	2007	1817.81	0	0
Gohir.D02G104300	1911	1721.81	5.15036	0.0334681
Gohir.A09G026000	7171	6981.81	667.928	1.07039
Gohir.A05G057500	1461	1271.81	126.61	1.11385
Gohir.A08G114700	1067	877.814	1	0.0127461
Gohir.D10G152000	1549	1359.81	7.9934	0.0657706
Gohir.D05G287000	1718	1528.81	2.14619	0.015707
Gohir.A02G144200	969	779.814	164.705	2.36318
Gohir.A12G030701	522	333.219	0	0
Gohir.D02G014900	3427	3237.81	3.4267	0.0118414
Gohir.A10G169466	748	558.842	14	0.280297
Gohir.A07G112100	1898	1708.81	116.555	0.76316
Gohir.D06G172800	619	429.891	0	0
Gohir.D08G092550	231	67.537	0	0
Gohir.A04G018100	2811	2621.81	7	0.0298728
Gohir.D06G070000	3166	2976.81	20.0616	0.0754041
Gohir.A06G175900	1442	1252.81	83.5876	0.746509
Gohir.D10G113200	1290	1100.81	21.4994	0.218521
Gohir.A06G089000	2502	2312.81	498.203	2.41016
Gohir.D10G136700	1374	1184.81	0	0
Gohir.D02G211100	963	773.814	1.02212	0.0147791
Gohir.D06G009100	2758	2568.81	20.3444	0.0886118
Gohir.A06G203700	1768	1578.81	169	1.19767
Gohir.A10G031650	915	725.814	0	0
Gohir.D06G185900	1275	1085.81	4.19917	0.0432701
Gohir.D02G193500	354	169.82	0	0
Gohir.D12G211400	642	452.88	0	0
Gohir.D07G106900	1085	895.814	0	0
Gohir.A05G257150	774	584.814	0	0
Gohir.D09G074600	858	668.814	112.724	1.88578
Gohir.D02G139000	2564	2374.81	274.367	1.29265
Gohir.D05G214600	1724	1534.81	8.11064	0.0591261
Gohir.A05G110900	1774	1584.81	1140	8.04834
Gohir.A01G195000	1796	1606.81	0	0
Gohir.D05G354825	333	150.449	0	0
Gohir.A12G219875	606	416.913	0	0
Gohir.D09G245650	568	378.962	0	0
Gohir.A13G139780	1125	935.814	5	0.0597806
Gohir.A10G158400	1065	875.814	117.992	1.50737
Gohir.D12G014000	1852	1662.81	23.0459	0.155071
Gohir.A09G112900	1696	1506.81	141.765	1.05266
Gohir.A11G032200	1485	1295.81	57.115	0.49316
Gohir.D02G076100	1379	1189.81	238.185	2.23983
Gohir.D02G168900	2310	2120.81	0	0
Gohir.D09G149400	2344	2154.81	4	0.0207697
Gohir.D13G036900	2218	2028.81	0	0
Gohir.A13G063900	1421	1231.81	429.605	3.90215
Gohir.A07G183850	623	433.891	0	0
Gohir.D01G109550	216	57.5946	0	0
Gohir.D05G339300	1391	1201.81	0	0
Gohir.A08G000117	641	451.88	55.4491	1.37294
Gohir.A11G253600	3103	2913.81	232.384	0.892326
Gohir.D02G162600	2292	2102.81	5.97388	0.031786
Gohir.A06G132200	2674	2484.81	155.298	0.699279
