target_id	length	eff_length	A2_5	A2_5_tpm
Gohir.D08G013000	1846	1658.18	0	0
Gohir.A02G177000	2260	2072.18	269.843	1.6207
Gohir.A04G123700	1724	1536.18	447	3.62147
Gohir.A08G078800	1460	1272.18	0	0
Gohir.D11G072700	1486	1298.18	2.06139	0.0197627
Gohir.A07G011700	1009	821.182	170.939	2.59073
Gohir.D10G087901	1705	1517.18	0	0
Gohir.A02G020600	2886	2698.18	163.5	0.754163
Gohir.A12G259001	1815	1627.18	0	0
Gohir.A13G108900	818	630.198	64	1.26393
Gohir.D13G222400	3480	3292.18	6.01027	0.0227211
Gohir.D05G182700	2023	1835.18	0	0
Gohir.A02G036800	2534	2346.18	28	0.148531
Gohir.D02G178800	868	680.182	0	0
Gohir.A13G197800	2698	2510.18	4.37663	0.0216997
Gohir.D10G060800	2725	2537.18	6.99938	0.0343342
Gohir.A05G314900	1915	1727.18	74	0.533229
Gohir.D11G312636	3883	3695.18	19.5486	0.0658414
Gohir.D04G065100	1199	1011.18	0	0
Gohir.A06G132400	985	797.182	276.972	4.32412
Gohir.A06G182800	2308	2120.18	134.101	0.787187
Gohir.A04G111300	915	727.182	3	0.051345
Gohir.A02G060600	1709	1521.18	278.875	2.28164
Gohir.D02G217101	957	769.182	0	0
Gohir.A04G028900	1661	1473.18	62.4071	0.527226
Gohir.D06G213100	914	726.182	0	0
Gohir.D07G187300	2176	1988.18	15.5084	0.0970799
Gohir.D11G200400	2462	2274.18	154.26	0.844208
Gohir.A10G041100	2754	2566.18	36	0.174596
Gohir.D06G061000	1965	1777.18	1.16961	0.00819088
Gohir.A04G046800	1823	1635.18	6.67249	0.0507857
Gohir.D12G199300	1212	1024.18	1	0.0121519
Gohir.D06G116500	1998	1810.18	1.06289	0.00730776
Gohir.A09G249400	719	531.212	0	0
Gohir.A05G090300	1984	1796.18	99	0.685969
Gohir.D02G123700	2700	2512.18	5.3497	0.0265032
Gohir.A05G036500	2174	1986.18	174.92	1.09608
Gohir.D11G062000	2003	1815.18	6.78187	0.0464996
Gohir.D05G166000	894	706.182	0	0
Gohir.A08G208900	2015	1827.18	47	0.320137
Gohir.A02G017701	426	239.699	0	0
Gohir.A12G110300	2229	2041.18	300.915	1.83477
Gohir.D10G139300	1711	1523.18	16.4183	0.134152
Gohir.D06G081600	1839	1651.18	2.10865	0.0158939
Gohir.D10G100450	505	317.687	0	0
Gohir.A05G232300	2912	2724.18	256.465	1.17169
Gohir.D13G140200	1483	1295.18	19.6437	0.188761
Gohir.D11G084200	1653	1465.18	9.1859	0.0780279
Gohir.A06G104500	1953	1765.18	63.755	0.449515
Gohir.A02G048901	695	507.225	24	0.588885
Gohir.D07G067300	637	449.295	0	0
Gohir.D05G179200	637	449.295	0	0
Gohir.A05G334375	1248	1060.18	46	0.540004
Gohir.A05G042800	1498	1310.18	220.249	2.0922
Gohir.A04G028404	1585	1397.18	120.82	1.07623
Gohir.D09G238800	898	710.182	1.02775	0.018011
Gohir.A11G030881	2053	1865.18	690.732	4.60901
Gohir.D09G164440	504	316.695	0	0
Gohir.A12G128850	1905	1717.18	0	0
Gohir.D09G058025	303	125.244	0	0
Gohir.A12G161300	1882	1694.18	131	0.962346
Gohir.D01G194350	2745	2557.18	1.47921	0.00719928
Gohir.D05G017800	712	524.212	1.18084	0.0280353
Gohir.D06G167100	1645	1457.18	0	0
Gohir.A08G219555	1498	1310.18	9.14983	0.0869163
Gohir.A05G006100	1128	940.182	252.907	3.34787
Gohir.D04G010300	2689	2501.18	0	0
Gohir.D01G057100	1269	1081.18	0	0
Gohir.D04G170800	1594	1406.18	20.5563	0.181938
Gohir.A01G153800	1751	1563.18	14	0.111465
Gohir.D08G228400	1119	931.182	0	0
Gohir.A04G048165	1065	877.182	0	0
Gohir.A10G237000	918	730.182	0	0
Gohir.A13G016300	1270	1082.18	77	0.885544
Gohir.D08G191800	1624	1436.18	4.08982	0.0354417
Gohir.A09G110880	1269	1081.18	1	0.0115112
Gohir.A05G236950	636	448.295	0	0
Gohir.D09G120400	2577	2389.18	6.09791	0.0317652
Gohir.D03G135900	1752	1564.18	0	0
Gohir.A08G101400	804	616.198	117.994	2.3832
Gohir.D07G105100	1173	985.182	0	0
Gohir.D05G279500	1041	853.182	1.14819	0.0167491
Gohir.A11G029900	871	683.182	3255.15	59.3
Gohir.D05G344800	1847	1659.18	0	0
Gohir.A11G286841	945	757.182	0	0
Gohir.D03G031800	1092	904.182	0	0
Gohir.A11G096800	2714	2526.18	180.375	0.888653
Gohir.A03G186400	1186	998.182	13	0.162089
Gohir.D04G161600	1440	1252.18	3	0.0298177
Gohir.D10G096000	1922	1734.18	8.21212	0.058936
Gohir.D11G217600	2203	2015.18	0	0
Gohir.A06G061900	913	725.182	6	0.102973
Gohir.A06G078300	2296	2108.18	80.9031	0.477614
Gohir.D05G234600	3130	2942.18	1.30373	0.00551489
Gohir.A13G194500	999	811.182	196	3.00717
Gohir.A06G043800	4312	4124.18	183.317	0.553205
Gohir.A09G087600	1070	882.182	27	0.380913
Gohir.D13G042300	1337	1149.18	3.02864	0.0328003
Gohir.D03G095800	2782	2594.18	2.55115	0.0122393
Gohir.D08G069200	3165	2977.18	30.3524	0.126884
Gohir.D11G105400	1852	1664.18	1	0.00747858
Gohir.D11G065833	922	734.182	2.1417	0.0363057
Gohir.D02G136400	4076	3888.18	95.4318	0.305468
Gohir.D02G043200	2366	2178.18	6.02372	0.0344184
Gohir.A02G162900	952	764.182	81.4033	1.32576
Gohir.D03G166101	1665	1477.18	75.4382	0.63559
Gohir.A05G044600	1089	901.182	451.62	6.23707
Gohir.D13G072400	2007	1819.18	0	0
Gohir.D02G104300	1911	1723.18	2.16215	0.0156161
Gohir.A09G026000	7171	6983.18	568.054	1.01241
Gohir.A05G057500	1461	1273.18	29.8848	0.292133
Gohir.A08G114700	1067	879.182	0	0
Gohir.D10G152000	1549	1361.18	9.43021	0.0862233
Gohir.D05G287000	1718	1530.18	1.09307	0.00889048
Gohir.A02G144200	969	781.182	117.703	1.87523
Gohir.A12G030701	522	334.565	0	0
Gohir.D02G014900	3427	3239.18	2.28461	0.00877802
Gohir.A10G169466	748	560.212	25	0.555402
Gohir.A07G112100	1898	1710.18	75.0956	0.546502
Gohir.D06G172800	619	431.329	0	0
Gohir.D08G092550	231	69.2081	0	0
Gohir.A04G018100	2811	2623.18	0	0
Gohir.D06G070000	3166	2978.18	16.0686	0.0671502
Gohir.A06G175900	1442	1254.18	77.181	0.765896
Gohir.D10G113200	1290	1102.18	15.5501	0.17559
Gohir.A06G089000	2502	2314.18	389.864	2.09669
Gohir.D10G136700	1374	1186.18	0	0
Gohir.D02G211100	963	775.182	2.08661	0.033501
Gohir.D06G009100	2758	2570.18	13	0.0629505
Gohir.A06G203700	1768	1580.18	157	1.23655
Gohir.A10G031650	915	727.182	1	0.017115
Gohir.D06G185900	1275	1087.18	4.51479	0.0516838
Gohir.D02G193500	354	170.972	3	0.218381
Gohir.D12G211400	642	454.284	0	0
Gohir.D07G106900	1085	897.182	0	0
Gohir.A05G257150	774	586.198	0	0
Gohir.D09G074600	858	670.182	84.9361	1.57732
Gohir.D02G139000	2564	2376.18	193.729	1.01469
Gohir.D05G214600	1724	1536.18	12.2001	0.098842
