target_id	length	eff_length	A2_1	A2_1_tpm
Gohir.D08G013000	1846	1665.11	0	0
Gohir.A02G177000	2260	2079.11	465.685	2.7448
Gohir.A04G123700	1724	1543.11	808.884	6.4237
Gohir.A08G078800	1460	1279.11	0	0
Gohir.D11G072700	1486	1305.11	3.06826	0.0288099
Gohir.A07G011700	1009	828.105	188.8	2.79391
Gohir.D10G087901	1705	1524.11	0	0
Gohir.A02G020600	2886	2705.11	172.296	0.780521
Gohir.A12G259001	1815	1634.11	19.9959	0.149953
Gohir.A13G108900	818	637.123	56	1.07711
Gohir.D13G222400	3480	3299.11	10.7904	0.0400807
Gohir.D05G182700	2023	1842.11	0	0
Gohir.A02G036800	2534	2353.11	19.8146	0.10319
Gohir.D02G178800	868	687.123	0	0
Gohir.A13G197800	2698	2517.11	7.29657	0.0355232
Gohir.D10G060800	2725	2544.11	9.40432	0.0452988
Gohir.A05G314900	1915	1734.11	32	0.226136
Gohir.D11G312636	3883	3702.11	36.8801	0.122078
Gohir.D04G065100	1199	1018.11	0	0
Gohir.A06G132400	985	804.105	218	3.32229
Gohir.A06G182800	2308	2127.11	92.908	0.535252
Gohir.A04G111300	915	734.105	6	0.100158
Gohir.A02G060600	1709	1528.11	102	0.817977
Gohir.D02G217101	957	776.105	0	0
Gohir.A04G028900	1661	1480.11	121.262	1.00399
Gohir.D06G213100	914	733.105	0	0
Gohir.D07G187300	2176	1995.11	3.15206	0.0193608
Gohir.D11G200400	2462	2281.11	261.004	1.40216
Gohir.A10G041100	2754	2573.11	57	0.271464
Gohir.D06G061000	1965	1784.11	8	0.0549495
Gohir.A04G046800	1823	1642.11	2.39803	0.0178956
Gohir.D12G199300	1212	1031.11	2	0.0237696
Gohir.D06G116500	1998	1817.11	3.30187	0.0222677
Gohir.A09G249400	719	538.138	0	0
Gohir.A05G090300	1984	1803.11	116	0.788372
Gohir.D02G123700	2700	2519.11	14.2458	0.0693002
Gohir.A05G036500	2174	1993.11	284.138	1.747
Gohir.D11G062000	2003	1822.11	7.00329	0.0471002
Gohir.D05G166000	894	713.105	2	0.0343693
Gohir.A08G208900	2015	1834.11	56.8063	0.379548
Gohir.A02G017701	426	246.795	0	0
Gohir.A12G110300	2229	2048.11	556	3.32672
Gohir.D10G139300	1711	1530.11	19.8512	0.158986
Gohir.D06G081600	1839	1658.11	0	0
Gohir.D10G100450	505	324.577	0	0
Gohir.A05G232300	2912	2731.11	353.951	1.58818
Gohir.D13G140200	1483	1302.11	25.7315	0.242166
Gohir.D11G084200	1653	1472.11	5.4197	0.045116
Gohir.A06G104500	1953	1772.11	36.8518	0.254838
Gohir.A02G048901	695	514.138	22	0.52437
Gohir.D07G067300	637	456.15	1.08393	0.0291199
Gohir.D05G179200	637	456.15	0	0
Gohir.A05G334375	1248	1067.11	105	1.2058
Gohir.A05G042800	1498	1317.11	424.142	3.94625
Gohir.A04G028404	1585	1404.11	70.3734	0.614191
Gohir.D09G238800	898	717.105	2	0.0341776
Gohir.A11G030881	2053	1872.11	1002.71	6.56353
Gohir.D09G164440	504	323.593	1	0.0378699
Gohir.A12G128850	1905	1724.11	0	0
Gohir.D09G058025	303	132.022	0	0
Gohir.A12G161300	1882	1701.11	451.807	3.25474
Gohir.D01G194350	2745	2564.11	1	0.00477924
Gohir.D05G017800	712	531.138	0	0
Gohir.D06G167100	1645	1464.11	1	0.00836993
Gohir.A08G219555	1498	1317.11	31.996	0.297694
Gohir.A05G006100	1128	947.105	249.184	3.22416
Gohir.D04G010300	2689	2508.11	10.2934	0.050293
Gohir.D01G057100	1269	1088.11	0	0
Gohir.D04G170800	1594	1413.11	35.0719	0.304144
Gohir.A01G153800	1751	1570.11	6	0.0468292
Gohir.D08G228400	1119	938.105	0	0
Gohir.A04G048165	1065	884.105	0	0
Gohir.A10G237000	918	737.105	1	0.0166251
Gohir.A13G016300	1270	1089.11	312.058	3.51123
Gohir.D08G191800	1624	1443.11	1.02377	0.00869362
Gohir.A09G110880	1269	1088.11	2	0.0225244
Gohir.A05G236950	636	455.15	0	0
Gohir.D09G120400	2577	2396.11	6.9163	0.0353722
Gohir.D03G135900	1752	1571.11	0	0
Gohir.A08G101400	804	623.123	259	5.09355
Gohir.D07G105100	1173	992.105	0	0
Gohir.D05G279500	1041	860.105	5.76894	0.0821938
Gohir.A11G029900	871	690.123	2235.16	39.6896
Gohir.D05G344800	1847	1666.11	0	0
Gohir.A11G286841	945	764.105	0	0
Gohir.D03G031800	1092	911.105	0	0
Gohir.A11G096800	2714	2533.11	424.748	2.05481
Gohir.A03G186400	1186	1005.11	10	0.121922
Gohir.D04G161600	1440	1259.11	39.2798	0.382298
Gohir.D10G096000	1922	1741.11	2.03186	0.0143009
Gohir.D11G217600	2203	2022.11	0	0
Gohir.A06G061900	913	732.105	2	0.0334773
Gohir.A06G078300	2296	2115.11	129.621	0.750997
Gohir.D05G234600	3130	2949.11	10.2202	0.0424683
Gohir.A13G194500	999	818.105	2434	36.4591
Gohir.A06G043800	4312	4131.11	293.122	0.869515
Gohir.A09G087600	1070	889.105	60	0.826975
Gohir.D13G042300	1337	1156.11	3.07294	0.0325725
Gohir.D03G095800	2782	2601.11	4.44213	0.020928
Gohir.D08G069200	3165	2984.11	44.2134	0.181566
Gohir.D11G105400	1852	1671.11	2	0.0146663
Gohir.D11G065833	922	741.105	12.9689	0.214446
Gohir.D02G136400	4076	3895.11	117.262	0.368921
Gohir.D02G043200	2366	2185.11	4.18739	0.0234836
Gohir.A02G162900	952	771.105	215.312	3.42176
Gohir.D03G166101	1665	1484.11	98.0163	0.809334
Gohir.A05G044600	1089	908.105	997.32	13.4584
Gohir.D13G072400	2007	1826.11	0	0
Gohir.D02G104300	1911	1730.11	8.6233	0.0610795
Gohir.A09G026000	7171	6990.11	922.772	1.61773
Gohir.A05G057500	1461	1280.11	25	0.239325
Gohir.A08G114700	1067	886.105	1	0.0138296
Gohir.D10G152000	1549	1368.11	4.95533	0.0443861
Gohir.D05G287000	1718	1537.11	5.55391	0.0442782
Gohir.A02G144200	969	788.105	310.796	4.83265
Gohir.A12G030701	522	341.469	0	0
Gohir.D02G014900	3427	3246.11	9.7467	0.036795
Gohir.A10G169466	748	567.138	7	0.151253
Gohir.A07G112100	1898	1717.11	125.678	0.896929
Gohir.D06G172800	619	438.205	0	0
Gohir.D08G092550	231	74.6399	0	0
Gohir.A04G018100	2811	2630.11	37	0.172394
Gohir.D06G070000	3166	2985.11	17.0959	0.070182
Gohir.A06G175900	1442	1261.11	88.1307	0.856387
Gohir.D10G113200	1290	1109.11	19.7726	0.218467
Gohir.A06G089000	2502	2321.11	731.862	3.86393
Gohir.D10G136700	1374	1193.11	1.12521	0.0115571
Gohir.D02G211100	963	782.105	1.00738	0.0157842
Gohir.D06G009100	2758	2577.11	30.416	0.144632
Gohir.A06G203700	1768	1587.11	366.87	2.8327
Gohir.A10G031650	915	734.105	1	0.0166931
Gohir.D06G185900	1275	1094.11	7.51427	0.0841631
Gohir.D02G193500	354	178.058	1	0.0688227
Gohir.D12G211400	642	461.15	0	0
Gohir.D07G106900	1085	904.105	0	0
Gohir.A05G257150	774	593.123	0	0
Gohir.D09G074600	858	677.123	120.542	2.18156
Gohir.D02G139000	2564	2383.11	182.308	0.93747
Gohir.D05G214600	1724	1543.11	13.3361	0.105907
Gohir.A05G110900	1774	1593.11	1021.7	7.85911
Gohir.A01G195000	1796	1615.11	0	0
Gohir.D05G354825	333	158.805	0	0
Gohir.A12G219875	606	425.216	0	0
Gohir.D09G245650	568	387.296	0	0
Gohir.A13G139780	1125	944.105	1	0.01298
Gohir.A10G158400	1065	884.105	195	2.70287
Gohir.D12G014000	1852	1671.11	26.8085	0.196591
Gohir.A09G112900	1696	1515.11	266.689	2.15703
Gohir.A11G032200	1485	1304.11	47	0.441651
Gohir.D02G076100	1379	1198.11	84.1482	0.860685
Gohir.D02G168900	2310	2129.11	1	0.00575569
Gohir.D09G149400	2344	2163.11	6	0.0339913
Gohir.D13G036900	2218	2037.11	1.54336	0.00928426
Gohir.A13G063900	1421	1240.11	588.424	5.81469
Gohir.A07G183850	623	442.172	2	0.0554285
Gohir.D01G109550	216	64.2535	0	0
Gohir.D05G339300	1391	1210.11	0	0
Gohir.A08G000117	641	460.15	59.8989	1.5952
Gohir.A11G253600	3103	2922.11	379.601	1.59194
Gohir.D02G162600	2292	2111.11	1.14539	0.00664869
Gohir.A06G132200	2674	2493.11	642.477	3.15799
Gohir.D08G252466	264	99.51	0	0
Gohir.A08G184900	2168	1987.11	442.424	2.72843
Gohir.A08G099868	2794	2613.11	312.128	1.46376
Gohir.D04G097500	1283	1102.11	727	8.08362
Gohir.D05G057600	2551	2370.11	13.3298	0.0689209
Gohir.A06G111004	426	246.795	0	0
Gohir.D11G115100	456	276.219	0	0
Gohir.D02G144600	2553	2372.11	1.00283	0.00518071
Gohir.D05G306750	174	39.1044	6.50769	2.03937
Gohir.D01G110500	1668	1487.11	0	0
Gohir.A05G389500	1332	1151.11	475.033	5.05712
Gohir.D04G191000	1465	1284.11	7.09557	0.0677144
Gohir.D09G177200	1117	936.105	22.1763	0.290307
Gohir.A05G171200	1945	1764.11	893.704	6.20817
Gohir.D07G144500	2265	2084.11	11.6462	0.0684794
Gohir.A02G131602	702	521.138	0	0
Gohir.D09G148200	468	287.959	0	0
Gohir.D13G169500	776	595.123	0	0
Gohir.D05G061700	1906	1725.11	9.98838	0.0709535
Gohir.A10G138000	651	470.15	70.7925	1.84521
Gohir.D05G127800	2098	1917.11	163.04	1.04218
Gohir.A06G188000	545	364.408	0	0
Gohir.A04G136166	474	293.871	38	1.5846
Gohir.D05G162100	1462	1281.11	0	0
Gohir.A02G152800	1595	1414.11	104.793	0.908126
Gohir.D04G126700	2004	1823.11	0	0
Gohir.D08G175150	399	220.599	0	0
Gohir.A10G180800	858	677.123	20	0.361957
Gohir.D05G200300	2414	2233.11	54.7731	0.300575
Gohir.A06G184200	1632	1451.11	19.4701	0.164424
Gohir.A05G174300	1908	1727.11	1368.34	9.70892
Gohir.D03G099501	1705	1524.11	0	0
Gohir.D05G379600	763	582.138	0	0
Gohir.A13G096100	2329	2148.11	312.688	1.78382
Gohir.A06G171600	3763	3582.11	197.832	0.676788
Gohir.D02G060700	911	730.105	0	0
Gohir.A11G063866	998	817.105	104.213	1.56293
Gohir.D04G130600	1233	1052.11	11.1911	0.130349
Gohir.A13G202000	1652	1471.11	157.977	1.31596
Gohir.D12G051200	2062	1881.11	1.03691	0.00675497
Gohir.A07G093500	746	565.138	0	0
Gohir.D08G032600	1356	1175.11	2495.46	26.0237
Gohir.A05G202800	3483	3302.11	1568.45	5.82069
Gohir.A05G058000	1462	1281.11	0	0
Gohir.D10G105201	573	392.286	0	0
Gohir.A09G089932	2542	2361.11	0	0
Gohir.A05G343600	3502	3321.11	1448.51	5.34483
Gohir.D05G352900	1899	1718.11	1.09198	0.00778859
Gohir.A12G080900	1402	1221.11	0	0
Gohir.D11G305800	923	742.105	11	0.181644
Gohir.A02G027600	1729	1548.11	246.674	1.95262
Gohir.A11G314300	1726	1545.11	0	0
Gohir.D11G004801	690	509.138	0	0
Gohir.D09G135200	932	751.105	4.11454	0.0671298
Gohir.D09G152550	234	76.7978	1	0.159568
Gohir.A12G037300	1127	946.105	1349.5	17.4795
