target_id	length	eff_length	D5_1	D5_1_tpm
Gohir.D08G013000	1846	1655.19	870.417	6.34493
Gohir.A02G177000	2260	2069.19	123.198	0.718377
Gohir.A04G123700	1724	1533.19	9.44045	0.0742924
Gohir.A08G078800	1460	1269.19	0	0
Gohir.D11G072700	1486	1295.19	265.629	2.47451
Gohir.A07G011700	1009	818.193	30.1654	0.444837
Gohir.D10G087901	1705	1514.19	0	0
Gohir.A02G020600	2886	2695.19	13.3967	0.0599731
Gohir.A12G259001	1815	1624.19	0	0
Gohir.A13G108900	818	627.193	50.0035	0.961939
Gohir.D13G222400	3480	3289.19	789.958	2.89776
Gohir.D05G182700	2023	1832.19	60	0.395119
Gohir.A02G036800	2534	2343.19	0	0
Gohir.D02G178800	868	677.193	0	0
Gohir.A13G197800	2698	2507.19	16.0764	0.0773656
Gohir.D10G060800	2725	2534.19	79.902	0.380422
Gohir.A05G314900	1915	1724.19	0	0
Gohir.D11G312636	3883	3692.19	0	0
Gohir.D04G065100	1199	1008.19	0	0
Gohir.A06G132400	985	794.193	13.1176	0.199285
Gohir.A06G182800	2308	2117.19	15.2149	0.0867077
Gohir.A04G111300	915	724.193	0	0
Gohir.A02G060600	1709	1518.19	3.52596	0.028022
Gohir.D02G217101	957	766.193	40	0.629898
Gohir.A04G028900	1661	1470.19	6.33914	0.0520241
Gohir.D06G213100	914	723.193	617	10.2939
Gohir.D07G187300	2176	1985.19	200.783	1.22032
Gohir.D11G200400	2462	2271.19	493.532	2.62186
Gohir.A10G041100	2754	2563.19	35.9536	0.169243
Gohir.D06G061000	1965	1774.19	2	0.0136012
Gohir.A04G046800	1823	1632.19	17.6365	0.130373
Gohir.D12G199300	1212	1021.19	76	0.897954
Gohir.D06G116500	1998	1807.19	441	2.9443
Gohir.A09G249400	719	528.193	28.9985	0.662416
Gohir.A05G090300	1984	1793.19	12.3679	0.083218
Gohir.D02G123700	2700	2509.19	192.811	0.927141
Gohir.A05G036500	2174	1983.19	1.04044	0.00632997
Gohir.D11G062000	2003	1812.19	191.72	1.27647
Gohir.D05G166000	894	703.193	7	0.120108
