target_id	length	eff_length	D5_2	D5_2_tpm
Gohir.D08G013000	1846	1655.3	1552.86	10.9587
Gohir.A02G177000	2260	2069.3	80.5937	0.454969
Gohir.A04G123700	1724	1533.3	11.5076	0.0876723
Gohir.A08G078800	1460	1269.3	0	0
Gohir.D11G072700	1486	1295.3	279.861	2.52392
Gohir.A07G011700	1009	818.296	30.1124	0.429871
Gohir.D10G087901	1705	1514.3	0	0
Gohir.A02G020600	2886	2695.3	0	0
Gohir.A12G259001	1815	1624.3	0	0
Gohir.A13G108900	818	627.317	60.6975	1.13028
Gohir.D13G222400	3480	3289.3	721.304	2.56164
Gohir.D05G182700	2023	1832.3	23	0.146634
Gohir.A02G036800	2534	2343.3	0	0
Gohir.D02G178800	868	677.317	0	0
Gohir.A13G197800	2698	2507.3	20	0.093181
Gohir.D10G060800	2725	2534.3	121.765	0.561265
Gohir.A05G314900	1915	1724.3	1.03083	0.0069836
Gohir.D11G312636	3883	3692.3	0	0
Gohir.D04G065100	1199	1008.3	0	0
Gohir.A06G132400	985	794.317	14.1799	0.208536
Gohir.A06G182800	2308	2117.3	16.1227	0.0889527
Gohir.A04G111300	915	724.317	3	0.0483832
Gohir.A02G060600	1709	1518.3	1	0.0076939
Gohir.D02G217101	957	766.317	28.966	0.441553
Gohir.A04G028900	1661	1470.3	7.48136	0.0594399
Gohir.D06G213100	914	723.317	421.959	6.81465
Gohir.D07G187300	2176	1985.3	184.463	1.08539
Gohir.D11G200400	2462	2271.3	437.483	2.25004
Gohir.A10G041100	2754	2563.3	30.2978	0.138075
Gohir.D06G061000	1965	1774.3	0	0
Gohir.A04G046800	1823	1632.3	21.7384	0.155572
Gohir.D12G199300	1212	1021.3	25	0.285951
Gohir.D06G116500	1998	1807.3	434	2.8052
Gohir.A09G249400	719	528.38	7.4056	0.163726
Gohir.A05G090300	1984	1793.3	20.1441	0.13122
Gohir.D02G123700	2700	2509.3	219.907	1.02374
Gohir.A05G036500	2174	1983.3	0	0
Gohir.D11G062000	2003	1812.3	229.489	1.47923
Gohir.D05G166000	894	703.317	4	0.0664372
Gohir.A08G208900	2015	1824.3	0	0
Gohir.A02G017701	426	236.779	0	0
Gohir.A12G110300	2229	2038.3	10.9804	0.0629294
Gohir.D10G139300	1711	1520.3	1240.11	9.52874
Gohir.D06G081600	1839	1648.3	7	0.0496096
Gohir.D10G100450	505	314.851	10.6807	0.396274
Gohir.A05G232300	2912	2721.3	107.527	0.461575
Gohir.D13G140200	1483	1292.3	439.535	3.97314
Gohir.D11G084200	1653	1462.3	75	0.599141
Gohir.A06G104500	1953	1762.3	1.05171	0.00697142
Gohir.A02G048901	695	504.422	0	0
