target_id	length	eff_length	A2_3	A2_3_tpm
Gohir.D08G013000	1846	1658.25	1.15501	0.00962707
Gohir.A02G177000	2260	2072.25	371.355	2.47688
Gohir.A04G123700	1724	1536.25	399.213	3.59171
Gohir.A08G078800	1460	1272.25	0	0
Gohir.D11G072700	1486	1298.25	4.10543	0.0437078
Gohir.A07G011700	1009	821.252	150	2.52449
Gohir.D10G087901	1705	1517.25	0	0
Gohir.A02G020600	2886	2698.25	140.41	0.719243
Gohir.A12G259001	1815	1627.25	0	0
Gohir.A13G108900	818	630.37	34	0.745491
Gohir.D13G222400	3480	3292.25	12.052	0.0505971
Gohir.D05G182700	2023	1835.25	0	0
Gohir.A02G036800	2534	2346.25	6	0.0353456
Gohir.D02G178800	868	680.306	0	0
Gohir.A13G197800	2698	2510.25	1.00855	0.00555317
Gohir.D10G060800	2725	2537.25	2.27664	0.0124019
Gohir.A05G314900	1915	1727.25	102.97	0.823974
Gohir.D11G312636	3883	3695.25	4.04136	0.0151162
Gohir.D04G065100	1199	1011.25	0	0
Gohir.A06G132400	985	797.252	155.981	2.70418
Gohir.A06G182800	2308	2120.25	95.7749	0.624343
Gohir.A04G111300	915	727.271	3	0.0570143
Gohir.A02G060600	1709	1521.25	64.833	0.589053
Gohir.D02G217101	957	769.271	0	0
Gohir.A04G028900	1661	1473.25	51.4471	0.482662
Gohir.D06G213100	914	726.271	1.01393	0.019296
Gohir.D07G187300	2176	1988.25	13.362	0.092888
Gohir.D11G200400	2462	2274.25	140.698	0.855085
Gohir.A10G041100	2754	2566.25	18.8227	0.101377
Gohir.D06G061000	1965	1777.25	4	0.0311079
Gohir.A04G046800	1823	1635.25	0	0
Gohir.D12G199300	1212	1024.25	0	0
Gohir.D06G116500	1998	1810.25	8.56743	0.065414
Gohir.A09G249400	719	531.428	0	0
Gohir.A05G090300	1984	1796.25	35	0.269315
Gohir.D02G123700	2700	2512.25	5.68932	0.0313008
Gohir.A05G036500	2174	1986.25	174.773	1.21618
Gohir.D11G062000	2003	1815.25	4.80876	0.0366147
Gohir.D05G166000	894	706.271	0	0
Gohir.A08G208900	2015	1827.25	48	0.36308
Gohir.A02G017701	426	240.315	0	0
Gohir.A12G110300	2229	2041.25	291.833	1.97604
Gohir.D10G139300	1711	1523.25	15.5308	0.140923
Gohir.D06G081600	1839	1651.25	0	0
Gohir.D10G100450	505	318.068	0	0
Gohir.A05G232300	2912	2724.25	274.195	1.39114
Gohir.D13G140200	1483	1295.25	17.3578	0.185225
Gohir.D11G084200	1653	1465.25	7.76499	0.0732467
Gohir.A06G104500	1953	1765.25	24	0.187916
Gohir.A02G048901	695	507.441	45	1.22571
Gohir.D07G067300	637	449.548	0	0
Gohir.D05G179200	637	449.548	0	0
Gohir.A05G334375	1248	1060.25	28	0.365013
Gohir.A05G042800	1498	1310.25	229.722	2.4233
Gohir.A04G028404	1585	1397.25	67.4353	0.66707
Gohir.D09G238800	898	710.271	1.01908	0.0198309
Gohir.A11G030881	2053	1865.25	493	3.65316
Gohir.D09G164440	504	317.076	1	0.0435908
Gohir.A12G128850	1905	1717.25	0	0
Gohir.D09G058025	303	125.587	0	0
Gohir.A12G161300	1882	1694.25	177.835	1.45077
Gohir.D01G194350	2745	2557.25	0	0
Gohir.D05G017800	712	524.441	0	0
Gohir.D06G167100	1645	1457.25	2	0.0189694
Gohir.A08G219555	1498	1310.25	20.3826	0.215013
Gohir.A05G006100	1128	940.252	130.004	1.91105
Gohir.D04G010300	2689	2501.25	0	0
Gohir.D01G057100	1269	1081.25	0	0
Gohir.D04G170800	1594	1406.25	9.88255	0.0971326
Gohir.A01G153800	1751	1563.25	11	0.0972574
Gohir.D08G228400	1119	931.252	0	0
Gohir.A04G048165	1065	877.252	0	0
Gohir.A10G237000	918	730.271	1	0.0189267
Gohir.A13G016300	1270	1082.25	127	1.62194
Gohir.D08G191800	1624	1436.25	8.17518	0.078673
Gohir.A09G110880	1269	1081.25	0	0
Gohir.A05G236950	636	448.56	0	0
Gohir.D09G120400	2577	2389.25	4.12651	0.0238715
Gohir.D03G135900	1752	1564.25	0	0
Gohir.A08G101400	804	616.37	111	2.48909
Gohir.D07G105100	1173	985.252	0	0
Gohir.D05G279500	1041	853.252	4.82181	0.0781074
Gohir.A11G029900	871	683.306	2420.28	48.9564
Gohir.D05G344800	1847	1659.25	0	0
Gohir.A11G286841	945	757.271	0	0
Gohir.D03G031800	1092	904.252	0	0
Gohir.A11G096800	2714	2526.25	193.942	1.0611
Gohir.A03G186400	1186	998.252	21	0.290762
Gohir.D04G161600	1440	1252.25	32	0.353197
Gohir.D10G096000	1922	1734.25	2.06873	0.0164874
Gohir.D11G217600	2203	2015.25	0	0
Gohir.A06G061900	913	725.271	7	0.1334
Gohir.A06G078300	2296	2108.25	64.9686	0.425932
Gohir.D05G234600	3130	2942.25	1.55905	0.00732386
Gohir.A13G194500	999	811.252	430	7.32608
Gohir.A06G043800	4312	4124.25	163.904	0.549294
Gohir.A09G087600	1070	882.252	26	0.407324
Gohir.D13G042300	1337	1149.25	5.05356	0.0607773
Gohir.D03G095800	2782	2594.25	1.33019	0.00708698
Gohir.D08G069200	3165	2977.25	20.7922	0.0965258
Gohir.D11G105400	1852	1664.25	0	0
Gohir.D11G065833	922	734.271	13.56	0.255249
Gohir.D02G136400	4076	3888.25	53.0751	0.188667
Gohir.D02G043200	2366	2178.25	1.00314	0.00636518
Gohir.A02G162900	952	764.271	95.1706	1.72113
Gohir.D03G166101	1665	1477.25	67.8437	0.634766
Gohir.A05G044600	1089	901.252	621.715	9.53463
Gohir.D13G072400	2007	1819.25	0	0
Gohir.D02G104300	1911	1723.25	3.16683	0.0254001
Gohir.A09G026000	7171	6983.25	486.812	0.963524
Gohir.A05G057500	1461	1273.25	35	0.379938
Gohir.A08G114700	1067	879.252	1	0.0157198
Gohir.D10G152000	1549	1361.25	8.52203	0.0865294
Gohir.D05G287000	1718	1530.25	2.20825	0.0199455
Gohir.A02G144200	969	781.271	308.693	5.46115
Gohir.A12G030701	522	334.896	0	0
Gohir.D02G014900	3427	3239.25	7.28231	0.031073
Gohir.A10G169466	748	560.414	8	0.197306
Gohir.A07G112100	1898	1710.25	70.4939	0.569706
Gohir.D06G172800	619	431.57	0	0
Gohir.D08G092550	231	69.6725	0	0
Gohir.A04G018100	2811	2623.25	11	0.0579578
Gohir.D06G070000	3166	2978.25	11.7205	0.054393
Gohir.A06G175900	1442	1254.25	76.703	0.845253
Gohir.D10G113200	1290	1102.25	18.5388	0.232466
Gohir.A06G089000	2502	2314.25	392.614	2.34484
Gohir.D10G136700	1374	1186.25	1	0.0116515
Gohir.D02G211100	963	775.271	0	0
Gohir.D06G009100	2758	2570.25	20.9483	0.11265
Gohir.A06G203700	1768	1580.25	216.229	1.89124
Gohir.A10G031650	915	727.271	0	0
Gohir.D06G185900	1275	1087.25	7	0.0889871
Gohir.D02G193500	354	171.345	0	0
Gohir.D12G211400	642	454.548	0	0
Gohir.D07G106900	1085	897.252	0	0
Gohir.A05G257150	774	586.4	0	0
Gohir.D09G074600	858	670.306	63.74	1.31431
Gohir.D02G139000	2564	2376.25	98.8902	0.575201
Gohir.D05G214600	1724	1536.25	11.2132	0.100885
Gohir.A05G110900	1774	1586.25	919	8.0076
Gohir.A01G195000	1796	1608.25	0	0
Gohir.D05G354825	333	152.163	1.3357	0.121328
Gohir.A12G219875	606	418.57	0	0
Gohir.D09G245650	568	380.62	1	0.0363134
Gohir.A13G139780	1125	937.252	6	0.0884818
Gohir.A10G158400	1065	877.252	121.968	1.92168
Gohir.D12G014000	1852	1664.25	16.9823	0.141038
Gohir.A09G112900	1696	1508.25	116.266	1.06546
Gohir.A11G032200	1485	1297.25	50.9602	0.542957
Gohir.D02G076100	1379	1191.25	88.5522	1.02744
Gohir.D02G168900	2310	2122.25	0	0
Gohir.D09G149400	2344	2156.25	6	0.0384601
Gohir.D13G036900	2218	2030.25	1.82308	0.0124112
Gohir.A13G063900	1421	1233.25	495.324	5.55132
Gohir.A07G183850	623	435.56	1	0.031733
Gohir.D01G109550	216	59.9141	0	0
Gohir.D05G339300	1391	1203.25	0	0
Gohir.A08G000117	641	453.548	42.9217	1.30801
Gohir.A11G253600	3103	2915.25	201.817	0.956841
Gohir.D02G162600	2292	2104.25	0	0
Gohir.A06G132200	2674	2486.25	313.969	1.74542
Gohir.D08G252466	264	93.6423	0	0
Gohir.A08G184900	2168	1980.25	241.621	1.68645
Gohir.A08G099868	2794	2606.25	187.781	0.995851
Gohir.D04G097500	1283	1095.25	408	5.14879
Gohir.D05G057600	2551	2363.25	7.28522	0.042608
Gohir.A06G111004	426	240.315	0	0
Gohir.D11G115100	456	269.69	0	0
Gohir.D02G144600	2553	2365.25	0	0
Gohir.D05G306750	174	37.1054	3	1.11749
Gohir.D01G110500	1668	1480.25	0	0
Gohir.A05G389500	1332	1144.25	263.305	3.18051
Gohir.D04G191000	1465	1277.25	5.20503	0.0563256
Gohir.D09G177200	1117	929.252	18	0.267731
Gohir.A05G171200	1945	1757.25	405.684	3.1909
Gohir.D07G144500	2265	2077.25	15.7206	0.104602
Gohir.A02G131602	702	514.441	1.54685e-06	4.15597e-08
Gohir.D09G148200	468	281.524	0	0
Gohir.D13G169500	776	588.4	0	0
Gohir.D05G061700	1906	1718.25	4.60926	0.0370769
Gohir.A10G138000	651	463.537	37	1.10326
Gohir.D05G127800	2098	1910.25	73.0858	0.528812
Gohir.A06G188000	545	357.722	0	0
Gohir.A04G136166	474	287.482	23.3941	1.12475
Gohir.D05G162100	1462	1274.25	0	0
Gohir.A02G152800	1595	1407.25	69.6223	0.68381
Gohir.D04G126700	2004	1816.25	0	0
Gohir.D08G175150	399	214.113	0	0
Gohir.A10G180800	858	670.306	10	0.206199
Gohir.D05G200300	2414	2226.25	37.1773	0.230814
Gohir.A06G184200	1632	1444.25	3	0.0287103
Gohir.A05G174300	1908	1720.25	812.288	6.52645
Gohir.D03G099501	1705	1517.25	0	0
Gohir.D05G379600	763	575.4	2	0.0480418
Gohir.A13G096100	2329	2141.25	302.929	1.95538
Gohir.A06G171600	3763	3575.25	114.281	0.441801
Gohir.D02G060700	911	723.271	0	0
Gohir.A11G063866	998	810.252	54.5218	0.930056
Gohir.D04G130600	1233	1045.25	8.3524	0.110446
Gohir.A13G202000	1652	1464.25	88.3961	0.834404
Gohir.D12G051200	2062	1874.25	0	0
Gohir.A07G093500	746	558.414	2	0.0495031
Gohir.D08G032600	1356	1168.25	1839.13	21.7587
Gohir.A05G202800	3483	3295.25	818.594	3.43351
Gohir.A05G058000	1462	1274.25	3	0.0325406
Gohir.D10G105201	573	385.62	0	0
Gohir.A09G089932	2542	2354.25	0	0
Gohir.A05G343600	3502	3314.25	1198.56	4.99841
Gohir.D05G352900	1899	1711.25	0	0
Gohir.A12G080900	1402	1214.25	2	0.0227657
Gohir.D11G305800	923	735.271	3	0.056394
Gohir.A02G027600	1729	1541.25	182.638	1.63786
Gohir.A11G314300	1726	1538.25	0	0
Gohir.D11G004801	690	502.441	0	0
Gohir.D09G135200	932	744.271	2	0.0371414
Gohir.D09G152550	234	71.691	0	0
Gohir.A12G037300	1127	939.252	911.926	13.4195
Gohir.A11G282669	210	56.2165	5.76441	1.41726
Gohir.A09G096001	954	766.271	2	0.036075
Gohir.D05G116800	1456	1268.25	0	0
Gohir.D04G102100	2214	2026.25	0	0
Gohir.A12G037100	2141	1953.25	7	0.0495335
Gohir.D01G033132	965	777.271	0	0
Gohir.D05G087500	3297	3109.25	1.05752	0.00470103
Gohir.A13G148700	3982	3794.25	90	0.32785
Gohir.D11G222014	204	52.522	2	0.526317
Gohir.D05G073700	1672	1484.25	270.754	2.52131
Gohir.A01G181400	2148	1960.25	36	0.253834
Gohir.D08G202400	1665	1477.25	0	0
Gohir.D08G027900	2146	1958.25	0	0
Gohir.D01G152650	321	141.444	0	0
Gohir.A04G102000	1294	1106.25	59.5691	0.744263
Gohir.A09G028700	2906	2718.25	75	0.381356
Gohir.D04G014900	4474	4286.25	79.0439	0.254888
Gohir.D08G215800	3557	3369.25	34.7041	0.142366
Gohir.A03G119500	1075	887.252	0	0
