target_id	length	eff_length	D5_3	D5_3_tpm
Gohir.D08G013000	1846	1663.42	2048.49	10.636
Gohir.A02G177000	2260	2077.42	98.5627	0.409767
Gohir.A04G123700	1724	1541.42	10.5843	0.059305
Gohir.A08G078800	1460	1277.42	0	0
Gohir.D11G072700	1486	1303.42	483.42	3.20323
Gohir.A07G011700	1009	826.42	52.3138	0.546719
Gohir.D10G087901	1705	1522.42	1	0.00567302
Gohir.A02G020600	2886	2703.42	8.36004	0.0267081
Gohir.A12G259001	1815	1632.42	0	0
Gohir.A13G108900	818	635.442	91.2427	1.24014
Gohir.D13G222400	3480	3297.42	1456.38	3.81461
Gohir.D05G182700	2023	1840.42	40	0.187712
Gohir.A02G036800	2534	2351.42	0	0
Gohir.D02G178800	868	685.442	6	0.0756014
Gohir.A13G197800	2698	2515.42	37.4328	0.128526
Gohir.D10G060800	2725	2542.42	255.79	0.868931
Gohir.A05G314900	1915	1732.42	6.08589	0.0303403
Gohir.D11G312636	3883	3700.42	0	0
Gohir.D04G065100	1199	1016.42	0	0
Gohir.A06G132400	985	802.42	26.5183	0.285426
Gohir.A06G182800	2308	2125.42	54.8067	0.222709
Gohir.A04G111300	915	732.442	0	0
Gohir.A02G060600	1709	1526.42	0	0
Gohir.D02G217101	957	774.42	11	0.122677
Gohir.A04G028900	1661	1478.42	17.8311	0.104167
Gohir.D06G213100	914	731.442	835.667	9.86739
Gohir.D07G187300	2176	1993.42	369.429	1.60059
Gohir.D11G200400	2462	2279.42	511.955	1.9398
Gohir.A10G041100	2754	2571.42	40.8808	0.137308
Gohir.D06G061000	1965	1782.42	10.8925	0.0527796
Gohir.A04G046800	1823	1640.42	32.4827	0.17102
Gohir.D12G199300	1212	1029.42	36	0.302036
Gohir.D06G116500	1998	1815.42	604	2.87348
Gohir.A09G249400	719	536.442	24.8425	0.399965
Gohir.A05G090300	1984	1801.42	31.0975	0.149094
Gohir.D02G123700	2700	2517.42	315.915	1.08384
Gohir.A05G036500	2174	1991.42	1	0.00433696
Gohir.D11G062000	2003	1820.42	279.428	1.3257
Gohir.D05G166000	894	711.442	43	0.522009
Gohir.A08G208900	2015	1832.42	0	0
Gohir.A02G017701	426	244.975	0	0
Gohir.A12G110300	2229	2046.42	23.0587	0.0973171
Gohir.D10G139300	1711	1528.42	1474.71	8.33321
Gohir.D06G081600	1839	1656.42	25	0.130352
Gohir.D10G100450	505	322.781	28.3243	0.757879
Gohir.A05G232300	2912	2729.42	123.861	0.391935
Gohir.D13G140200	1483	1300.42	632.324	4.19957
Gohir.D11G084200	1653	1470.42	137.941	0.810218
Gohir.A06G104500	1953	1770.42	4.26158	0.0207894
Gohir.A02G048901	695	512.442	0	0
Gohir.D07G067300	637	454.468	109.137	2.07404
Gohir.D05G179200	637	454.468	0	0
Gohir.A05G334375	1248	1065.42	0	0
Gohir.A05G042800	1498	1315.42	41.2621	0.270916
Gohir.A04G028404	1585	1402.42	34.9115	0.215
Gohir.D09G238800	898	715.442	191.957	2.31728
Gohir.A11G030881	2053	1870.42	535.712	2.47367
Gohir.D09G164440	504	321.791	1.89264	0.0507976
Gohir.A12G128850	1905	1722.42	0	0
Gohir.D09G058025	303	130.673	29	1.91673
Gohir.A12G161300	1882	1699.42	2.29973	0.0116876
Gohir.D01G194350	2745	2562.42	0	0
Gohir.D05G017800	712	529.442	675	11.0112
Gohir.D06G167100	1645	1462.42	2352.41	13.8928
Gohir.A08G219555	1498	1315.42	591.789	3.88554
Gohir.A05G006100	1128	945.42	88.592	0.809316
Gohir.D04G010300	2689	2506.42	719.9	2.48066
Gohir.D01G057100	1269	1086.42	0	0
Gohir.D04G170800	1594	1411.42	78.2419	0.478775
Gohir.A01G153800	1751	1568.42	9.59221	0.0528208
Gohir.D08G228400	1119	936.42	5	0.0461156
Gohir.A04G048165	1065	882.42	0.905543	0.00886303
Gohir.A10G237000	918	735.442	0	0
Gohir.A13G016300	1270	1087.42	0	0
Gohir.D08G191800	1624	1441.42	1222.91	7.32743
Gohir.A09G110880	1269	1086.42	0	0
Gohir.A05G236950	636	453.519	0	0
Gohir.D09G120400	2577	2394.42	83.0266	0.299479
Gohir.D03G135900	1752	1569.42	18	0.0990563
Gohir.A08G101400	804	621.442	0	0
Gohir.D07G105100	1173	990.42	264	2.30215
Gohir.D05G279500	1041	858.42	59.256	0.596186
Gohir.A11G029900	871	688.442	6.75918	0.0847961
Gohir.D05G344800	1847	1664.42	0	0
Gohir.A11G286841	945	762.442	2.07199	0.0234709
Gohir.D03G031800	1092	909.42	87.2802	0.828896
Gohir.A11G096800	2714	2531.42	127.432	0.434773
Gohir.A03G186400	1186	1003.42	0	0
Gohir.D04G161600	1440	1257.42	179	1.22948
Gohir.D10G096000	1922	1739.42	261.503	1.29844
Gohir.D11G217600	2203	2020.42	12	0.0512966
Gohir.A06G061900	913	730.442	0	0
Gohir.A06G078300	2296	2113.42	19.5076	0.07972
Gohir.D05G234600	3130	2947.42	155.899	0.456825
Gohir.A13G194500	999	816.42	6	0.0634726
Gohir.A06G043800	4312	4129.42	10.6621	0.0222998
Gohir.A09G087600	1070	887.42	3.58764	0.0349163
Gohir.D13G042300	1337	1154.42	389.689	2.91544
Gohir.D03G095800	2782	2599.42	312.232	1.03741
Gohir.D08G069200	3165	2982.42	677.751	1.96268
Gohir.D11G105400	1852	1669.42	0	0
Gohir.D11G065833	922	739.442	2.15659	0.0251891
Gohir.D02G136400	4076	3893.42	744.616	1.65177
Gohir.D02G043200	2366	2183.42	5.01827	0.0198502
Gohir.A02G162900	952	769.42	8.16108	0.0916079
Gohir.D03G166101	1665	1482.42	184.255	1.07349
Gohir.A05G044600	1089	906.42	34.6062	0.329742
Gohir.D13G072400	2007	1824.42	463	2.19182
Gohir.D02G104300	1911	1728.42	112.159	0.560444
Gohir.A09G026000	7171	6988.42	199.383	0.24641
Gohir.A05G057500	1461	1278.42	0	0
Gohir.A08G114700	1067	884.42	0	0
Gohir.D10G152000	1549	1366.42	334.033	2.11132
Gohir.D05G287000	1718	1535.42	1428.72	8.03654
Gohir.A02G144200	969	786.42	47.9158	0.526226
Gohir.A12G030701	522	339.678	0	0
Gohir.D02G014900	3427	3244.42	57.9823	0.15435
Gohir.A10G169466	748	565.442	2	0.0305486
Gohir.A07G112100	1898	1715.42	20.3286	0.102349
Gohir.D06G172800	619	436.531	0	0
Gohir.D08G092550	231	74.6106	1.11962	0.129605
Gohir.A04G018100	2811	2628.42	1	0.0032859
Gohir.D06G070000	3166	2983.42	478.623	1.38557
Gohir.A06G175900	1442	1259.42	10.0271	0.0687625
Gohir.D10G113200	1290	1107.42	682.989	5.3266
Gohir.A06G089000	2502	2319.42	63.944	0.238105
