Category1	Category2	estimate	SE	df	t.ratio	p.value	model
AreNot-organelle-targeted	Dual-targeted_Interacting	-0.546476378043361	0.158573673318546	33266	-3.4461986444975	0.00227693670779332	Cqm5full
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-1.2848836474407	0.0427922324874518	33266	-30.0260952222456	3.84804172740656e-194	Cqm5full
AreNot-organelle-targeted	Mitochondria-targeted_Interacting	0.351754370939365	0.0914766191113191	33266	3.84529264807339	0.000603164065011837	Cqm5full
AreNot-organelle-targeted	Mitochondria-targeted_Non-interacting	0.338681261985098	0.130488112324681	33266	2.59549514474077	0.0283488657305149	Cqm5full
AreNot-organelle-targeted	Plastid-targeted_Interacting	-2.26727623960346	0.0895540104026667	33266	-25.3174171587512	8.74451121779212e-139	Cqm5full
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	-1.37994310256583	0.05705363873345	33266	-24.1867676312953	7.46639192482983e-127	Cqm5full
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.738407269397336	0.16311276434694	33266	-4.52697416019967	4.202904232335e-05	Cqm5full
Dual-targeted_Interacting	Mitochondria-targeted_Interacting	0.898230748982727	0.182051010916386	33266	4.93395089904377	6.47770997040198e-06	Cqm5full
Dual-targeted_Interacting	Mitochondria-targeted_Non-interacting	0.885157640028459	0.20445475340451	33266	4.32935710854905	8.9989149667318e-05	Cqm5full
Dual-targeted_Interacting	Plastid-targeted_Interacting	-1.7207998615601	0.18109257166113	33266	-9.50232163459554	2.40352596805873e-20	Cqm5full
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	-0.833466724522465	0.167420776561237	33266	-4.97827534695259	5.8026283246915e-06	Cqm5full
Dual-targeted_Non-interacting	Mitochondria-targeted_Interacting	1.63663801838006	0.0991369551035369	33266	16.5088590492898	8.86775053791008e-60	Cqm5full
Dual-targeted_Non-interacting	Mitochondria-targeted_Non-interacting	1.6235649094258	0.13596805316405	33266	11.9407822032056	1.1005163798089e-31	Cqm5full
Dual-targeted_Non-interacting	Plastid-targeted_Interacting	-0.98239259216276	0.097365727041727	33266	-10.0897165975225	7.9686896562746e-23	Cqm5full
Dual-targeted_Non-interacting	Plastid-targeted_Non-interacting	-0.0950594551251281	0.0686679089232399	33266	-1.38433595278676	0.332529792179573	Cqm5full
Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	-0.0130731089542674	0.158190101346448	33266	-0.0826417635679765	0.934136889531893	Cqm5full
Mitochondria-targeted_Interacting	Plastid-targeted_Interacting	-2.61903061054282	0.126557818743615	33266	-20.6943406305741	2.76744306339938e-93	Cqm5full
Mitochondria-targeted_Interacting	Plastid-targeted_Non-interacting	-1.73169747350519	0.106075814390783	33266	-16.325092420461	1.67595009397915e-58	Cqm5full
Mitochondria-targeted_Non-interacting	Plastid-targeted_Interacting	-2.60595750158856	0.157086145471722	33266	-16.5893528914533	2.50185578511535e-60	Cqm5full
Mitochondria-targeted_Non-interacting	Plastid-targeted_Non-interacting	-1.71862436455092	0.141107242949074	33266	-12.1795616485199	6.60894288551648e-33	Cqm5full
Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	0.887333137037632	0.104422350738868	33266	8.49754033268809	2.01594581836167e-16	Cqm5full
AreNot-organelle-targeted	Dual-targeted_Interacting	-0.420428920006855	0.16539408933899	33266	-2.5419827376367	0.0330811719933006	Cqm5Mom
AreNot-organelle-targeted	Dual-targeted_Non-interacting	-1.32198299855585	0.0446327702129147	33266	-29.619111523876	5.30765770715101e-189	Cqm5Mom
AreNot-organelle-targeted	Mitochondria-targeted_Interacting	0.505723748543769	0.0954111221434185	33266	5.30046955934114	9.29923354910006e-07	Cqm5Mom
AreNot-organelle-targeted	Mitochondria-targeted_Non-interacting	0.417965655889826	0.136100539615743	33266	3.07100660342628	0.00854041927011672	Cqm5Mom
AreNot-organelle-targeted	Plastid-targeted_Interacting	-2.33804184262586	0.0934058200660427	33266	-25.0310081424556	1.0455488241176e-135	Cqm5Mom
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	-1.40325915239065	0.0595075741408779	33266	-23.5811856330857	1.14680975907724e-120	Cqm5Mom
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.901554078548996	0.170128411319159	33266	-5.29925643552675	9.29923354910006e-07	Cqm5Mom
Dual-targeted_Interacting	Mitochondria-targeted_Interacting	0.926152668550624	0.189881211260537	33266	4.87753718444446	6.47485322911037e-06	Cqm5Mom
Dual-targeted_Interacting	Mitochondria-targeted_Non-interacting	0.838394575896681	0.213248561647666	33266	3.93153683860196	0.000422877133553891	Cqm5Mom
