Category1	Category2	estimate	SE	df	t.ratio	p.value
Dual-targeted_Interacting	Dual-targeted_Non-interacting	-0.323300035624507	0.0916870222513854	33263.0149564782	-3.52612646463848	0.00675604288987701
Dual-targeted_Interacting	itochondria-targeted_Interacting	0.0562106877429436	0.102309157725982	33263.0078182437	0.549419905239517	1
Dual-targeted_Interacting	itochondria-targeted_Non-interacting	-0.087489656356245	0.115053366783126	33263.0049688877	-0.76042673763004	1
Dual-targeted_Interacting	Not-organelle-targeted	-0.248521954415493	0.089133083654739	33263.0122717129	-2.78821223529249	0.0583328862116584
Dual-targeted_Interacting	Plastid-targeted_Interacting	-0.386801250111567	0.101808787121067	33263.0144270283	-3.79929140744597	0.00247126587489644
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	-0.294900131392173	0.0941100791876034	33263.0109555117	-3.13356586178517	0.0241984595487434
Dual-targeted_Non-interacting	itochondria-targeted_Interacting	0.379510723367451	0.0556919227365297	33263.0420295601	6.81446616887085	2.02073314922452e-10
Dual-targeted_Non-interacting	itochondria-targeted_Non-interacting	0.235810379268262	0.0766270440774258	33263.019847705	3.07737799503259	0.025080002114622
Dual-targeted_Non-interacting	Not-organelle-targeted	0.0747780812090145	0.0240649626003061	33263.0429209058	3.10734250665585	0.0245617461422363
Dual-targeted_Non-interacting	Plastid-targeted_Interacting	-0.0635012144870601	0.0547672333728275	33263.0441164313	-1.15947457222782	0.985084473337311
Dual-targeted_Non-interacting	Plastid-targeted_Non-interacting	0.0283999042323341	0.0386150656483101	33263.0199505484	0.735461762281816	1
itochondria-targeted_Interacting	itochondria-targeted_Non-interacting	-0.143700344099189	0.0890637606642337	33263.0032431502	-1.61345470960891	0.7465866889132
itochondria-targeted_Interacting	Not-organelle-targeted	-0.304732642158436	0.0513789164612033	33263.0654424277	-5.93108347056215	5.77430731025982e-08
itochondria-targeted_Interacting	Plastid-targeted_Interacting	-0.443011937854511	0.071134550719852	33263.0639119223	-6.22780257092249	9.5734540952311e-09
itochondria-targeted_Interacting	Plastid-targeted_Non-interacting	-0.351110819135117	0.0595969300782131	33263.0505322049	-5.89142458637265	6.95807301367038e-08
itochondria-targeted_Non-interacting	Not-organelle-targeted	-0.161032298059248	0.0735520431858438	33263.0218249721	-2.18936539468207	0.228617729541547
itochondria-targeted_Non-interacting	Plastid-targeted_Interacting	-0.299311593755322	0.0884885841431826	33263.0274251927	-3.38248822323803	0.0107872653781356
itochondria-targeted_Non-interacting	Plastid-targeted_Non-interacting	-0.207410475035928	0.0795104003990861	33263.0191656505	-2.60859552957694	0.0818597557691046
Not-organelle-targeted	Plastid-targeted_Interacting	-0.138279295696075	0.0503750039837915	33263.0170105282	-2.74499820864663	0.0605437001435385
Not-organelle-targeted	Plastid-targeted_Non-interacting	-0.0463781769766803	0.0320830134035035	33263.0003483679	-1.4455679830753	0.7465866889132
Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	0.0919011187193942	0.0587336443974548	33263.010909447	1.56470996585011	0.7465866889132
